research,evaluator,criteria,middle_rating,lower_CI,upper_CI,confidence_level,row_created_date
Adaptability and the Pivot Penalty in Science and Technology,Evaluator 1,adv_knowledge,85.0,78.0,92.0,,2025-12-29T17:15:13
Adaptability and the Pivot Penalty in Science and Technology,Evaluator 1,claims,82.0,74.0,90.0,,2025-12-29T17:15:13
Adaptability and the Pivot Penalty in Science and Technology,Evaluator 1,gp_relevance,80.0,70.0,90.0,,2025-12-29T17:15:13
Adaptability and the Pivot Penalty in Science and Technology,Evaluator 1,journal_predict,4.5,4.0,5.0,,2025-12-29T17:15:13
Adaptability and the Pivot Penalty in Science and Technology,Evaluator 1,logic_comms,80.0,71.0,89.0,,2025-12-29T17:15:13
Adaptability and the Pivot Penalty in Science and Technology,Evaluator 1,merits_journal,4.5,4.0,5.0,,2025-12-29T17:15:13
Adaptability and the Pivot Penalty in Science and Technology,Evaluator 1,methods,85.0,78.0,92.0,,2025-12-29T17:15:13
Adaptability and the Pivot Penalty in Science and Technology,Evaluator 1,open_sci,90.0,85.0,95.0,,2025-12-29T17:15:13
Adaptability and the Pivot Penalty in Science and Technology,Evaluator 1,overall,80.0,70.0,90.0,,2025-12-29T17:15:13
Adaptability and the Pivot Penalty in Science and Technology,Evaluator 1,real_world,80.0,70.0,90.0,,2025-12-29T17:15:13
Adjusting for Scale-Use Heterogeneity in Self-Reported Well-Being,Alberto Prati,adv_knowledge,95.0,90.0,100.0,,2025-12-29T17:15:13
Adjusting for Scale-Use Heterogeneity in Self-Reported Well-Being,Alberto Prati,claims,95.0,90.0,100.0,,2025-12-29T17:15:13
Adjusting for Scale-Use Heterogeneity in Self-Reported Well-Being,Alberto Prati,gp_relevance,86.0,74.0,95.0,,2025-12-29T17:15:13
Adjusting for Scale-Use Heterogeneity in Self-Reported Well-Being,Alberto Prati,journal_predict,4.8,4.5,5.0,,2025-12-29T17:15:13
Adjusting for Scale-Use Heterogeneity in Self-Reported Well-Being,Alberto Prati,logic_comms,95.0,89.0,100.0,,2025-12-29T17:15:13
Adjusting for Scale-Use Heterogeneity in Self-Reported Well-Being,Alberto Prati,merits_journal,5.0,5.0,5.0,,2025-12-29T17:15:13
Adjusting for Scale-Use Heterogeneity in Self-Reported Well-Being,Alberto Prati,methods,95.0,90.0,100.0,,2025-12-29T17:15:13
Adjusting for Scale-Use Heterogeneity in Self-Reported Well-Being,Alberto Prati,open_sci,95.0,90.0,100.0,,2025-12-29T17:15:13
Adjusting for Scale-Use Heterogeneity in Self-Reported Well-Being,Alberto Prati,overall,95.0,90.0,100.0,,2025-12-29T17:15:13
Adjusting for Scale-Use Heterogeneity in Self-Reported Well-Being,Alberto Prati,real_world,86.0,74.0,95.0,,2025-12-29T17:15:13
Adjusting for Scale-Use Heterogeneity in Self-Reported Well-Being,Caspar Kaiser,adv_knowledge,90.0,80.0,100.0,,2025-12-29T17:15:13
Adjusting for Scale-Use Heterogeneity in Self-Reported Well-Being,Caspar Kaiser,claims,80.0,70.0,90.0,,2025-12-29T17:15:13
Adjusting for Scale-Use Heterogeneity in Self-Reported Well-Being,Caspar Kaiser,gp_relevance,0.0,0.0,,,2025-12-29T17:15:13
Adjusting for Scale-Use Heterogeneity in Self-Reported Well-Being,Caspar Kaiser,journal_predict,4.0,4.4,5.0,,2025-12-29T17:15:13
Adjusting for Scale-Use Heterogeneity in Self-Reported Well-Being,Caspar Kaiser,logic_comms,75.0,60.0,90.0,,2025-12-29T17:15:13
Adjusting for Scale-Use Heterogeneity in Self-Reported Well-Being,Caspar Kaiser,merits_journal,4.1,4.7,5.0,,2025-12-29T17:15:13
Adjusting for Scale-Use Heterogeneity in Self-Reported Well-Being,Caspar Kaiser,methods,90.0,80.0,100.0,,2025-12-29T17:15:13
Adjusting for Scale-Use Heterogeneity in Self-Reported Well-Being,Caspar Kaiser,open_sci,85.0,70.0,90.0,,2025-12-29T17:15:13
Adjusting for Scale-Use Heterogeneity in Self-Reported Well-Being,Caspar Kaiser,overall,95.0,80.0,100.0,,2025-12-29T17:15:13
Adjusting for Scale-Use Heterogeneity in Self-Reported Well-Being,Caspar Kaiser,real_world,0.0,0.0,,,2025-12-29T17:15:13
Artificial Intelligence and Economic Growth,Philip Trammell,adv_knowledge,97.0,80.0,100.0,,2025-12-29T17:15:13
Artificial Intelligence and Economic Growth,Philip Trammell,gp_relevance,92.0,80.0,100.0,,2025-12-29T17:15:13
Artificial Intelligence and Economic Growth,Philip Trammell,logic_comms,45.0,30.0,70.0,,2025-12-29T17:15:13
Artificial Intelligence and Economic Growth,Philip Trammell,merits_journal,5.0,,,,2025-12-29T17:15:13
Artificial Intelligence and Economic Growth,Philip Trammell,methods,70.0,40.0,90.0,,2025-12-29T17:15:13
Artificial Intelligence and Economic Growth,Philip Trammell,open_sci,80.0,,,,2025-12-29T17:15:13
Artificial Intelligence and Economic Growth,Philip Trammell,overall,92.0,80.0,100.0,,2025-12-29T17:15:13
Artificial Intelligence and Economic Growth,Philip Trammell,real_world,92.0,80.0,100.0,,2025-12-29T17:15:13
Banning wildlife trade can boost demand for unregulated threatened species,Evaluator 2,adv_knowledge,70.0,,,,2025-12-29T17:15:13
Banning wildlife trade can boost demand for unregulated threatened species,Evaluator 2,gp_relevance,90.0,,,,2025-12-29T17:15:13
Banning wildlife trade can boost demand for unregulated threatened species,Evaluator 2,journal_predict,3.0,,,,2025-12-29T17:15:13
Banning wildlife trade can boost demand for unregulated threatened species,Evaluator 2,logic_comms,70.0,,,,2025-12-29T17:15:13
Banning wildlife trade can boost demand for unregulated threatened species,Evaluator 2,merits_journal,3.0,,,,2025-12-29T17:15:13
Banning wildlife trade can boost demand for unregulated threatened species,Evaluator 2,methods,80.0,,,,2025-12-29T17:15:13
Banning wildlife trade can boost demand for unregulated threatened species,Evaluator 2,open_sci,70.0,,,,2025-12-29T17:15:13
Banning wildlife trade can boost demand for unregulated threatened species,Evaluator 2,overall,75.0,,,,2025-12-29T17:15:13
Banning wildlife trade can boost demand for unregulated threatened species,Evaluator 2,real_world,90.0,,,,2025-12-29T17:15:13
Banning wildlife trade can boost demand for unregulated threatened species,Jia Huan Liew,adv_knowledge,80.0,,,,2025-12-29T17:15:13
Banning wildlife trade can boost demand for unregulated threatened species,Jia Huan Liew,gp_relevance,90.0,,,,2025-12-29T17:15:13
Banning wildlife trade can boost demand for unregulated threatened species,Jia Huan Liew,journal_predict,2.5,,,,2025-12-29T17:15:13
Banning wildlife trade can boost demand for unregulated threatened species,Jia Huan Liew,logic_comms,70.0,,,,2025-12-29T17:15:13
Banning wildlife trade can boost demand for unregulated threatened species,Jia Huan Liew,merits_journal,3.0,,,,2025-12-29T17:15:13
Banning wildlife trade can boost demand for unregulated threatened species,Jia Huan Liew,methods,50.0,,,,2025-12-29T17:15:13
Banning wildlife trade can boost demand for unregulated threatened species,Jia Huan Liew,open_sci,50.0,,,,2025-12-29T17:15:13
Banning wildlife trade can boost demand for unregulated threatened species,Jia Huan Liew,overall,75.0,,,,2025-12-29T17:15:13
Banning wildlife trade can boost demand for unregulated threatened species,Jia Huan Liew,real_world,90.0,,,,2025-12-29T17:15:13
Biodiversity Risk,Evaluator 1,adv_knowledge,70.0,60.0,80.0,,2025-12-29T17:15:13
Biodiversity Risk,Evaluator 1,claims,0.0,0.0,0.0,,2025-12-29T17:15:13
Biodiversity Risk,Evaluator 1,gp_relevance,71.0,59.0,80.0,,2025-12-29T17:15:13
Biodiversity Risk,Evaluator 1,journal_predict,4.5,4.0,5.0,,2025-12-29T17:15:13
Biodiversity Risk,Evaluator 1,logic_comms,81.0,70.0,91.0,,2025-12-29T17:15:13
Biodiversity Risk,Evaluator 1,merits_journal,4.0,3.5,4.5,,2025-12-29T17:15:13
Biodiversity Risk,Evaluator 1,methods,70.0,60.0,85.0,,2025-12-29T17:15:13
Biodiversity Risk,Evaluator 1,open_sci,90.0,70.0,100.0,,2025-12-29T17:15:13
Biodiversity Risk,Evaluator 1,overall,65.0,50.0,80.0,,2025-12-29T17:15:13
Biodiversity Risk,Evaluator 1,real_world,71.0,59.0,80.0,,2025-12-29T17:15:13
Biodiversity Risk,Evaluator 2,adv_knowledge,45.0,39.0,50.0,,2025-12-29T17:15:13
Biodiversity Risk,Evaluator 2,gp_relevance,63.0,55.0,70.0,,2025-12-29T17:15:13
Biodiversity Risk,Evaluator 2,journal_predict,4.4,3.3,5.0,,2025-12-29T17:15:13
Biodiversity Risk,Evaluator 2,logic_comms,68.0,60.0,75.0,,2025-12-29T17:15:13
Biodiversity Risk,Evaluator 2,merits_journal,3.5,3.1,4.0,,2025-12-29T17:15:13
Biodiversity Risk,Evaluator 2,methods,45.0,40.0,50.0,,2025-12-29T17:15:13
Biodiversity Risk,Evaluator 2,open_sci,90.0,80.0,100.0,,2025-12-29T17:15:13
Biodiversity Risk,Evaluator 2,overall,61.0,51.0,72.0,,2025-12-29T17:15:13
Biodiversity Risk,Evaluator 2,real_world,63.0,55.0,70.0,,2025-12-29T17:15:13
Building Resilient Education Systems: Evidence from Large-Scale Randomized Trials in Five Countries,Anon  1,adv_knowledge,95.0,90.0,100.0,,2025-12-29T17:15:13
Building Resilient Education Systems: Evidence from Large-Scale Randomized Trials in Five Countries,Anon  1,gp_relevance,95.0,90.0,100.0,,2025-12-29T17:15:13
Building Resilient Education Systems: Evidence from Large-Scale Randomized Trials in Five Countries,Anon  1,journal_predict,4.5,4.0,4.8,,2025-12-29T17:15:13
Building Resilient Education Systems: Evidence from Large-Scale Randomized Trials in Five Countries,Anon  1,logic_comms,84.0,75.0,90.0,,2025-12-29T17:15:13
Building Resilient Education Systems: Evidence from Large-Scale Randomized Trials in Five Countries,Anon  1,merits_journal,4.3,3.7,4.8,,2025-12-29T17:15:13
Building Resilient Education Systems: Evidence from Large-Scale Randomized Trials in Five Countries,Anon  1,methods,85.0,80.0,90.0,,2025-12-29T17:15:13
Building Resilient Education Systems: Evidence from Large-Scale Randomized Trials in Five Countries,Anon  1,open_sci,75.0,60.0,90.0,,2025-12-29T17:15:13
Building Resilient Education Systems: Evidence from Large-Scale Randomized Trials in Five Countries,Anon  1,overall,90.0,,95.0,,2025-12-29T17:15:13
Building Resilient Education Systems: Evidence from Large-Scale Randomized Trials in Five Countries,Anon  1,real_world,95.0,90.0,100.0,,2025-12-29T17:15:13
Choose Your Moments: NIH Peer Review and Scientific Risk Taking,B. Ian Hutchins,adv_knowledge,80.0,75.0,90.0,,2025-12-29T17:15:13
Choose Your Moments: NIH Peer Review and Scientific Risk Taking,B. Ian Hutchins,claims,75.0,60.0,80.0,,2025-12-29T17:15:13
Choose Your Moments: NIH Peer Review and Scientific Risk Taking,B. Ian Hutchins,gp_relevance,80.0,75.0,89.0,,2025-12-29T17:15:13
Choose Your Moments: NIH Peer Review and Scientific Risk Taking,B. Ian Hutchins,journal_predict,3.5,2.5,4.0,,2025-12-29T17:15:13
Choose Your Moments: NIH Peer Review and Scientific Risk Taking,B. Ian Hutchins,logic_comms,45.0,35.0,55.0,,2025-12-29T17:15:13
Choose Your Moments: NIH Peer Review and Scientific Risk Taking,B. Ian Hutchins,merits_journal,4.0,2.5,4.5,,2025-12-29T17:15:13
Choose Your Moments: NIH Peer Review and Scientific Risk Taking,B. Ian Hutchins,methods,60.0,50.0,70.0,,2025-12-29T17:15:13
Choose Your Moments: NIH Peer Review and Scientific Risk Taking,B. Ian Hutchins,open_sci,30.0,15.0,45.0,,2025-12-29T17:15:13
Choose Your Moments: NIH Peer Review and Scientific Risk Taking,B. Ian Hutchins,overall,75.0,60.0,80.0,,2025-12-29T17:15:13
Choose Your Moments: NIH Peer Review and Scientific Risk Taking,B. Ian Hutchins,real_world,80.0,75.0,89.0,,2025-12-29T17:15:13
Choose Your Moments: NIH Peer Review and Scientific Risk Taking,James M. Zumel Dumlao,adv_knowledge,72.0,66.0,84.0,,2025-12-29T17:15:13
Choose Your Moments: NIH Peer Review and Scientific Risk Taking,James M. Zumel Dumlao,claims,56.0,45.0,61.0,,2025-12-29T17:15:13
Choose Your Moments: NIH Peer Review and Scientific Risk Taking,James M. Zumel Dumlao,gp_relevance,50.0,40.0,60.0,,2025-12-29T17:15:13
Choose Your Moments: NIH Peer Review and Scientific Risk Taking,James M. Zumel Dumlao,journal_predict,3.9,3.5,4.3,,2025-12-29T17:15:13
Choose Your Moments: NIH Peer Review and Scientific Risk Taking,James M. Zumel Dumlao,logic_comms,55.0,45.0,70.0,,2025-12-29T17:15:13
Choose Your Moments: NIH Peer Review and Scientific Risk Taking,James M. Zumel Dumlao,merits_journal,3.8,3.0,4.1,,2025-12-29T17:15:13
Choose Your Moments: NIH Peer Review and Scientific Risk Taking,James M. Zumel Dumlao,methods,76.0,68.0,85.0,,2025-12-29T17:15:13
Choose Your Moments: NIH Peer Review and Scientific Risk Taking,James M. Zumel Dumlao,open_sci,65.0,50.0,79.0,,2025-12-29T17:15:13
Choose Your Moments: NIH Peer Review and Scientific Risk Taking,James M. Zumel Dumlao,overall,70.0,50.0,80.0,,2025-12-29T17:15:13
Choose Your Moments: NIH Peer Review and Scientific Risk Taking,James M. Zumel Dumlao,real_world,50.0,40.0,60.0,,2025-12-29T17:15:13
Deadweight Losses or Gains from In-kind Transfers: Experimental Evidence,Evaluator 1,adv_knowledge,45.0,35.0,50.0,,2025-12-29T17:15:13
Deadweight Losses or Gains from In-kind Transfers: Experimental Evidence,Evaluator 1,claims,55.0,50.0,65.0,,2025-12-29T17:15:13
Deadweight Losses or Gains from In-kind Transfers: Experimental Evidence,Evaluator 1,gp_relevance,55.0,45.0,65.0,,2025-12-29T17:15:13
Deadweight Losses or Gains from In-kind Transfers: Experimental Evidence,Evaluator 1,journal_predict,3.2,2.8,3.4,,2025-12-29T17:15:13
Deadweight Losses or Gains from In-kind Transfers: Experimental Evidence,Evaluator 1,logic_comms,65.0,50.0,75.0,,2025-12-29T17:15:13
Deadweight Losses or Gains from In-kind Transfers: Experimental Evidence,Evaluator 1,merits_journal,3.0,2.0,4.0,,2025-12-29T17:15:13
Deadweight Losses or Gains from In-kind Transfers: Experimental Evidence,Evaluator 1,methods,50.0,45.0,55.0,,2025-12-29T17:15:13
Deadweight Losses or Gains from In-kind Transfers: Experimental Evidence,Evaluator 1,open_sci,55.0,45.0,65.0,,2025-12-29T17:15:13
Deadweight Losses or Gains from In-kind Transfers: Experimental Evidence,Evaluator 1,overall,65.0,55.0,75.0,,2025-12-29T17:15:13
Deadweight Losses or Gains from In-kind Transfers: Experimental Evidence,Evaluator 1,real_world,55.0,45.0,65.0,,2025-12-29T17:15:13
Do Celebrity Endorsements Matter? A Twitter Experiment Promoting Vaccination In Indonesia,Anirudh Tagat,adv_knowledge,90.0,,,,2025-12-29T17:15:13
Do Celebrity Endorsements Matter? A Twitter Experiment Promoting Vaccination In Indonesia,Anirudh Tagat,gp_relevance,100.0,,,,2025-12-29T17:15:13
Do Celebrity Endorsements Matter? A Twitter Experiment Promoting Vaccination In Indonesia,Anirudh Tagat,journal_predict,4.0,,,,2025-12-29T17:15:13
Do Celebrity Endorsements Matter? A Twitter Experiment Promoting Vaccination In Indonesia,Anirudh Tagat,logic_comms,85.0,,,,2025-12-29T17:15:13
Do Celebrity Endorsements Matter? A Twitter Experiment Promoting Vaccination In Indonesia,Anirudh Tagat,merits_journal,5.0,,,,2025-12-29T17:15:13
Do Celebrity Endorsements Matter? A Twitter Experiment Promoting Vaccination In Indonesia,Anirudh Tagat,methods,80.0,,,,2025-12-29T17:15:13
Do Celebrity Endorsements Matter? A Twitter Experiment Promoting Vaccination In Indonesia,Anirudh Tagat,open_sci,80.0,,,,2025-12-29T17:15:13
Do Celebrity Endorsements Matter? A Twitter Experiment Promoting Vaccination In Indonesia,Anirudh Tagat,overall,85.0,,,,2025-12-29T17:15:13
Do Celebrity Endorsements Matter? A Twitter Experiment Promoting Vaccination In Indonesia,Anirudh Tagat,real_world,100.0,,,,2025-12-29T17:15:13
Do Celebrity Endorsements Matter? A Twitter Experiment Promoting Vaccination In Indonesia,Evaluator 1,adv_knowledge,55.0,,,,2025-12-29T17:15:13
Do Celebrity Endorsements Matter? A Twitter Experiment Promoting Vaccination In Indonesia,Evaluator 1,gp_relevance,55.0,,,,2025-12-29T17:15:13
Do Celebrity Endorsements Matter? A Twitter Experiment Promoting Vaccination In Indonesia,Evaluator 1,journal_predict,3.0,,,,2025-12-29T17:15:13
Do Celebrity Endorsements Matter? A Twitter Experiment Promoting Vaccination In Indonesia,Evaluator 1,logic_comms,70.0,,,,2025-12-29T17:15:13
Do Celebrity Endorsements Matter? A Twitter Experiment Promoting Vaccination In Indonesia,Evaluator 1,merits_journal,3.0,,,,2025-12-29T17:15:13
Do Celebrity Endorsements Matter? A Twitter Experiment Promoting Vaccination In Indonesia,Evaluator 1,methods,55.0,,,,2025-12-29T17:15:13
Do Celebrity Endorsements Matter? A Twitter Experiment Promoting Vaccination In Indonesia,Evaluator 1,open_sci,45.0,,,,2025-12-29T17:15:13
Do Celebrity Endorsements Matter? A Twitter Experiment Promoting Vaccination In Indonesia,Evaluator 1,overall,62.0,,,,2025-12-29T17:15:13
Do Celebrity Endorsements Matter? A Twitter Experiment Promoting Vaccination In Indonesia,Evaluator 1,real_world,55.0,,,,2025-12-29T17:15:13
Does Conservation Work in General Equilibrium,Evaluator 1,adv_knowledge,80.0,75.0,85.0,,2025-12-29T17:15:13
Does Conservation Work in General Equilibrium,Evaluator 1,gp_relevance,70.0,65.0,75.0,,2025-12-29T17:15:13
Does Conservation Work in General Equilibrium,Evaluator 1,journal_predict,4.0,3.6,4.4,,2025-12-29T17:15:13
Does Conservation Work in General Equilibrium,Evaluator 1,logic_comms,65.0,60.0,70.0,,2025-12-29T17:15:13
Does Conservation Work in General Equilibrium,Evaluator 1,merits_journal,4.0,3.8,4.2,,2025-12-29T17:15:13
Does Conservation Work in General Equilibrium,Evaluator 1,methods,70.0,60.0,80.0,,2025-12-29T17:15:13
Does Conservation Work in General Equilibrium,Evaluator 1,open_sci,65.0,60.0,70.0,,2025-12-29T17:15:13
Does Conservation Work in General Equilibrium,Evaluator 1,overall,70.0,60.0,80.0,,2025-12-29T17:15:13
Does Conservation Work in General Equilibrium,Evaluator 1,real_world,70.0,65.0,75.0,,2025-12-29T17:15:13
Does Online Fundraising Increase Charitable Giving? A Nationwide Field Experiment on Facebook,Tabaré Capitán,adv_knowledge,90.0,80.0,95.0,,2025-12-29T17:15:13
Does Online Fundraising Increase Charitable Giving? A Nationwide Field Experiment on Facebook,Tabaré Capitán,claims,85.0,80.0,90.0,,2025-12-29T17:15:13
Does Online Fundraising Increase Charitable Giving? A Nationwide Field Experiment on Facebook,Tabaré Capitán,logic_comms,92.0,90.0,95.0,,2025-12-29T17:15:13
Does Online Fundraising Increase Charitable Giving? A Nationwide Field Experiment on Facebook,Tabaré Capitán,merits_journal,4.8,4.6,5.0,,2025-12-29T17:15:13
Does Online Fundraising Increase Charitable Giving? A Nationwide Field Experiment on Facebook,Tabaré Capitán,methods,97.0,95.0,99.0,,2025-12-29T17:15:13
Does Online Fundraising Increase Charitable Giving? A Nationwide Field Experiment on Facebook,Tabaré Capitán,open_sci,97.0,93.0,100.0,,2025-12-29T17:15:13
Does Online Fundraising Increase Charitable Giving? A Nationwide Field Experiment on Facebook,Tabaré Capitán,overall,92.0,85.0,95.0,,2025-12-29T17:15:13
Does online fundraising increase charitable giving? A nationwide field experiment on Facebook,David Reiley,adv_knowledge,90.0,80.0,95.0,,2025-12-29T17:15:13
Does online fundraising increase charitable giving? A nationwide field experiment on Facebook,David Reiley,claims,85.0,80.0,90.0,,2025-12-29T17:15:13
Does online fundraising increase charitable giving? A nationwide field experiment on Facebook,David Reiley,gp_relevance,90.0,80.0,94.0,,2025-12-29T17:15:13
Does online fundraising increase charitable giving? A nationwide field experiment on Facebook,David Reiley,logic_comms,93.0,90.0,98.0,,2025-12-29T17:15:13
Does online fundraising increase charitable giving? A nationwide field experiment on Facebook,David Reiley,merits_journal,4.5,3.9,4.7,,2025-12-29T17:15:13
Does online fundraising increase charitable giving? A nationwide field experiment on Facebook,David Reiley,methods,90.0,85.0,94.0,,2025-12-29T17:15:13
Does online fundraising increase charitable giving? A nationwide field experiment on Facebook,David Reiley,open_sci,92.0,88.0,95.0,,2025-12-29T17:15:13
Does online fundraising increase charitable giving? A nationwide field experiment on Facebook,David Reiley,overall,90.0,85.0,95.0,,2025-12-29T17:15:13
Does online fundraising increase charitable giving? A nationwide field experiment on Facebook,David Reiley,real_world,90.0,80.0,94.0,,2025-12-29T17:15:13
Does the Squeaky Wheel Get More Grease? The Direct and Indirect Effects of Citizen Participation on Environmental Governance in China,Evaluator 2,adv_knowledge,76.0,68.0,83.0,,2025-12-29T17:15:13
Does the Squeaky Wheel Get More Grease? The Direct and Indirect Effects of Citizen Participation on Environmental Governance in China,Evaluator 2,gp_relevance,91.0,78.0,94.0,,2025-12-29T17:15:13
Does the Squeaky Wheel Get More Grease? The Direct and Indirect Effects of Citizen Participation on Environmental Governance in China,Evaluator 2,journal_predict,4.6,3.5,5.0,,2025-12-29T17:15:13
Does the Squeaky Wheel Get More Grease? The Direct and Indirect Effects of Citizen Participation on Environmental Governance in China,Evaluator 2,logic_comms,67.0,62.0,78.0,,2025-12-29T17:15:13
Does the Squeaky Wheel Get More Grease? The Direct and Indirect Effects of Citizen Participation on Environmental Governance in China,Evaluator 2,merits_journal,4.3,3.7,4.8,,2025-12-29T17:15:13
Does the Squeaky Wheel Get More Grease? The Direct and Indirect Effects of Citizen Participation on Environmental Governance in China,Evaluator 2,methods,72.0,63.0,81.0,,2025-12-29T17:15:13
Does the Squeaky Wheel Get More Grease? The Direct and Indirect Effects of Citizen Participation on Environmental Governance in China,Evaluator 2,open_sci,48.0,42.0,68.0,,2025-12-29T17:15:13
Does the Squeaky Wheel Get More Grease? The Direct and Indirect Effects of Citizen Participation on Environmental Governance in China,Evaluator 2,overall,80.0,71.0,86.0,,2025-12-29T17:15:13
Does the Squeaky Wheel Get More Grease? The Direct and Indirect Effects of Citizen Participation on Environmental Governance in China,Evaluator 2,real_world,91.0,78.0,94.0,,2025-12-29T17:15:13
Economic vs. Epidemiological Approaches to Measuring the Human Capital Impacts of Infectious Disease Elimination,Evaluator 2,adv_knowledge,76.0,64.0,85.0,,2025-12-29T17:15:13
Economic vs. Epidemiological Approaches to Measuring the Human Capital Impacts of Infectious Disease Elimination,Evaluator 2,gp_relevance,95.0,90.0,100.0,,2025-12-29T17:15:13
Economic vs. Epidemiological Approaches to Measuring the Human Capital Impacts of Infectious Disease Elimination,Evaluator 2,journal_predict,3.3,2.6,4.1,,2025-12-29T17:15:13
Economic vs. Epidemiological Approaches to Measuring the Human Capital Impacts of Infectious Disease Elimination,Evaluator 2,logic_comms,91.0,81.0,100.0,,2025-12-29T17:15:13
Economic vs. Epidemiological Approaches to Measuring the Human Capital Impacts of Infectious Disease Elimination,Evaluator 2,merits_journal,3.3,2.6,4.1,,2025-12-29T17:15:13
Economic vs. Epidemiological Approaches to Measuring the Human Capital Impacts of Infectious Disease Elimination,Evaluator 2,methods,77.0,70.0,83.0,,2025-12-29T17:15:13
Economic vs. Epidemiological Approaches to Measuring the Human Capital Impacts of Infectious Disease Elimination,Evaluator 2,open_sci,96.0,92.0,100.0,,2025-12-29T17:15:13
Economic vs. Epidemiological Approaches to Measuring the Human Capital Impacts of Infectious Disease Elimination,Evaluator 2,overall,80.0,65.0,90.0,,2025-12-29T17:15:13
Economic vs. Epidemiological Approaches to Measuring the Human Capital Impacts of Infectious Disease Elimination,Evaluator 2,real_world,95.0,90.0,100.0,,2025-12-29T17:15:13
"Ends versus Means: Kantians, Utilitarians, and Moral Decisions",David Hugh-Jones,adv_knowledge,65.0,50.0,80.0,,2025-12-29T17:15:13
"Ends versus Means: Kantians, Utilitarians, and Moral Decisions",David Hugh-Jones,claims,75.0,60.0,90.0,,2025-12-29T17:15:13
"Ends versus Means: Kantians, Utilitarians, and Moral Decisions",David Hugh-Jones,gp_relevance,50.0,40.0,60.0,,2025-12-29T17:15:13
"Ends versus Means: Kantians, Utilitarians, and Moral Decisions",David Hugh-Jones,journal_predict,4.3,2.5,5.0,,2025-12-29T17:15:13
"Ends versus Means: Kantians, Utilitarians, and Moral Decisions",David Hugh-Jones,logic_comms,65.0,55.0,75.0,,2025-12-29T17:15:13
"Ends versus Means: Kantians, Utilitarians, and Moral Decisions",David Hugh-Jones,merits_journal,4.0,3.5,4.8,,2025-12-29T17:15:13
"Ends versus Means: Kantians, Utilitarians, and Moral Decisions",David Hugh-Jones,methods,70.0,60.0,80.0,,2025-12-29T17:15:13
"Ends versus Means: Kantians, Utilitarians, and Moral Decisions",David Hugh-Jones,open_sci,70.0,50.0,80.0,,2025-12-29T17:15:13
"Ends versus Means: Kantians, Utilitarians, and Moral Decisions",David Hugh-Jones,overall,70.0,45.0,85.0,,2025-12-29T17:15:13
"Ends versus Means: Kantians, Utilitarians, and Moral Decisions",David Hugh-Jones,real_world,50.0,40.0,60.0,,2025-12-29T17:15:13
