research,evaluator,criteria,middle_rating,lower_CI,upper_CI,confidence_level
Economic vs. Epidemiological Approaches to Measuring the Human Capital Impacts of Infectious Disease Elimination,Anon. evaluator 2,real_world,95,90,100,
Economic vs. Epidemiological Approaches to Measuring the Human Capital Impacts of Infectious Disease Elimination,Anon. evaluator 2,gp_relevance,86,77,95,
Economic vs. Epidemiological Approaches to Measuring the Human Capital Impacts of Infectious Disease Elimination,Anon. evaluator 2,journal_predict,3.3,2.6,4.1,
Economic vs. Epidemiological Approaches to Measuring the Human Capital Impacts of Infectious Disease Elimination,Anon. evaluator 2,merits_journal,3.3,2.6,4.1,
Economic vs. Epidemiological Approaches to Measuring the Human Capital Impacts of Infectious Disease Elimination,Anon. evaluator 2,logic_comms,91,81,100,
Economic vs. Epidemiological Approaches to Measuring the Human Capital Impacts of Infectious Disease Elimination,Anon. evaluator 2,open_sci,96,92,100,
Economic vs. Epidemiological Approaches to Measuring the Human Capital Impacts of Infectious Disease Elimination,Anon. evaluator 2,methods,77,70,83,
Economic vs. Epidemiological Approaches to Measuring the Human Capital Impacts of Infectious Disease Elimination,Anon. evaluator 2,adv_knowledge,76,64,85,
Selecting the Most Effective Nudge: Evidence from a Large-Scale Experiment on Immunization,Anon. evaluator 3,adv_knowledge,85,75,90,
Selecting the Most Effective Nudge: Evidence from a Large-Scale Experiment on Immunization,Anon. evaluator 3,methods,80,50,100,
Selecting the Most Effective Nudge: Evidence from a Large-Scale Experiment on Immunization,Anon. evaluator 3,logic_comms,80,50,100,
Selecting the Most Effective Nudge: Evidence from a Large-Scale Experiment on Immunization,Anon. evaluator 3,open_sci,70,25,80,
Selecting the Most Effective Nudge: Evidence from a Large-Scale Experiment on Immunization,Anon. evaluator 3,real_world,95,70,100,
Selecting the Most Effective Nudge: Evidence from a Large-Scale Experiment on Immunization,Anon. evaluator 3,gp_relevance,95,90,100,
Selecting the Most Effective Nudge: Evidence from a Large-Scale Experiment on Immunization,Anon. evaluator 3,journal_predict,4.5,4,5.0,
Selecting the Most Effective Nudge: Evidence from a Large-Scale Experiment on Immunization,Anon. evaluator 3,merits_journal,4.7,4,5.0,
Selecting the Most Effective Nudge: Evidence from a Large-Scale Experiment on Immunization,Anon. evaluator 3,overall,85,75,90,
Selecting the Most Effective Nudge: Evidence from a Large-Scale Experiment on Immunization,Anon. evaluator 2,journal_predict,4.7,4,5.0,
Selecting the Most Effective Nudge: Evidence from a Large-Scale Experiment on Immunization,Anon. evaluator 2,merits_journal,4.7,4,5.0,
Selecting the Most Effective Nudge: Evidence from a Large-Scale Experiment on Immunization,Anon. evaluator 2,overall,95,80,99,
Selecting the Most Effective Nudge: Evidence from a Large-Scale Experiment on Immunization,Anon. evaluator 2,real_world,95,75,99,
Selecting the Most Effective Nudge: Evidence from a Large-Scale Experiment on Immunization,Anon. evaluator 2,gp_relevance,85,70,99,
Selecting the Most Effective Nudge: Evidence from a Large-Scale Experiment on Immunization,Anon. evaluator 2,logic_comms,90,70,95,
Selecting the Most Effective Nudge: Evidence from a Large-Scale Experiment on Immunization,Anon. evaluator 2,open_sci,90,70,95,
Selecting the Most Effective Nudge: Evidence from a Large-Scale Experiment on Immunization,Anon. evaluator 2,methods,90,70,95,
Selecting the Most Effective Nudge: Evidence from a Large-Scale Experiment on Immunization,Anon. evaluator 2,adv_knowledge,95,80,99,
Does Conservation Work in General Equilibrium?,Anon. Evaluator 1,overall,70,60,80,
Does Conservation Work in General Equilibrium?,Anon. Evaluator 1,real_world,70,65,75,
Does Conservation Work in General Equilibrium?,Anon. Evaluator 1,gp_relevance,80,68,92,
Does Conservation Work in General Equilibrium?,Anon. Evaluator 1,journal_predict,4,3.8,4.2,
Does Conservation Work in General Equilibrium?,Anon. Evaluator 1,merits_journal,4,3.6,4.4,
Does Conservation Work in General Equilibrium?,Anon. Evaluator 1,logic_comms,65,60,70,
Does Conservation Work in General Equilibrium?,Anon. Evaluator 1,open_sci,65,60,70,
Does Conservation Work in General Equilibrium?,Anon. Evaluator 1,methods,70,60,80,
Does Conservation Work in General Equilibrium?,Anon. Evaluator 1,adv_knowledge,80,75,85,
Existential risk and growth,Ioannis Bournakis,adv_knowledge,60,55,65,
Existential risk and growth,Ioannis Bournakis,methods,85,80,90,
Existential risk and growth,Ioannis Bournakis,logic_comms,70,65,75,
Existential risk and growth,Ioannis Bournakis,open_sci,63,60,70,
Existential risk and growth,Ioannis Bournakis,real_world,65,60,72,
Existential risk and growth,Ioannis Bournakis,gp_relevance,70,65,75,
Existential risk and growth,Ioannis Bournakis,journal_predict,3.5,3.2,4.0,
Existential risk and growth,Ioannis Bournakis,merits_journal,3.5,3.2,4.1,
Existential risk and growth,Ioannis Bournakis,overall,68,60,70,
Existential risk and growth,Seth G. Benzell,overall,95,80,99,
Existential risk and growth,Seth G. Benzell,real_world,80,50,100,
Existential risk and growth,Seth G. Benzell,gp_relevance,80,60,100,
Existential risk and growth,Seth G. Benzell,journal_predict,4.5,4.2,5.0,
Existential risk and growth,Seth G. Benzell,merits_journal,4.5,3,5.0,
Existential risk and growth,Seth G. Benzell,open_sci,95,90,99,
Existential risk and growth,Seth G. Benzell,logic_comms,90,85,95,
Existential risk and growth,Seth G. Benzell,methods,90,75,95,
Existential risk and growth,Seth G. Benzell,adv_knowledge,80,50,100,
Water Treatment and Child Mortality: A Meta-analysis and Cost-effectiveness Analysis,Anon. evaluation 2,adv_knowledge,65,45,85,
Water Treatment and Child Mortality: A Meta-analysis and Cost-effectiveness Analysis,Anon. evaluation 2,methods,75,65,85,
Water Treatment and Child Mortality: A Meta-analysis and Cost-effectiveness Analysis,Anon. evaluation 2,logic_comms,95,90,100,
Water Treatment and Child Mortality: A Meta-analysis and Cost-effectiveness Analysis,Anon. evaluation 2,open_sci,90,80,100,
Water Treatment and Child Mortality: A Meta-analysis and Cost-effectiveness Analysis,Anon. evaluation 2,real_world,50,25,75,
Water Treatment and Child Mortality: A Meta-analysis and Cost-effectiveness Analysis,Anon. evaluation 2,gp_relevance,90,85,95,
Water Treatment and Child Mortality: A Meta-analysis and Cost-effectiveness Analysis,Anon. evaluation 2,journal_predict,3.7,3.2,4.2,
Water Treatment and Child Mortality: A Meta-analysis and Cost-effectiveness Analysis,Anon. evaluation 2,merits_journal,3.7,3.2,4.7,
Water Treatment and Child Mortality: A Meta-analysis and Cost-effectiveness Analysis,Anon. evaluation 2,overall,85,75,95,
Water Treatment and Child Mortality: A Meta-analysis and Cost-effectiveness Analysis,Masset and Waddington,overall,50,40,60,
Water Treatment and Child Mortality: A Meta-analysis and Cost-effectiveness Analysis,Masset and Waddington,real_world,20,0,40,
Water Treatment and Child Mortality: A Meta-analysis and Cost-effectiveness Analysis,Masset and Waddington,gp_relevance,45,30,60,
Water Treatment and Child Mortality: A Meta-analysis and Cost-effectiveness Analysis,Masset and Waddington,journal_predict,2.5,2,3.0,
Water Treatment and Child Mortality: A Meta-analysis and Cost-effectiveness Analysis,Masset and Waddington,merits_journal,3.5,2,5.0,
Water Treatment and Child Mortality: A Meta-analysis and Cost-effectiveness Analysis,Masset and Waddington,logic_comms,50,30,70,
Water Treatment and Child Mortality: A Meta-analysis and Cost-effectiveness Analysis,Masset and Waddington,open_sci,35,20,50,
Water Treatment and Child Mortality: A Meta-analysis and Cost-effectiveness Analysis,Masset and Waddington,methods,50,40,60,
Water Treatment and Child Mortality: A Meta-analysis and Cost-effectiveness Analysis,Masset and Waddington,adv_knowledge,80,70,90,
Forecasting Existential Risks: Evidence From a Long-Run Forecasting Tournament,Anon. evaluation 2,adv_knowledge,85,,,
Forecasting Existential Risks: Evidence From a Long-Run Forecasting Tournament,Anon. evaluation 2,methods,75,,,
Forecasting Existential Risks: Evidence From a Long-Run Forecasting Tournament,Anon. evaluation 2,logic_comms,75,,,
Forecasting Existential Risks: Evidence From a Long-Run Forecasting Tournament,Anon. evaluation 2,open_sci,85,,,
Forecasting Existential Risks: Evidence From a Long-Run Forecasting Tournament,Anon. evaluation 2,real_world,95,,,
Forecasting Existential Risks: Evidence From a Long-Run Forecasting Tournament,Anon. evaluation 2,gp_relevance,95,,,
Forecasting Existential Risks: Evidence From a Long-Run Forecasting Tournament,Anon. evaluation 2,overall,80,,,
Forecasting Existential Risks: Evidence From a Long-Run Forecasting Tournament,Anon. evaluation 1,overall,75,60,90,
Forecasting Existential Risks: Evidence From a Long-Run Forecasting Tournament,Anon. evaluation 1,merits_journal,4,3.5,5.0,
Forecasting Existential Risks: Evidence From a Long-Run Forecasting Tournament,Anon. evaluation 1,journal_predict,4,3.5,5.0,
Forecasting Existential Risks: Evidence From a Long-Run Forecasting Tournament,Anon. evaluation 1,gp_relevance,90,85,95,
Forecasting Existential Risks: Evidence From a Long-Run Forecasting Tournament,Anon. evaluation 1,real_world,90,85,95,
Forecasting Existential Risks: Evidence From a Long-Run Forecasting Tournament,Anon. evaluation 1,open_sci,70,60,80,
Forecasting Existential Risks: Evidence From a Long-Run Forecasting Tournament,Anon. evaluation 1,logic_comms,80,70,90,
Forecasting Existential Risks: Evidence From a Long-Run Forecasting Tournament,Anon. evaluation 1,methods,70,60,80,
Forecasting Existential Risks: Evidence From a Long-Run Forecasting Tournament,Anon. evaluation 1,adv_knowledge,75,60,90,
Biodiversity risk,Ben Balmford,adv_knowledge,45,39,50,
Biodiversity risk,Ben Balmford,methods,45,40,50,
Biodiversity risk,Ben Balmford,logic_comms,68,60,75,
Biodiversity risk,Ben Balmford,open_sci,90,80,100,
Biodiversity risk,Ben Balmford,real_world,63,55,70,
Biodiversity risk,Ben Balmford,gp_relevance,86,75,100,
Biodiversity risk,Ben Balmford,journal_predict,3.5,3.1,4.0,
Biodiversity risk,Ben Balmford,merits_journal,4.4,3.3,5.0,
Biodiversity risk,Ben Balmford,overall,61,51,72,
Biodiversity risk,Anon. Evaluator 1,merits_journal,4.5,4,5.0,
Biodiversity risk,Anon. Evaluator 1,open_sci,90,70,100,
Biodiversity risk,Anon. Evaluator 1,overall,65,50,80,
Biodiversity risk,Anon. Evaluator 1,journal_predict,4,3.5,4.5,
Biodiversity risk,Anon. Evaluator 1,gp_relevance,92,85,100,
Biodiversity risk,Anon. Evaluator 1,real_world,71,59,80,
Biodiversity risk,Anon. Evaluator 1,logic_comms,81,70,91,
Biodiversity risk,Anon. Evaluator 1,methods,70,60,85,
Biodiversity risk,Anon. Evaluator 1,adv_knowledge,70,60,80,
Legalizing Entrepreneurship,Anon. evaluation 1,adv_knowledge,60,50,70,
Legalizing Entrepreneurship,Anon. evaluation 1,methods,60,50,70,
Legalizing Entrepreneurship,Anon. evaluation 1,logic_comms,60,50,70,
Legalizing Entrepreneurship,Anon. evaluation 1,open_sci,60,40,60,
Legalizing Entrepreneurship,Anon. evaluation 1,real_world,60,70,90,
Legalizing Entrepreneurship,Anon. evaluation 1,gp_relevance,60,70,90,
Legalizing Entrepreneurship,Anon. evaluation 1,journal_predict,2.5,2,3,
Legalizing Entrepreneurship,Anon. evaluation 2,methods,92,86,97,
Legalizing Entrepreneurship,Anon. evaluation 2,logic_comms,98,95,100,
Legalizing Entrepreneurship,Anon. evaluation 2,open_sci,78,72,83,
Legalizing Entrepreneurship,Anon. evaluation 2,real_world,97,93,100,
Legalizing Entrepreneurship,Anon. evaluation 2,gp_relevance,94,88,100,
Legalizing Entrepreneurship,Anon. evaluation 2,journal_predict,4.4,4,4.7,
Legalizing Entrepreneurship,Anon. evaluation 2,adv_knowledge,96,90,100,
Accelerating Vaccine Innovation for Emerging Infectious Diseases via Parallel Discovery,Richard Bruns,methods,50,30,60,
Accelerating Vaccine Innovation for Emerging Infectious Diseases via Parallel Discovery,Richard Bruns,logic_comms,30,10,50,
Accelerating Vaccine Innovation for Emerging Infectious Diseases via Parallel Discovery,Richard Bruns,open_sci,50,30,70,
Accelerating Vaccine Innovation for Emerging Infectious Diseases via Parallel Discovery,Richard Bruns,real_world,60,50,80,
Accelerating Vaccine Innovation for Emerging Infectious Diseases via Parallel Discovery,Richard Bruns,gp_relevance,60,50,80,
Accelerating Vaccine Innovation for Emerging Infectious Diseases via Parallel Discovery,Richard Bruns,merits_journal,2,1,3,
Accelerating Vaccine Innovation for Emerging Infectious Diseases via Parallel Discovery,Richard Bruns,journal_predict,2,1,4,
Accelerating Vaccine Innovation for Emerging Infectious Diseases via Parallel Discovery,Richard Bruns,adv_knowledge,35,10,50,
Effects of Emigration on Rural Labor Markets,Frank Gyimah Sackey,journal_predict,2.5,1,3,
Effects of Emigration on Rural Labor Markets,Frank Gyimah Sackey,gp_relevance,70,50,90,
Effects of Emigration on Rural Labor Markets,Frank Gyimah Sackey,real_world,70,50,90,
Effects of Emigration on Rural Labor Markets,Frank Gyimah Sackey,open_sci,70,50,90,
Effects of Emigration on Rural Labor Markets,Frank Gyimah Sackey,logic_comms,70,50,90,
Effects of Emigration on Rural Labor Markets,Frank Gyimah Sackey,methods,70,50,90,
Effects of Emigration on Rural Labor Markets,Frank Gyimah Sackey,adv_knowledge,70,50,90,
Money (Not) to Burn: Payments for Ecosystem Services to Reduce Crop Residue Burning,Anon. evaluator 2,adv_knowledge,80,85,95,
Money (Not) to Burn: Payments for Ecosystem Services to Reduce Crop Residue Burning,Anon. evaluator 2,methods,80,65,75,
Money (Not) to Burn: Payments for Ecosystem Services to Reduce Crop Residue Burning,Anon. evaluator 2,logic_comms,90,80,90,
Money (Not) to Burn: Payments for Ecosystem Services to Reduce Crop Residue Burning,Anon. evaluator 2,open_sci,90,70,80,
Money (Not) to Burn: Payments for Ecosystem Services to Reduce Crop Residue Burning,Anon. evaluator 2,real_world,90,90,100,
Money (Not) to Burn: Payments for Ecosystem Services to Reduce Crop Residue Burning,Anon. evaluator 2,gp_relevance,90,90,100,
Money (Not) to Burn: Payments for Ecosystem Services to Reduce Crop Residue Burning,Anon. evaluator 2,journal_predict,4,,,
Money (Not) to Burn: Payments for Ecosystem Services to Reduce Crop Residue Burning,Karthik Tadepalli,methods,80,70,95,
Money (Not) to Burn: Payments for Ecosystem Services to Reduce Crop Residue Burning,Karthik Tadepalli,logic_comms,90,88,92,
Money (Not) to Burn: Payments for Ecosystem Services to Reduce Crop Residue Burning,Karthik Tadepalli,open_sci,80,75,95,
Money (Not) to Burn: Payments for Ecosystem Services to Reduce Crop Residue Burning,Karthik Tadepalli,real_world,95,90,100,
Money (Not) to Burn: Payments for Ecosystem Services to Reduce Crop Residue Burning,Karthik Tadepalli,gp_relevance,95,80,100,
Money (Not) to Burn: Payments for Ecosystem Services to Reduce Crop Residue Burning,Karthik Tadepalli,journal_predict,4,3,5,
Money (Not) to Burn: Payments for Ecosystem Services to Reduce Crop Residue Burning,Karthik Tadepalli,adv_knowledge,80,70,85,
Replicability & Generalisability:  A Guide to CEA discounts,Max Meier,methods,10,0,40,
Replicability & Generalisability:  A Guide to CEA discounts,Max Meier,logic_comms,30,10,50,
Replicability & Generalisability:  A Guide to CEA discounts,Max Meier,real_world,,,,
Replicability & Generalisability:  A Guide to CEA discounts,Max Meier,gp_relevance,50,10,80,
Replicability & Generalisability:  A Guide to CEA discounts,Max Meier,journal_predict,,,,
Replicability & Generalisability:  A Guide to CEA discounts,Max Meier,open_sci,10,,,
Replicability & Generalisability:  A Guide to CEA discounts,Max Meier,merits_journal,,,,
Replicability & Generalisability:  A Guide to CEA discounts,Max Meier,adv_knowledge,50,20,70,
Replicability & Generalisability:  A Guide to CEA discounts,Anon. evaluator 1,adv_knowledge,30,20,80,
Replicability & Generalisability:  A Guide to CEA discounts,Anon. evaluator 1,methods,,,,
Replicability & Generalisability:  A Guide to CEA discounts,Anon. evaluator 1,logic_comms,30,10,70,
Replicability & Generalisability:  A Guide to CEA discounts,Anon. evaluator 1,open_sci,10,0,50,
Replicability & Generalisability:  A Guide to CEA discounts,Anon. evaluator 1,real_world,,,,
Replicability & Generalisability:  A Guide to CEA discounts,Anon. evaluator 1,gp_relevance,70,50,95,
Replicability & Generalisability:  A Guide to CEA discounts,Anon. evaluator 1,journal_predict,,,,
Replicability & Generalisability:  A Guide to CEA discounts,Anon. evaluator 1,merits_journal,,,,
The Benefits and Costs of Guest Worker Programs: Experimental Evidence From the India-UAE Migration Corridor,Anon. evaluator 2,adv_knowledge,85,75,95,
The Benefits and Costs of Guest Worker Programs: Experimental Evidence From the India-UAE Migration Corridor,Anon. evaluator 2,methods,40,30,60,
The Benefits and Costs of Guest Worker Programs: Experimental Evidence From the India-UAE Migration Corridor,Anon. evaluator 2,logic_comms,85,60,90,
The Benefits and Costs of Guest Worker Programs: Experimental Evidence From the India-UAE Migration Corridor,Anon. evaluator 2,open_sci,90,85,95,
The Benefits and Costs of Guest Worker Programs: Experimental Evidence From the India-UAE Migration Corridor,Anon. evaluator 2,real_world,90,85,95,
The Benefits and Costs of Guest Worker Programs: Experimental Evidence From the India-UAE Migration Corridor,Anon. evaluator 2,gp_relevance,90,85,95,
The Benefits and Costs of Guest Worker Programs: Experimental Evidence From the India-UAE Migration Corridor,Anon. evaluator 2,journal_predict,4.3,4,4.5,
The Benefits and Costs of Guest Worker Programs: Experimental Evidence From the India-UAE Migration Corridor,Anon. evaluator 1,journal_predict,4.5,4,5.0,
The Benefits and Costs of Guest Worker Programs: Experimental Evidence From the India-UAE Migration Corridor,Anon. evaluator 1,gp_relevance,70,60,80,
The Benefits and Costs of Guest Worker Programs: Experimental Evidence From the India-UAE Migration Corridor,Anon. evaluator 1,real_world,80,75,85,
The Benefits and Costs of Guest Worker Programs: Experimental Evidence From the India-UAE Migration Corridor,Anon. evaluator 1,open_sci,70,65,75,
The Benefits and Costs of Guest Worker Programs: Experimental Evidence From the India-UAE Migration Corridor,Anon. evaluator 1,logic_comms,70,65,75,
The Benefits and Costs of Guest Worker Programs: Experimental Evidence From the India-UAE Migration Corridor,Anon. evaluator 1,methods,75,70,80,
The Benefits and Costs of Guest Worker Programs: Experimental Evidence From the India-UAE Migration Corridor,Anon. evaluator 1,adv_knowledge,80,75,85,
"The Long-Run Effects of Psychotherapy on Depression, Beliefs, and Economic Outcomes",Anon. evaluator 2,journal_predict,46,41,50,
"The Long-Run Effects of Psychotherapy on Depression, Beliefs, and Economic Outcomes",Anon. evaluator 2,open_sci,88,82,95,
"The Long-Run Effects of Psychotherapy on Depression, Beliefs, and Economic Outcomes",Anon. evaluator 2,gp_relevance,92,82,100,
"The Long-Run Effects of Psychotherapy on Depression, Beliefs, and Economic Outcomes",Anon. evaluator 2,real_world,86,79,93,
"The Long-Run Effects of Psychotherapy on Depression, Beliefs, and Economic Outcomes",Anon. evaluator 2,logic_comms,79,69,89,
"The Long-Run Effects of Psychotherapy on Depression, Beliefs, and Economic Outcomes",Anon. evaluator 2,methods,90,83,97,
"The Long-Run Effects of Psychotherapy on Depression, Beliefs, and Economic Outcomes",Anon. evaluator 2,adv_knowledge,90,80,100,
"The Long-Run Effects of Psychotherapy on Depression, Beliefs, and Economic Outcomes",Anon. evaluator 1,journal_predict,40,35,45,
"The Long-Run Effects of Psychotherapy on Depression, Beliefs, and Economic Outcomes",Anon. evaluator 1,gp_relevance,85,80,90,
"The Long-Run Effects of Psychotherapy on Depression, Beliefs, and Economic Outcomes",Anon. evaluator 1,real_world,83,76,90,
"The Long-Run Effects of Psychotherapy on Depression, Beliefs, and Economic Outcomes",Anon. evaluator 1,open_sci,35,20,50,
"The Long-Run Effects of Psychotherapy on Depression, Beliefs, and Economic Outcomes",Anon. evaluator 1,logic_comms,77,74,80,
"The Long-Run Effects of Psychotherapy on Depression, Beliefs, and Economic Outcomes",Anon. evaluator 1,methods,75,68,82,
"The Long-Run Effects of Psychotherapy on Depression, Beliefs, and Economic Outcomes",Anon. evaluator 1,adv_knowledge,83,76,90,
Universal Basic Income: Short-Term Results from a Long-Term Experiment in Kenya,Anon. evaluator 2,journal_predict,40,25,50,
Universal Basic Income: Short-Term Results from a Long-Term Experiment in Kenya,Anon. evaluator 2,gp_relevance,70,45,90,
Universal Basic Income: Short-Term Results from a Long-Term Experiment in Kenya,Anon. evaluator 2,real_world,87,74,98,
Universal Basic Income: Short-Term Results from a Long-Term Experiment in Kenya,Anon. evaluator 2,open_sci,30,10,75,
Universal Basic Income: Short-Term Results from a Long-Term Experiment in Kenya,Anon. evaluator 2,logic_comms,76,40,91,
Universal Basic Income: Short-Term Results from a Long-Term Experiment in Kenya,Anon. evaluator 2,methods,85,63,95,
Universal Basic Income: Short-Term Results from a Long-Term Experiment in Kenya,Anon. evaluator 2,adv_knowledge,85,65,95,
Universal Basic Income: Short-Term Results from a Long-Term Experiment in Kenya,Anon. evaluator 1,journal_predict,47,40,50,
Universal Basic Income: Short-Term Results from a Long-Term Experiment in Kenya,Anon. evaluator 1,gp_relevance,60,40,80,
Universal Basic Income: Short-Term Results from a Long-Term Experiment in Kenya,Anon. evaluator 1,real_world,90,80,100,
Universal Basic Income: Short-Term Results from a Long-Term Experiment in Kenya,Anon. evaluator 1,open_sci,90,80,100,
Universal Basic Income: Short-Term Results from a Long-Term Experiment in Kenya,Anon. evaluator 1,logic_comms,80,70,90,
Universal Basic Income: Short-Term Results from a Long-Term Experiment in Kenya,Anon. evaluator 1,methods,95,90,100,
Universal Basic Income: Short-Term Results from a Long-Term Experiment in Kenya,Anon. evaluator 1,adv_knowledge,93,70,100,
When do “Nudges” Increase Welfare?,Anon. evaluator 2,journal_predict,44,40,49,
When do “Nudges” Increase Welfare?,Anon. evaluator 2,merits_journal,37,33,41,
When do “Nudges” Increase Welfare?,Anon. evaluator 2,gp_relevance,10,1,20,
When do “Nudges” Increase Welfare?,Anon. evaluator 2,real_world,24,17,32,
When do “Nudges” Increase Welfare?,Anon. evaluator 2,open_sci,97,93,100,
When do “Nudges” Increase Welfare?,Anon. evaluator 2,logic_comms,70,66,74,
When do “Nudges” Increase Welfare?,Anon. evaluator 2,methods,75,66,84,
When do “Nudges” Increase Welfare?,Anon. evaluator 2,adv_knowledge,50,45,55,
When do “Nudges” Increase Welfare?,Anon. evaluator 1,gp_relevance,15,10,20,
When do “Nudges” Increase Welfare?,Anon. evaluator 1,real_world,15,10,20,
When do “Nudges” Increase Welfare?,Anon. evaluator 1,open_sci,95,90,100,
When do “Nudges” Increase Welfare?,Anon. evaluator 1,logic_comms,85,75,90,
When do “Nudges” Increase Welfare?,Anon. evaluator 1,methods,80,50,90,
When do “Nudges” Increase Welfare?,Anon. evaluator 1,adv_knowledge,15,10,20,
Cognitive Behavioral Therapy among Ghana’s Rural Poor Is Effective Regardless of Baseline Mental Distress,Anon. Evaluator 2,merits_journal,4,,,4
Cognitive Behavioral Therapy among Ghana’s Rural Poor Is Effective Regardless of Baseline Mental Distress,Anon. Evaluator 2,overall,75,70,84,
Accelerating Vaccine Innovation for Emerging Infectious Diseases via Parallel Discovery,Richard Bruns,overall,40,20,60,
Accelerating Vaccine Innovation for Emerging Infectious Diseases via Parallel Discovery,Richard Bruns,merits_journal,2,1,3,
Money (Not) to Burn: Payments for Ecosystem Services to Reduce Crop Residue Burning,Anon. evaluator 2,overall,85,80,90,
Money (Not) to Burn: Payments for Ecosystem Services to Reduce Crop Residue Burning,Anon. evaluator 2,merits_journal,4,,,85
