ISSN,Journal,Subject,JourQual,FT,Cnrs,EJL,ABS,Den,Hceres,Scopus,ABDC,Fnege,Meta,princomp1,h_index,citedness,JourQual2
0742-3322,Advances in Strategic Management,Gen & Strat,C,2,3,NA,2,1,B,1.4,C,3,NA,2.4040093494934167,43,0,C
1468-2621,African Affairs,IB,NA,2,NA,NA,3,2,NA,3.9,NA,NA,NA,-1.282745445262132,136,1.9759036144578312,NA
0169-5150,Agricultural Economics,Economics,NA,2,2,NA,2,1,A,NA,A,NA,NA,0.32963477099179983,131,3.481081081081081,NA
1944-3900,AIS Transactions on Human-Computer Interaction,"MIS, KM",NA,2,NA,NA,2,1,NA,NA,A,NA,NA,1.0301500466567126,26,2.2,NA
0002-7642,American Behavioral Scientist,"OS/OB,HRM/IR",NA,2,3,NA,1,1,B,3.2,B,NA,NA,2.570932641840617,172,2.026954177897574,NA
0002-7766,American Business Law Journal,Economics,NA,2,NA,NA,NA,1,NA,1.1,A,NA,NA,0.20021530426989975,37,0.6875,NA
1945-7782,American Economic Journal: Applied Economics,Economics,NA,2,1,NA,4,2,A,11.6,A*,1,NA,-3.6854970902421442,137,6.586538461538462,NA
1945-7731,American Economic Journal: Economic Policy,Economics,NA,2,1,NA,3,2,A,9.3,A*,1,NA,-3.108971503355762,113,7.171875,NA
1945-7707,American Economic Journal: Macroeconomics,Economics,NA,2,1,NA,4,2,A,7.5,A*,1,NA,-3.6854970902421442,106,7.820754716981132,NA
1945-7669,American Economic Journal: Microeconomics,Economics,NA,2,1,NA,3,2,A,3.6,A*,1,NA,-3.108971503355762,68,2.6824324324324325,NA
0002-8282,American Economic Review,Economics,A+,1,1*,NA,4*,3,A,12.1,A*,1*,A+,-7.3617680043343885,NA,NA,A+
2640-205X,American Economic Review: Insights,Economics,NA,2,NA,NA,3,NA,NA,NA,A*,NA,NA,-2.0829765341035458,37,9.416666666666666,NA
0002-9092,American Journal of Agricultural Economics,Economics,NA,2,1,NA,3,1,A,5.5,A*,NA,NA,-1.9116630998570148,213,3.1831683168316833,NA
0002-9246,American Journal of Economics and Sociology,Economics,NA,2,NA,NA,2,1,NA,0.8,B,NA,NA,1.9216396308879002,68,0.9111111111111111,NA
1098-2140,American Journal of Evaluation,PSM,NA,2,NA,NA,NA,2,NA,3.1,C,NA,NA,1.3183097875329497,77,1.3240740740740742,NA
0092-5853,American Journal of Political Science,Sociology,NA,2,NA,NA,NA,2,NA,8.2,A*,NA,NA,-2.853744639698516,298,6.064327485380117,NA
0002-9556,American Journal of Psychology,Psychology,NA,2,NA,NA,1,1,NA,1.7,B,NA,NA,3.0434439513342704,2,0.35714285714285715,NA
0090-0036,American Journal of Public Health,Economics,B,2,NA,NA,NA,2,NA,6.9,A*,NA,NA,-1.8460444921233514,NA,NA,B
0002-9602,American Journal of Sociology,Sociology,NA,2,NA,NA,4*,2,NA,6.9,A*,1,NA,-4.276249554909071,358,0.990506329113924,NA
0003-0554,American Political Science Review,PSM,NA,2,NA,NA,NA,2,NA,7.3,A*,NA,NA,-2.853744639698516,363,6.732876712328767,NA
0003-066X,American Psychologist,Psychology,B,2,NA,NA,NA,1,NA,6.9,A*,NA,NA,-0.7708171168611813,434,5.868055555555555,B
0275-0740,American Review of Public Administration,PSM,C,2,NA,NA,3,2,B,4.3,B,3,B,0.76652037432483755,92,2.358974358974359,C
0003-1224,American Sociological Review,Sociology,NA,2,NA,NA,4*,2,NA,11.8,A*,1,NA,-4.276249554909071,459,7.117647058823529,NA
0003-1305,American Statistician,"OR,MS,POM",NA,2,NA,NA,NA,1,NA,5.8,B,NA,NA,1.5909001133470555,164,1.5913043478260869,NA
1748-4995,Annals of Actuarial Science,F&A,NA,2,NA,NA,1,1,NA,0.9,A,NA,NA,2.1519543671030843,25,1.0212765957446808,NA
1050-5164,Annals of Applied Probability,"MIS, KM",NA,2,NA,NA,NA,2,NA,3.2,A,NA,NA,-1.4630598306213616,131,1.5576036866359446,NA
0254-5330,Annals of Operations Research,"OR,MS,POM",B,2,2,S,3,1,A,5.2,A,2,B,-0.17954483151352177,159,4.7087691069991955,B
0091-1798,Annals of Probability,"OR,MS,POM",NA,2,NA,NA,NA,2,NA,4.3,A*,NA,NA,-2.853744639698516,180,2.143884892086331,NA
1370-4788,Annals of Public and Cooperative Economics,Economics,NA,2,NA,NA,2,1,C,2.9,B,4,NA,2.498117307271877,0,0,NA
0570-1864,Annals of Regional Science,Economics,NA,2,2,NA,2,1,A,3.2,B,4,NA,1.6444473064825174,92,2.246987951807229,NA
0090-5364,Annals of Statistics,"OR,MS,POM",NA,2,NA,NA,4*,2,NA,5.8,A*,NA,A,-4.299571549455984,307,3.2054794520547945,NA
0004-5608,Annals of the Association of American Geographers,Sociology,NA,2,NA,NA,NA,2,NA,NA,NA,NA,NA,-2.2161493440020767,180,0,NA
0160-7383,Annals of Tourism Research,Tourism,NA,2,3,S,4,2,A,7.0,A*,2,NA,-1.1499331931572487,267,8.081005586592179,NA
1941-1383,Annual Review of Economics,Economics,NA,2,2,NA,3,1,A,5.5,B,NA,NA,0.22294497024811594,107,11.482758620689655,NA
1941-1367,Annual Review of Financial Economics,Economics,NA,2,NA,NA,3,1,NA,4.0,B,NA,NA,0.7998353104415316,67,9.76086956521739,NA
2327-0616,Annual Review of Organizational Psychology and Organiza,"Psych, OS/OB",NA,2,NA,NA,NA,NA,C,22.3,A*,4,NA,0.7001303712765061,NA,NA,NA
0066-4308,Annual Review of Psychology,Psychology,NA,2,NA,NA,4,2,NA,36.7,A*,NA,NA,-3.177767229009614,356,25.476190476190474,NA
0360-0572,Annual Review of Sociology,Sociology,NA,2,NA,NA,4*,2,NA,10.4,A*,2,NA,-3.472858016089863,280,10.535714285714286,NA
0066-4812,Antipode,Sociology,NA,2,NA,NA,3,2,NA,5.9,NA,NA,NA,-1.282745445262132,132,3.4170403587443947,NA
0003-6846,Applied Economics,Economics,B,2,2,NA,2,1,A,2.3,A,3,NA,0.3002717216812398,141,2.121836925960637,B
1350-4851,Applied Economics Letters,Economics,NA,2,4,NA,1,1,C,1.4,B,NA,NA,3.3775835998610124,83,1.3151581243184296,NA
0003-6870,Applied Ergonomics,"OS/OB,HRM/IR",NA,2,NA,NA,3,1,NA,7.1,NA,NA,NA,0.018520862958954783,154,3.9356060606060606,NA
0960-3107,Applied Financial Economics,Economics,C,2,4,S,2,1,C,NA,B,4,NA,2.8012797519608026,92,0,C
1350-486X,Applied Mathematical Finance,F&A,C,2,NA,NA,2,1,C,1.3,B,4,NA,2.655653652733625,57,1.6388888888888888,C
0146-6216,Applied Psychological Measurement,Psychology,NA,2,NA,NA,2,1,NA,2.9,B,NA,NA,1.9216396308879002,120,1.1904761904761905,NA
0269-994X,Applied Psychology,Psychology,B,2,3,S,3,1,B,5.3,A,2,B,0.2313641327866819,137,4.658823529411765,B
0004-3702,Artificial Intelligence,"MIS, KM",B,2,NA,NA,NA,2,NA,8.3,NA,NA,NA,-1.0759515388994065,NA,NA,B
1360-2381,Asia Pacific Business Review,IB,C,2,3,NA,2,1,B,2.7,B,4,NA,2.4141539548587683,50,2.1319444444444446,C
1038-4111,Asia Pacific Journal of Human Resources,"OS/OB,HRM/IR",NA,2,4,NA,2,1,C,4.4,B,4,NA,2.8554063909283047,57,3.4086021505376345,NA
0217-4561,Asia Pacific Journal of Management,IB,C,2,4,S,3,2,B,5.4,A,3,B,1.0101191821570632,108,4.049180327868853,C
1355-5855,Asia Pacific Journal of Marketing and Logistics,Marketing,NA,2,NA,NA,1,1,NA,4.5,A,NA,NA,2.1519543671030843,70,4.358267716535433,NA
1094-1665,Asia Pacific Journal of Tourism Research,Tourism,NA,2,NA,NA,1,1,NA,4.4,A,NA,NA,2.1519543671030843,69,4.048275862068966,NA
1608-1625,Asia-Pacific Journal of Accounting and Economics,F&A,C,2,NA,NA,2,1,NA,1.4,B,4,NA,2.655653652733625,NA,NA,C
0218-5377,Asian Journal of Political Science,PSM,NA,2,NA,NA,NA,1,NA,1.2,B,NA,NA,1.5909001133470555,26,1.1,NA
0515-0361,Astin Bulletin,F&A,A,2,3,NA,2,2,B,2.1,A,3,B,-0.5449924849288237,78,1.4848484848484849,A
0197-4254,Atlantic Economic Journal,Economics,NA,2,NA,NA,1,1,NA,0.7,C,NA,NA,3.93493353556546,44,0.609375,NA
0278-0380,Auditing,F&A,B,2,2,P,3,2,A,4.1,A*,2,A,-2.0507986428115372,121,2.4927536231884058,B
1449-8618,Australasian Journal of Information Systems,"MIS, KM",C,2,NA,NA,1,NA,NA,NA,A,NA,NA,2.623775942686558,39,2.6721311475409837,C
1441-3582,Australasian Marketing Journal,Marketing,D,2,NA,NA,1,1,NA,3.9,A,NA,NA,3.7542169185342233,67,2.917525773195876,D
1035-6908,Australian Accounting Review,F&A,C,2,NA,NA,2,1,NA,3.5,B,4,NA,2.655653652733625,57,2.1690140845070425,C
0311-6336,Australian Bulletin of Labour,"OS/OB,HRM/IR",NA,2,NA,NA,1,NA,NA,NA,B,NA,NA,3.2970409663279616,18,0,NA
0004-8992,Australian Economic History Review,Bus Hist,NA,2,3,NA,2,1,B,0.9,B,NA,NA,1.8002642850545634,41,0.9090909090909091,NA
0004-900X,Australian Economic Papers,Economics,NA,2,4,NA,1,1,C,1.3,B,NA,NA,3.3775835998610124,48,1.0945945945945945,NA
0004-9018,Australian Economic Review,Economics,NA,2,4,NA,1,1,C,1.2,B,NA,NA,3.3775835998610124,51,0.8431372549019608,NA
1364-985X,Australian Journal of Agricultural and Resource Economics,Economics,NA,2,3,NA,2,1,B,2.9,A,NA,NA,1.1362857290121955,72,2.00990099009901,NA
1030-7222,Australian Journal of Labour Law,"OS/OB,HRM/IR",NA,2,NA,NA,NA,NA,NA,NA,A,NA,NA,-1.9174964748018775,9,0.3333333333333333,NA
0312-8962,Australian Journal of Management,Gen & Strat,C,2,NA,NA,2,1,NA,2.7,A,4,NA,2.12145502112339,66,1.8987341772151898,C
0004-9530,Australian Journal of Psychology,Psychology,NA,2,NA,NA,1,1,NA,2.9,B,NA,NA,3.1386258195119385,75,4.2727272727272725,NA
0313-6647,Australian Journal of Public Administration,PSM,C,2,NA,NA,2,1,NA,2.4,A,NA,NA,1.7730445862600175,68,2.107142857142857,C
1555-0494,B.E. Journal of Economic Analysis and Policy,Economics,NA,2,3,NA,2,1,B,0.9,NA,NA,NA,1.4732856510015324,NA,NA,NA
1935-1690,B.E. Journal of Macroeconomics,Economics,NA,2,2,NA,2,1,A,0.9,A,NA,NA,0.32963477099179983,36,0.5,NA
1935-1704,B.E. Journal of Theoretical Economics,Economics,NA,2,3,NA,2,1,B,0.5,A,NA,NA,1.1362857290121955,33,0.28846153846153844,NA
0197-3533,Basic and Applied Social Psychology,Psychology,NA,2,NA,NA,1,1,NA,2.9,B,NA,NA,3.0434439513342704,109,2.3846153846153846,NA
1469-1825,Behavioral and Brain Sciences,Psychology,NA,2,NA,NA,4,2,NA,3.5,NA,NA,NA,-2.6928366025058827,285,1.0617088607594938,NA
1050-4753,Behavioral Research in Accounting,F&A,B,2,3,S,3,2,B,2.7,A,3,B,0.0544954932140935,55,0.8333333333333334,B
0144-929X,Behaviour and Information Technology,"MIS, KM",NA,2,NA,NA,2,2,NA,4.5,A,NA,B,-0.042669003885685876,NA,NA,NA
1463-5771,Benchmarking,"OR,MS,POM",C,2,NA,NA,1,1,NA,5.0,B,NA,NA,3.1406925974036626,91,4.649275362318841,C
0340-5370,Betriebswirtschaftliche Forschung und Praxis,Gen & Strat,C,2,NA,NA,NA,1,NA,0.1,C,NA,NA,3.4742803127400697,5,0,C
0006-3444,Biometrika,"OR,MS,POM",NA,2,NA,NA,4,2,NA,3.1,A*,NA,A,-2.9385678824428774,322,1.920863309352518,NA
0890-8389,British Accounting Review,F&A,C,2,3,S,3,1,B,7.0,A*,3,B,0.7581903352625531,112,5.858823529411764,C
0141-1926,British Educational Research Journal,Education,NA,2,NA,NA,3,2,NA,3.3,NA,NA,NA,-1.282745445262132,127,2.987878787878788,NA
0007-0998,British Journal of Educational Psychology,Education,NA,2,NA,NA,NA,1,NA,4.9,NA,NA,NA,0.02570076787914778,154,3.149171270718232,NA
0007-1013,British Journal of Educational Technology,Education,NA,2,NA,NA,2,2,NA,7.6,A,NA,NA,-0.042669003885685876,141,7.57258064516129,NA
0007-1080,British Journal of Industrial Relations,"OS/OB,HRM/IR",B,2,2,P,4,2,A,3.8,A*,2,A,-2.441228320304251,103,0.8866666666666667,B
1045-3172,British Journal of Management,Gen & Strat,B,2,2,S,4,2,A,6.8,A,1,B,-1.5508256356265189,156,4.892430278884462,B
0007-1234,British Journal of Political Science,PSM,NA,2,NA,NA,NA,2,NA,6.9,A,NA,NA,-1.4630598306213616,164,3.5819209039548023,NA
0007-1269,British Journal of Psychology,Psychology,NA,2,NA,NA,3,1,NA,6.4,A,NA,NA,-0.09165427378965854,NA,NA,NA
0144-6665,British Journal of Social Psychology,Psychology,NA,2,NA,NA,3,1,NA,5.1,A,NA,NA,-0.09165427378965854,NA,NA,NA
0045-3102,British Journal of Social Work,PSM,NA,2,NA,NA,NA,2,NA,3.0,NA,NA,NA,-2.2161493440020767,107,1.494296577946768,NA
0007-1315,British Journal of Sociology,Sociology,NA,2,NA,NA,3,2,NA,4.6,A,3,NA,-0.5068182713156054,221,2.127659574468085,NA
0007-2303,Brookings Papers on Economic Activity,Economics,NA,2,1,NA,3,1,A,15.6,A,2,NA,-1.3115437301205612,NA,NA,NA
0307-3378,Bulletin of Economic Research,Economics,NA,2,3,NA,2,1,B,1.0,B,NA,NA,1.8002642850545634,56,0.875,NA
0007-4918,Bulletin of Indonesian Economic Studies,Economics,NA,2,NA,NA,1,1,NA,3.4,B,NA,NA,3.0434439513342704,54,1.9056603773584906,NA
0007-6503,Business and Society,Gen & Strat,B,2,2,S,3,2,A,11.0,A,2,B,-0.7584047146099576,NA,NA,B
0962-8770,Business Ethics,"OS/OB,HRM/IR",C,2,4,S,2,1,B,5.9,B,3,NA,2.399288508436955,NA,NA,C
1052-150X,Business Ethics Quarterly,"OS/OB,HRM/IR",B,2,2,NA,4,1,A,4.6,A,2,B,-1.0945177183066075,117,1.6341463414634145,B
0007-6791,Business History,Bus Hist,NA,2,2,P,4,2,A,2.0,A,2,NA,-2.2251107577406515,65,0.7133333333333334,NA
0007-6805,Business History Review,Bus Hist,NA,2,3,S,4,2,B,1.4,A,3,NA,-0.17959394962738578,65,0.5972850678733032,NA
0007-6813,Business Horizons,Gen & Strat,C,2,NA,NA,2,1,B,11.3,B,3,NA,2.070604177283893,167,6.523809523809524,C
1463-7154,Business Process Management Journal,"OR,MS,POM",C,2,3,NA,2,1,B,4.8,B,4,NA,2.377568038596858,109,5.593103448275862,C
0964-4733,Business Strategy and the Environment,Gen & Strat,B,2,4,NA,3,1,B,10.3,A,3,B,0.80663511657306,172,13.404354587869362,B
0955-6419,Business Strategy Review,Gen & Strat,C,2,NA,NA,1,NA,NA,NA,B,NA,NA,3.4404900787113077,51,0,C
0008-1256,California Management Review,Gen & Strat,B,2,2,P*,3,2,A,8.6,A,2,B,-2.0671759583762137,221,7.04,B
0309-166X,Cambridge Journal of Economics,Economics,NA,2,2,NA,3,2,A,3.5,A,3,NA,-0.7295060536390654,130,2.032,NA
0825-0383,Canadian Journal of Administrative Sciences,Multidisciplinary,NA,2,NA,NA,2,1,B,2.1,B,3,NA,1.6947257684526689,NA,NA,NA
0008-4085,Canadian Journal of Economics,Economics,C,2,2,NA,3,1,A,1.6,A,NA,NA,0.47945390506934993,154,1.6103896103896105,C
0309-8168,Capital and Class,Sociology,NA,2,NA,NA,2,1,B,2.0,B,NA,NA,1.9216396308879002,NA,NA,NA
1362-0436,Career Development International,"OS/OB,HRM/IR",NA,2,NA,NA,2,1,C,4.2,B,4,NA,2.498117307271877,98,3.9740259740259742,NA
0889-4019,Career Development Quarterly,"OS/OB,HRM/IR",NA,2,NA,NA,2,2,NA,3.0,NA,4,NA,1.3922299797953328,88,1.837837837837838,NA
1029-807X,China Accounting and Finance Review,F&A,NA,2,NA,NA,NA,NA,NA,NA,A,NA,NA,-1.9174964748018775,8,0.96875,NA
1043-951X,China Economic Review,Economics,NA,2,2,NA,2,1,A,4.6,A,NA,NA,0.32963477099179983,116,6.070247933884297,NA
0305-7410,China Quarterly,Economics,NA,2,NA,NA,2,2,NA,3.8,A,NA,NA,-0.042669003885685876,NA,NA,NA
1873-7838,Cognition,Psychology,NA,2,NA,NA,4,2,NA,5.5,NA,NA,NA,-2.6928366025058827,321,3.370716510903427,NA
0010-0285,Cognitive Psychology,Psychology,NA,2,NA,NA,NA,2,NA,5.7,A,NA,NA,-1.9419297853017081,258,2.523076923076923,NA
1551-6709,Cognitive Science,Psychology,NA,2,NA,NA,3,2,NA,4.8,NA,NA,NA,-1.282745445262132,NA,NA,NA
0363-7751,Communication Monographs,Comm,NA,2,NA,NA,NA,2,NA,7.7,A,NA,NA,-1.4630598306213616,127,2.8372093023255816,NA
0093-6502,Communication Research,Comm,NA,2,NA,S,NA,2,NA,9.4,A,NA,NA,0.2256606816976062,168,4.031746031746032,NA
1050-3293,Communication Theory,Comm,NA,2,NA,NA,NA,2,NA,4.6,A,NA,NA,-1.4630598306213616,112,3.066666666666667,NA
0001-0782,Communications of the ACM,"MIS, KM",B,2,NA,P,2,2,NA,11.3,A,NA,B,-1.0262318868985785,403,4.776337115072933,B
1529-3181,Communications of the Association for Information Systems,"MIS, KM",C,2,4,NA,2,2,C,3.3,A,4,B,1.7950194126940495,85,1.7891566265060241,C
0010-4159,Comparative Politics,Sociology,NA,2,NA,NA,NA,2,NA,2.0,A,NA,NA,-1.4630598306213616,120,2.3333333333333335,NA
1024-5294,Competition and Change,Sociology,NA,2,3,NA,2,1,B,3.5,B,3,NA,1.6321581031646963,NA,NA,NA
1262-2788,Comptabilité - Contrôle - Audit,F&A,NA,2,2,NA,NA,NA,A,NA,B,2,NA,-0.4675229572164396,3,0,NA
0010-4620,Computer Journal,"MIS, KM",NA,2,NA,NA,2,2,NA,2.6,C,NA,NA,1.7403101645766885,137,1.6780045351473922,NA
0360-8352,Computers and Industrial Engineering,"OR,MS,POM",B,2,3,S,2,1,B,7.9,A,3,NA,1.023785053803243,NA,NA,B
0305-0548,Computers and Operations Research,"OR,MS,POM",B,2,2,P,3,1,A,8.2,A,NA,B,-0.954901350144507,14,0,B
0747-5632,Computers in Human Behavior,"MIS, KM",NA,2,NA,NA,2,1,NA,13.8,A,NA,B,1.0301500466567126,281,11.793148880105402,NA
0823-9150,Contemporary Accounting Research,F&A,A,1,2,P*,4,2,A,4.3,A*,1,A,-4.8952815673003744,167,4.00507614213198,A
1074-3529,Contemporary Economic Policy,Economics,NA,2,NA,NA,2,1,NA,1.9,B,NA,NA,1.9216396308879002,80,1.7789473684210526,NA
0094-3061,Contemporary Sociology,Sociology,NA,2,NA,NA,NA,1,NA,2.1,C,NA,NA,2.9815849224242115,511,1.1466165413533835,NA
0277-5921,Contributions to Political Economy,Economics,NA,2,NA,NA,2,1,C,0.4,B,NA,NA,1.9216396308879002,30,1.78125,NA
0964-8410,Corporate Governance: An International Review,IB,C,2,3,S,3,1,B,3.7,A,3,B,1.1780701009532955,NA,NA,C
1472-0701,Corporate Governance: The International Journal of Busin,Gen & Strat,C,2,NA,NA,2,1,NA,NA,C,NA,NA,3.0508052720737604,NA,NA,C
1363-3589,Corporate Reputation Review,"OS/OB,HRM/IR",D,2,NA,S,1,1,NA,1.7,C,NA,NA,4.406498434816871,88,1.9591836734693877,D
0963-1690,Creativity and Innovation Management,Innovation,C,2,3,NA,2,2,B,5.2,C,3,B,1.7665614727113899,89,3.424,C
1740-5904,Critical Discourse Studies,Comm,NA,2,NA,NA,NA,2,NA,3.2,B,NA,NA,-0.07237502154420496,55,1.6145833333333333,NA
2164-5744,Critical Finance Review,F&A,NA,2,NA,NA,1,1,NA,2.00,A*,NA,B,1.2604647828718942,26,3.375,NA
1045-2354,Critical Perspectives on Accounting,F&A,B,2,2,NA,3,1,A,6.6,A,2,B,-0.6346071295890501,110,6.032,B
1742-2043,Critical Perspectives on International Business,IB,NA,2,4,NA,2,1,C,2.5,B,4,NA,2.8554063909283047,42,2.5714285714285716,NA
1529-5036,Critical Studies in Media Communication,Comm,NA,2,NA,NA,NA,1,NA,2.0,C,NA,NA,2.9815849224242115,61,1.382716049382716,NA
2059-5794,Cross Cultural and Strategic Management,"OS/OB,HRM/IR",C,2,3,NA,2,1,B,3.8,B,4,NA,2.4141539548587683,NA,NA,C
1475-9551,Culture and Organization,Sociology,D,2,4,NA,2,1,C,2.1,B,4,NA,3.5882442682961826,39,1.5,D
1467-8721,Current Directions in Psychological Science,Psychology,NA,2,NA,NA,4,1,NA,9.0,NA,NA,NA,-1.3915702942847965,245,8.278571428571428,NA
1368-3500,Current Issues in Tourism,Tourism,NA,2,NA,NA,2,1,B,8.6,A,3,NA,1.0409805359126572,116,5.758555133079848,NA
0169-023X,Data and Knowledge Engineering,"MIS, KM",B,2,NA,NA,NA,2,NA,4.7,A,NA,NA,-1.0399774634395547,NA,NA,B
0011-7315,Decision Sciences,"OR,MS,POM",B,2,2,P,3,2,A,4.2,A*,2,A,-2.0507986428115372,165,1.54,B
0167-9236,Decision Support Systems,"MIS, KM",B,2,2,P,3,2,A,10.5,A*,2,A,-2.0507986428115372,NA,NA,B
0070-3370,Demography,Economics,NA,2,1,NA,NA,2,A,5.1,A,NA,NA,-2.41247449885083,206,4.029556650246305,NA
0012-1533,Developing Economies,Economics,NA,2,NA,NA,NA,1,NA,1.3,B,NA,NA,1.5909001133470555,54,0.5222222222222223,NA
0012-155X,Development and Change,Sociology,NA,2,2,S,3,2,A,3.8,B,3,NA,0.26356670188125275,129,3.088235294117647,NA
0957-9265,Discourse and Society,Comm,NA,2,NA,NA,NA,2,NA,2.6,A,NA,NA,-1.4630598306213616,42,0.42857142857142855,NA
0921-8009,Ecological Economics,Economics,B,2,1,NA,3,1,A,9.1,A,2,B,-1.1177441213937387,287,7.065079365079365,B
0747-4938,Econometric Reviews,Economics,NA,2,2,NA,3,1,A,2.4,A,3,NA,-0.0882954423569529,106,0.73,NA
0266-4666,Econometric Theory,Economics,NA,2,1,NA,4,2,A,2.5,A*,1,NA,-3.6854970902421442,131,0.7890625,NA
0012-9682,Econometrica,Economics,A+,2,1*,NA,4*,3,A,7.9,A*,1*,A+,-6.246788208939529,508,7.487704918032787,A+
