research,evaluator,criteria,middle_rating,lower_CI,upper_CI
Banning wildlife trade can boost demand for unregulated threatened species,Liew Jia Huan,journal_predict,3.0,,
Banning wildlife trade can boost demand for unregulated threatened species,Liew Jia Huan,logic_comms,70.0,,
Banning wildlife trade can boost demand for unregulated threatened species,Liew Jia Huan,merits_journal,3.0,,
Banning wildlife trade can boost demand for unregulated threatened species,Liew Jia Huan,methods,80.0,,
Banning wildlife trade can boost demand for unregulated threatened species,Liew Jia Huan,open_sci,70.0,,
Banning wildlife trade can boost demand for unregulated threatened species,Liew Jia Huan,overall,75.0,,
Banning wildlife trade can boost demand for unregulated threatened species,Liew Jia Huan,real_world,90.0,,
Long term cost-effectiveness of resilient foods for global catastrophes compared to artificial general intelligence safety,Alex Bates,real_world,80.0,,
Long term cost-effectiveness of resilient foods for global catastrophes compared to artificial general intelligence safety,Anca Hanea,real_world,80.0,,
Long term cost-effectiveness of resilient foods for global catastrophes compared to artificial general intelligence safety,Scott Janzwood,adv_knowledge,70.0,,
Long term cost-effectiveness of resilient foods for global catastrophes compared to artificial general intelligence safety,Scott Janzwood,gp_relevance,80.0,,
Long term cost-effectiveness of resilient foods for global catastrophes compared to artificial general intelligence safety,Scott Janzwood,journal_predict,3.5,,
Long term cost-effectiveness of resilient foods for global catastrophes compared to artificial general intelligence safety,Scott Janzwood,logic_comms,80.0,,
Long term cost-effectiveness of resilient foods for global catastrophes compared to artificial general intelligence safety,Scott Janzwood,merits_journal,3.5,,
Long term cost-effectiveness of resilient foods for global catastrophes compared to artificial general intelligence safety,Scott Janzwood,overall,65.0,,
Long term cost-effectiveness of resilient foods for global catastrophes compared to artificial general intelligence safety,Scott Janzwood,real_world,80.0,,
Money (Not) to Burn: Payments for Ecosystem Services to Reduce Crop Residue Burning,Anon. evaluator 2 1,journal_predict,4.0,,
Money (Not) to Burn: Payments for Ecosystem Services to Reduce Crop Residue Burning,Anon. evaluator 2 1,merits_journal,4.0,,
The Comparative Impact of Cash Transfers and a Psychotherapy Program on Psychological and Economic Well-being,Hannah Metzler,adv_knowledge,70.0,60.0,90.0
The Comparative Impact of Cash Transfers and a Psychotherapy Program on Psychological and Economic Well-being,Hannah Metzler,gp_relevance,75.0,60.0,90.0
The Comparative Impact of Cash Transfers and a Psychotherapy Program on Psychological and Economic Well-being,Hannah Metzler,journal_predict,3.0,2.0,4.0
The Comparative Impact of Cash Transfers and a Psychotherapy Program on Psychological and Economic Well-being,Hannah Metzler,logic_comms,75.0,70.0,90.0
The Comparative Impact of Cash Transfers and a Psychotherapy Program on Psychological and Economic Well-being,Hannah Metzler,merits_journal,4.0,3.0,4.0
The Comparative Impact of Cash Transfers and a Psychotherapy Program on Psychological and Economic Well-being,Hannah Metzler,methods,90.0,85.0,95.0
The Comparative Impact of Cash Transfers and a Psychotherapy Program on Psychological and Economic Well-being,Hannah Metzler,open_sci,50.0,40.0,80.0
The Comparative Impact of Cash Transfers and a Psychotherapy Program on Psychological and Economic Well-being,Hannah Metzler,overall,75.0,65.0,85.0
The Comparative Impact of Cash Transfers and a Psychotherapy Program on Psychological and Economic Well-being,Hannah Metzler,real_world,75.0,60.0,90.0
The Environmental Effects of Economic Production: Evidence from Ecological Observations,Anonymous_19,adv_knowledge,70.0,,
The Environmental Effects of Economic Production: Evidence from Ecological Observations,Anonymous_19,gp_relevance,60.0,,
The Environmental Effects of Economic Production: Evidence from Ecological Observations,Anonymous_19,journal_predict,4.0,,
The Environmental Effects of Economic Production: Evidence from Ecological Observations,Anonymous_19,logic_comms,75.0,,
The Environmental Effects of Economic Production: Evidence from Ecological Observations,Anonymous_19,merits_journal,4.0,,
The Environmental Effects of Economic Production: Evidence from Ecological Observations,Anonymous_19,methods,70.0,,
The Environmental Effects of Economic Production: Evidence from Ecological Observations,Anonymous_19,open_sci,65.0,,
The Environmental Effects of Economic Production: Evidence from Ecological Observations,Anonymous_19,overall,70.0,,
The Environmental Effects of Economic Production: Evidence from Ecological Observations,Anonymous_19,real_world,60.0,,
The Environmental Effects of Economic Production: Evidence from Ecological Observations,Elias Cisneros,adv_knowledge,70.0,,
The Environmental Effects of Economic Production: Evidence from Ecological Observations,Elias Cisneros,gp_relevance,60.0,,
The Environmental Effects of Economic Production: Evidence from Ecological Observations,Elias Cisneros,journal_predict,4.0,,
The Environmental Effects of Economic Production: Evidence from Ecological Observations,Elias Cisneros,logic_comms,75.0,,
The Environmental Effects of Economic Production: Evidence from Ecological Observations,Elias Cisneros,merits_journal,4.0,,
The Environmental Effects of Economic Production: Evidence from Ecological Observations,Elias Cisneros,methods,70.0,,
The Environmental Effects of Economic Production: Evidence from Ecological Observations,Elias Cisneros,open_sci,65.0,,
The Environmental Effects of Economic Production: Evidence from Ecological Observations,Elias Cisneros,overall,70.0,,
The Environmental Effects of Economic Production: Evidence from Ecological Observations,Elias Cisneros,real_world,60.0,,
