,paper_abbrev,research_link,source,source_main,author_permission,publication_status,topic_subfield,secondary_cause_cat,author,author_comments_responses_ds,"""Link manager notes to evaluators""",submitter_name,stream,"""Endorse suggester's discussion""",endorse_assessor_ discussion_MV_PRIOR,working_paper_release_date,"'Comment below, and please put your initials next to the comment you are making'",public_why_relevant_impactful_ds,public_what_aspects_to_evaluate_ds,public_what_sort_of_evaluators_ds,author_engagement_public_ds,"""Post-prioritization PRIVATE discussion: Choice of Evaluation Manager (NOT shared)""","""Post-prioritization PRIVATE discussion: Choice of *evaluators* (NOT shared)""","""Any other discussion""",doi,will_authors_engage_discuss,all_authors_names,suggester_other_comments_MV_PRIOR,n_eval_invites_sent_process,XDR-??- Days since Eval Mngr. Chosen,evals_complete_date_process,"""EM: How strong was evaluation 1? (rate as a percentile, discuss; private)""","""EM: How strong was evaluation 2 (rate as a percentile, discuss; private)""",management_discuss,main_cause_cat,label_paper_title,status,eval_manager,"""Other discussants _MV_PRIOR""",paper_category_old,evals_sent_to_authors_process,'Open discussion',next_step_to_do_process,rsx_prioritization_link,events_link,status_modified_ps,"""Link to evaluations""",rating_suggester_view,rating_assessor_view,avg_rating_view,eval_mgr_suggestions_link,"""Evaluation manager's summary""",paper_authors_link,alternate_title,rsx_events_link,check_in_date_process,drx_??_relevance_rating_MV_PRIOR,n_of_evaluators _accepted_process,n_of_evaluations_returned_process,Events,DR_X_N of Eval. invites Sent,DR_X_Invites accepted
11,,https://www.nber.org/papers/w31899,,,not needed (Unjournal Direct),Working paper/mimeo; not published in a peer-reviewed journal,Innovation and R&D,,,,,,,,,2023-11-01T00:00:00.000-04:00,,,,,,,,,doig.org/10.3386/w31899,Possibly/Average likelihood/I have no idea,,,,,,,,Gavin and Kris independently suggested this and gave high ratings. Time for a vote,"Innovation, meta-science, and research",The Effect of Public Science on Corporate R&D,02_final consideration needed,,,working paper,,,,The Effect of Public Science on Corporate R&D,,2024-04-12T07:27:20.597-04:00,,75%,95%,85%,"The Effect of Public Science on Corporate R&D,The Effect of Public Science on Corporate R&D",,"The Effect of Public Science on Corporate R&D,The Effect of Public Science on Corporate R&D",,"The Effect of Public Science on Corporate R&D,The Effect of Public Science on Corporate R&D,The Effect of Public Science on Corporate R&D,The Effect of Public Science on Corporate R&D,The Effect of Public Science on Corporate R&D,The Effect of Public Science on Corporate R&D",,,,,,,
12,,https://www.cgdev.org/sites/default/files/social-safety-nets-womens-economic-achievements-and-agency-systematic-review-and-meta.pdf,,,,Working paper/mimeo; not published in a peer-reviewed journal,"Poverty and Wellbeing,cash grants,Development/Development Economics",,,,,,,,,2024-03-05T00:00:00.000-05:00,,,,,,,,,,"Yes, it seems likely (they seem supportive, we have connections etc.)",,,,,,,,,Economic development & governance (LMICs),SSN_gender,,,,working paper,,,,SSN_gender,,,,90%,,90%,SSN_gender,,SSN_gender,,"SSN_gender,SSN_gender,SSN_gender",,,,,,,
13,,https://www.researchgate.net/publication/378825936_Resilience_Reconsidered_The_need_for_modelling_resilience_in_food_distribution_and_trade_relations_in_post-nuclear_war_recovery/link/65f413561f0aec67e29005dc/download?_tp=eyJjb250ZXh0Ijp7ImZpcnN0UGFnZSI6InB1YmxpY2F0aW9uRGlyZWN0b3J5IiwicGFnZSI6InB1YmxpY2F0aW9uIn19,,,,,"Environment/Environment and Resource economics,Globalization and International Relations/Global policy,Food Systems/Food Security,Policymaker decision-making,International trade and welfare,Environmental science",,,,,Christopher Yan-Chak Chan,,,,,,,,,,,,,10.13140/RG.2.2.10760.23043/1,,"Christopher Yan-Chak, Chan; Giuseppe, Dal Prá; Isabel, Johnson; Matt, Boyd; Ram Eirik, Glomseth",,,,,,,"Previous revies: Only pre-printed on ResearchGate at the moment. Will attempt to publish to EGU journals when fund-raising is successful.
","Catastrophic and existential risks,  the long-term future, forecasting",Resilience Reconsidered: The need for modelling resilience in food distribution and trade relations in post-nuclear war recovery,,,,,,,,Resilience Reconsidered: The need for modelling resilience in food distribution and trade relations in post-nuclear war recovery,,,,,,"{""specialValue"":""NaN""}",Resilience Reconsidered: The need for modelling resilience in food distribution and trade relations in post-nuclear war recovery,,Resilience Reconsidered: The need for modelling resilience in food distribution and trade relations in post-nuclear war recovery,,"Resilience Reconsidered: The need for modelling resilience in food distribution and trade relations in post-nuclear war recovery,Resilience Reconsidered: The need for modelling resilience in food distribution and trade relations in post-nuclear war recovery,Resilience Reconsidered: The need for modelling resilience in food distribution and trade relations in post-nuclear war recovery",,,,,,,
14,,https://www.ipr.northwestern.edu/our-work/working-papers/2024/wp-24-05.html,,,determining whether needed,Working paper/mimeo; not published in a peer-reviewed journal,the economics of science and innovation,,,,,,,,,2024-01-29T00:00:00.000-05:00,,,,,,,,,,Possibly/Average likelihood/I have no idea,,,,,,,,DR: Gavin Taylor I agree that ‘the impact of articles on policy’ is really important. But does this work go beyond simple partisan comparisons and the decline in trust in science over time? Does it inform actionable policies and approaches for scientific orgs? Does it help us understand which science is likely to be more influential on policy?,"Innovation, meta-science, and research",Partisan Disparities in the Use of Science in Policy,01_Needs prioritization/assessor rating,,,"prominent,working paper",,,,Partisan Disparities in the Use of Science in Policy,,2024-05-07T11:00:19.582-04:00,,95%,,95%,Partisan Disparities in the Use of Science in Policy,,Partisan Disparities in the Use of Science in Policy,,"Partisan Disparities in the Use of Science in Policy,Partisan Disparities in the Use of Science in Policy,Partisan Disparities in the Use of Science in Policy",,,,,,,
15,,https://arxiv.org/abs/2304.10578,,,,Working paper/mimeo; not published in a peer-reviewed journal,Innovation and R&D,"Catastrophic and existential risks,  the long-term future, forecasting",,,,,,,,2023-04-17T00:00:00.000-04:00,,,,,,,,,https://doi.org/10.48550/arXiv.2304.10578,Possibly/Average likelihood/I have no idea,,,,,,,,,Emerging technologies: social and economic impacts (focus: AI),Quantifying the Benefit of Artificial Intelligence for Scientific Research,,,,"prominent,working paper",,,,Quantifying the Benefit of Artificial Intelligence for Scientific Research,,,,85%,,85%,Quantifying the Benefit of Artificial Intelligence for Scientific Research,,Quantifying the Benefit of Artificial Intelligence for Scientific Research,,"Quantifying the Benefit of Artificial Intelligence for Scientific Research,Quantifying the Benefit of Artificial Intelligence for Scientific Research,Quantifying the Benefit of Artificial Intelligence for Scientific Research",,,,,,,
16,,https://www.nber.org/papers/w31899,,,,,,,,,,,,,,,,,,,,,,,https://www.nber.org/papers/w31899,,,It’s rare that I have submitted a paper on science and innovation with such a high confidence (95%). I’m open to discussion on this assessment (as always).,,,,,,Gavin and Kris independently suggested this and gave high ratings. Time for a vote,"Innovation, meta-science, and research",The Effect of Public Science on Corporate R&D,,,,,,,,,,,,,,,,,,,,,,,,,,
17,,https://www.nber.org/papers/w31771,,,,Working paper/mimeo; not published in a peer-reviewed journal,"Welfare and collective choice,consumer preferences",,,,,,,,,2023-10-01T00:00:00.000-04:00,,,,,,,,,10.3386/w31771,Possibly/Average likelihood/I have no idea,,,,,,,,,"Other: Economics/welfare, growth, policy, global markets and population",collective_traps,,,,"prominent,empirical,working paper,consumer preferences",,,,collective_traps,,,,75%,,75%,collective_traps,,collective_traps,,"collective_traps,collective_traps,collective_traps",,,,,,,
18,"info avoidance, experiment, food choices","byRaphaelEpperson,AndreasGerster::SSRN",,,needed/seeking,Working paper/mimeo; not published in a peer-reviewed journal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Markets for products with large externalities (focus: animal agriculture),Information Avoidance and Moral Behavior: Experimental Evidence from Food Choices,01_Needs prioritization/assessor rating,,,,,,,Information Avoidance and Moral Behavior: Experimental Evidence from Food Choices,,2024-04-12T07:27:20.597-04:00,,,,"{""specialValue"":""NaN""}",Information Avoidance and Moral Behavior: Experimental Evidence from Food Choices,,Information Avoidance and Moral Behavior: Experimental Evidence from Food Choices,,"Information Avoidance and Moral Behavior: Experimental Evidence from Food Choices,Information Avoidance and Moral Behavior: Experimental Evidence from Food Choices,Information Avoidance and Moral Behavior: Experimental Evidence from Food Choices,Information Avoidance and Moral Behavior: Experimental Evidence from Food Choices",,,,,,,
19,,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=4672439,,,,Working paper/mimeo; not published in a peer-reviewed journal,Innovation and R&D,,,,,,,,,2024-01-07T00:00:00.000-05:00,,,,,,,,,"GonçalvesLeoneldaSilva,Renan,Theroleofautonomousexperimentationinbiomedicalsciencesandhealthinnovation:Challengesandopportunitiesinemergingeconomies(January3,2024).AvailableatSSRN:https://ssrn.com/abstract=4672439orhttp://dx.doi.org/10.2139/ssrn.4672439",Possibly/Average likelihood/I have no idea,,,,,,,,,Emerging technologies: social and economic impacts (focus: AI),The role of autonomous experimentation in biomedical sciences and health innovation: Challenges and opportunities in emerging economies,,,,"working paper,policy",,,,The role of autonomous experimentation in biomedical sciences and health innovation: Challenges and opportunities in emerging economies,,,,70%,,70%,The role of autonomous experimentation in biomedical sciences and health innovation: Challenges and opportunities in emerging economies,,The role of autonomous experimentation in biomedical sciences and health innovation: Challenges and opportunities in emerging economies,,"The role of autonomous experimentation in biomedical sciences and health innovation: Challenges and opportunities in emerging economies,The role of autonomous experimentation in biomedical sciences and health innovation: Challenges and opportunities in emerging economies,The role of autonomous experimentation in biomedical sciences and health innovation: Challenges and opportunities in emerging economies",,,,,,,
20,,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3938994,field specialist suggested,,,Working paper/mimeo; not published in a peer-reviewed journal,animal welfare,Markets for products with large externalities (focus: animal agriculture),,,https://docs.google.com/document/d/1P1WZ_r_mOEqHc01P2R2BNhj5AF6KzIBnqDdJ8V6a698/edit#heading=h.k7jdyoqujd6b,,,,,,,"DR, from experience and memory: Animal welfare advocates argue that consumption of animal products through factory farming leads to massive suffering, and reducing this consumption could substantially reduce this. A range of interventions aimed at influencing individual behavior have been considered, but there is very limited evidence on whether these are successful. Indeed, effective altruism linked animal welfare advocates have moved away from this approach in favor of corporate campaigns. 
However, this may be from a lack of evidence rather than evidence that these interventions are ineffective.  Of course, there may be heterogeneity; these may be more effective for some audiences than others. The extent to which these initiatives and ads are targeted towards seekers, neutral people, or even potential avoiders seems actionable and potentially consequential. E.g., we could compare ‘push’ vs ‘pull’ marketing, ads targeted towards those showing interest in animals versus more neutral or ‘surprise’ ads etc. 

The authors work seems to potentially have several rare and valuable aspects
 a credible strategy for differentiating the effects of such information/stimuli on avoiders versus seekers, in a way that seems robust to differential selection issues.  
incentivized choices (of food vouchers)
more consequential field evidence (linked to the lab experiment treatments?), with perhaps less potential for demand effects, temporary agreeability bias, etc.

In a general sense, The Unjournal is seeking to stimulate more rigorous social science research  relevant to animal welfare, including a focus on consumption attitudes.  This is one of our first forays in this direction.","Consistent with The Unjournal’s stated mission, and approach... We are  interested in the specific applied and empirical questions, and in the implications of this for animal welfare marketing interventions, and interventions in adjacent areas. We are somewhat less interested in the deep behavioral question of whether “individuals who prefer to avoid information are particularly responsive to it” (also noting that this latter relationship may itself be heterogeneous across groups and contexts) .
Consider the internal validity and external generalizability of this work. 
Are the causal claims plausible?  Do they do the WTP elicitation appropriately? 
Do they apply inverse probability weighting correctly to estimate the treatment effects?
In generalizing — Is this context reasonably representative of what future interventions are likely to involve?
To what extent are the results credibly suggest implications for longer-term diet changes (or attitudes towards animal welfare measures, perhaps)? 
How substantial are the incentives, and how well does the data capture important choices? 
How does the field data supplement the lab responses? Are there complimentary strengths and weaknesses of each?  Does the field data credibly address concerns about temporary effects, agreeableness bias, demand effects etc?
Is bias from selective attrition an issue?
Do the authors report the estimates that would be useful to animal welfare advocacy organizations? Are their other measures you would like to see reported?","Using Inverse Probability Weighting in causal inference/treatment effects 
Emotional/intense information interventions
Experimental WTP elicitation techniques
Animal welfare information interventions and the relevant context","The authors are aware of our process, and notified us when their updated version was posted. Some members of our team have corresponded with them and offered some independent feedback and suggestions, which may already be reflected in this draft.

","Tabare Capitan noted “this paper is a good fit for me, in case you are looking for evaluators.. 
DR: Thanks Tabare. As of 12 Apr 2024 we are waiting for author permission. We’ll check in with them on about May 1 if they don’t get back to us earlier. ",,"Nicolas Treich  left a range of comments in an email, on an earlier version:

Here are some preliminary comments. Please note that these are immediate (not very thoughtful) reactions. I wrote everything as this came to my mind when reading the introduction, thinking this may be useful. Please note also that I only read the introduction. Hence, several comments might be irrelevant because addressed elsewhere in the paper.
 
1 Overall, the introduction looks good. It is a bit long though. Also, I understand that it may be a bit complex to write because there exists already quite a number of papers on strategic ignorance and also on the impact of information in the food domain. Therefore, it may be a bit difficult to identify the unique contribution of your paper, and different angles seem possible to present your paper. My main recommendation however would be to try to sharpen even more the message(s) in terms of the contribution with respect to the literature (both empirical and theoretical), and explain more in details why this is interesting and novel.

2 For instance, you stress that a “key question is whether deliberate ignorance is consequential for decision making”. If addressing this question is a key contribution of your paper, you should perhaps emphasize that this question has largely been ignored in the literature. Is this true?
 
3 For a theorist (like me), this might seem obvious that deliberate ignorance is “consequential” (in the sense of having consequences for decisions). Indeed, in all existing (whether behavioral or not) econ models, beliefs and information are expected to affect decisions. Could you justify a bit more why you think exploring this question is interesting? In particular, what makes you think that deliberate ignorance might be inconsequential? And further: what makes you think that your design based on having some information avoiders watching the video is particularly suited to study that question? It would be nice if you can explain more clearly why your design is “ideal” to test your specific research question.
 
4 Btw, I did not know that expression “deliberate ignorance”. I have seen on GoogleScholar that it is used with some frequency in the psychology literature. By this expression, I guess you want to emphasize here that people consciously decide to ignore information. I suppose this is in contrast to other situations where people might not be completely conscious that they ignore information, right? If you think this is an important aspect of your contribution, perhaps you should elaborate more on this, namely discuss “deliberate ignorance” as opposed to what type of ignorance.
 
5 Note that “receiving information” may not always equate to processing it. Playing devil’s advocate here, viewers of a video might devise strategies to avoid engagement. They might look away or close their eyes, lacking motivation to pay attention, or concoct stories such as deeming the content unrealistic or not representative. While I am sure you have considered these factors, they have crossed my mind, so I am sharing in case they are not discussed in the paper.
 
6 Given my background, what is missing in the introduction is a more explicit discussion about the link to the econ theory literature on strategic ignorance (and the motivated beliefs literature etc.).
 
7 It may also be nice to justify why you chose this context (animal farming) since the framing of your paper is much more general. Also, a quick discussion about the external validity about this aspect (ie, extensions to other contexts) may be useful in the introduction or elsewhere.
 
8 I notice that you do not talk about emotions (although you use the word “affective” at some point). Watching a video about intensive farming may generate emotions. In the paper, you talk about information. The link between emotions and information is not obvious. Note that we currently have a paper about the role of under videos about intensive farming and emotions. https://papers.ssrn.com/sol3/papers.cfm?abstract_id=4778679
 
9 The fact that you look at the (short and long term) impact on meat consumption is great. This is related to this paper:
“Eating to Save the Planet: Evidence from a Randomized Controlled Trial Using Individual-Level Food Purchase Data” with Andrew Jalil and Arturo Vargas-Bustamante. Food Policy, Volume 95, August 2020, 101950
Combining lab and field experiment is also great.
 
10 Using a 360 degrees video sounds great and innovative. Should you emphasize more the advantages of this tool? But of course this also raises the issue of how specific is such an intervention. This original feature of your design sounds downplayed in the abstract/introduction. You mostly talk about information. I imagine you have thought about this a lot.
 
11 I did not get something basic: How do you lead some information avoiders to watch the video? I guessed this is due to the randomness of elicitation mechanism. Doesn’t that raise some specific econometric issues? Perhaps explain? Again, sorry for any misunderstanding. Moreover, I am not sure I understand why you show as a control a video that “all subjects have already watched at an earlier stage of the experiment”. I am not sure I understand why the video was already watched.
 
12 Your results are stimulating.
 
13 Explain in one or two sentences the Zimmerman’s conjecture that information interventions have no long term effects?
 
14 The observation that information avoiders are notably responsive to information a priori aligns with my expectation from a theorist. My initial interpretation is indeed that information avoiders may have been highly motivated to disregard information in the past, resulting in more distorted beliefs about intensive farming in general. Upon learning the truth, they subsequently update their beliefs more significantly, leading to relatively more pronounced changes in behavior than others. However, I noticed that information avoiders and information seekers seem to share similar beliefs and update similarly. You rightly emphasize the seemingly paradoxical result here. But I am confused then. How to explain this result? The paragraph where you discuss this (top of page 4) was a bit difficult to follow in a first quick reading.
 
15 Do you have info about past meat consumption? And whether there is a correlation between being a heavy meat eater and being information avoider? Our model of the meat paradox predicts a positive correlation.


DR: Private chat w/ Romaine
The evaluation priorities are similar to what they do at (?) PCI (peer community in ... registered reports) 
Doesn’t like when referees try to make people write the paper they would have wanted
Prefers NOT to be paid. Supports our general initiative. 
Co-editor at PCI-RR, in-pricinple acceptance, data collection, stage 2 return. Then they can publish the paper and put it wheerever they want. 

PCI RR is a system that doesn’t require ‘publication in PCI’. All the projects he has worked on were psychology. 

Thinks we should try to enable more review before data has been collected. 
We could review the PAP’s. ... 
They invite a lot of  people.
He reads in detail. They use discretion.
Referees disappear between the stages.
People who accept, mostly psychologists, more concerned with openness and less hierarchy.  Intrinsic motivation. 
PCI-RR in principle acceptance and later acceptance. 
Economists are obsessed with rankings and excellence, culture at PCI is a bit different. Whether a paper is good enough for scientific standards. 
Paolo Crosetto, ‘peer review to check whether it’s sound’, people check whether it’s useful. 
In economics we focus on topic that are important for society but where you demonstrate technique etc. We stray from the less clean areas where you can say less. 

Might consider his coauthor Jan Stoop. Strong experimentalist, enthusiastic about animal welfare. ",,,,,2,51 days,,"DR: Substantive and detailed
","DR: Substantive and detailed
","Authors: We are currently revising the paper and should have a new version ready within the next weeks.
 
Both Andreas and I have no experience with the Unjournal so far. Thanks for making us aware of it and for the offer of a commissioning evaluation! We’ll have a closer look at it to make up our minds and will come back to you soon.
They will let us know when it’s up on SSRN","Attitudes and behaviors (Altruism, moral circles, animal consumption, effectiveness, political attitudes, etc.) [Psychology/behavioral economics adjacent group]",Information Avoidance and Moral Behavior: Experimental Evidence from Food Choices,30_contacting/awaiting_authors_response_to_evaluation,"Nicolas Treich,David Reinstein",,animal welfare,,,"Waiting for authors’ responses (they said they would do, but needed some more time)",Information Avoidance and Moral Behavior: Experimental Evidence from Food Choices,First evaluation submitted,2024-06-14T14:46:07.956-04:00,,,,75%,Information Avoidance and Moral Behavior: Experimental Evidence from Food Choices,,Information Avoidance and Moral Behavior: Experimental Evidence from Food Choices,Willful Ignorance and Moral Behavior,,2024-07-01T00:00:00.000-04:00,,,,First evaluation submitted,2,2
21,,,Rhys-Bernard syllabus,internal-from-syllabus-agenda-policy-database,,"Published, ~top journal",,,,,,,,,,,,,,,,,,,,,"Martin, Ian WR, and Robert S. Pindyck",,,,,,,,"Catastrophic and existential risks,  the long-term future, forecasting",Welfare costs of catastrophes: lost consumption and lost lives.” The Economic Journal 131.634 (2021): 946-969.,01_Needs prioritization/assessor rating,,,"published,prominent,long-term-relevant ",,,,Welfare costs of catastrophes: lost consumption and lost lives.” The Economic Journal 131.634 (2021): 946-969.,,2024-04-12T07:27:20.597-04:00,,56%,,56%,Welfare costs of catastrophes: lost consumption and lost lives.” The Economic Journal 131.634 (2021): 946-969.,,Welfare costs of catastrophes: lost consumption and lost lives.” The Economic Journal 131.634 (2021): 946-969.,,,,,,,,,
