id,crucial_rsx,paper_abbrev,eval_name,cat_1,cat_2,cat_3,source_main,author_agreement,rating_type,est,lb,ub,conf,lb_imp,ub_imp,agg_method,agg_est,agg_90ci_lb,agg_90ci_ub,n_experts
recB1k43QVwA9g3lh,Long term cost-effectiveness of resilient foods for global catastrophes compared to artificial general intelligence safety (Denkenberger et al),LT CEA: Resilient foods vs. AGI safety,Anca Hanea,long-term-relevant ,quantitative,NA,submitted (by author(s)),Agreed,journal_predict,3.5,3,5,NA,3,5,NA,NA,NA,NA,NA
recB1k43QVwA9g3lh,Long term cost-effectiveness of resilient foods for global catastrophes compared to artificial general intelligence safety (Denkenberger et al),LT CEA: Resilient foods vs. AGI safety,Anca Hanea,long-term-relevant ,quantitative,NA,submitted (by author(s)),Agreed,open_sci,73,50,95,NA,50,95,DistribArMean,70.53571428571428,40.625,93.21862348178136,2
recB1k43QVwA9g3lh,Long term cost-effectiveness of resilient foods for global catastrophes compared to artificial general intelligence safety (Denkenberger et al),LT CEA: Resilient foods vs. AGI safety,Anca Hanea,long-term-relevant ,quantitative,NA,submitted (by author(s)),Agreed,merits_journal,4,3,5,NA,3,5,NA,NA,NA,NA,NA
recC0BfyXo11Rufj9,"Mental Health Therapy as a Core Strategy for Increasing Human Capital: Evidence from Ghana (renamed ""Cognitive Behavioral Therapy among Ghana's Rural Poor Is Effective Regardless of Baseline Mental Distress"")","CBT Human K, Ghana",Anonymous_4,GH&D,NA,NA,internal-NBER,Emailed,overall,75,NA,NA,4,67,83,DistribArMean,75.0022977736838,67.04163850518977,83.94444444444444,2
recC0BfyXo11Rufj9,"Mental Health Therapy as a Core Strategy for Increasing Human Capital: Evidence from Ghana (renamed ""Cognitive Behavioral Therapy among Ghana's Rural Poor Is Effective Regardless of Baseline Mental Distress"")","CBT Human K, Ghana",Anonymous_4,GH&D,NA,NA,internal-NBER,Emailed,adv_knowledge,65,NA,NA,4,57,73,DistribArMean,61.92307692307693,55.01930501930502,72.80185758513932,2
recC0BfyXo11Rufj9,"Mental Health Therapy as a Core Strategy for Increasing Human Capital: Evidence from Ghana (renamed ""Cognitive Behavioral Therapy among Ghana's Rural Poor Is Effective Regardless of Baseline Mental Distress"")","CBT Human K, Ghana",Anonymous_4,GH&D,NA,NA,internal-NBER,Emailed,methods,60,NA,NA,3,45,75,DistribArMean,76.63551401869158,45.73705179282869,93.66812227074234,2
recC0BfyXo11Rufj9,"Mental Health Therapy as a Core Strategy for Increasing Human Capital: Evidence from Ghana (renamed ""Cognitive Behavioral Therapy among Ghana's Rural Poor Is Effective Regardless of Baseline Mental Distress"")","CBT Human K, Ghana",Anonymous_4,GH&D,NA,NA,internal-NBER,Emailed,logic_comms,75,NA,NA,3,60,90,DistribArMean,72.22222222222221,60.055238985030954,89.32203389830508,2
recC0BfyXo11Rufj9,"Mental Health Therapy as a Core Strategy for Increasing Human Capital: Evidence from Ghana (renamed ""Cognitive Behavioral Therapy among Ghana's Rural Poor Is Effective Regardless of Baseline Mental Distress"")","CBT Human K, Ghana",Anonymous_4,GH&D,NA,NA,internal-NBER,Emailed,real_world,75,NA,NA,4,67,83,DistribArMean,58.26086956521739,48.062809917355374,82.43636363636362,2
recC0BfyXo11Rufj9,"Mental Health Therapy as a Core Strategy for Increasing Human Capital: Evidence from Ghana (renamed ""Cognitive Behavioral Therapy among Ghana's Rural Poor Is Effective Regardless of Baseline Mental Distress"")","CBT Human K, Ghana",Anonymous_4,GH&D,NA,NA,internal-NBER,Emailed,gp_relevance,75,NA,NA,3,60,90,DistribArMean,60.00277242939154,40.36363636363637,88.8,2
recC0BfyXo11Rufj9,"Mental Health Therapy as a Core Strategy for Increasing Human Capital: Evidence from Ghana (renamed ""Cognitive Behavioral Therapy among Ghana's Rural Poor Is Effective Regardless of Baseline Mental Distress"")","CBT Human K, Ghana",Anonymous_4,GH&D,NA,NA,internal-NBER,Emailed,journal_predict,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
recC0BfyXo11Rufj9,"Mental Health Therapy as a Core Strategy for Increasing Human Capital: Evidence from Ghana (renamed ""Cognitive Behavioral Therapy among Ghana's Rural Poor Is Effective Regardless of Baseline Mental Distress"")","CBT Human K, Ghana",Anonymous_4,GH&D,NA,NA,internal-NBER,Emailed,open_sci,50,NA,NA,3,35,65,DistribArMean,69.56521739130437,35.91836734693877,94.53125,2
recC0BfyXo11Rufj9,"Mental Health Therapy as a Core Strategy for Increasing Human Capital: Evidence from Ghana (renamed ""Cognitive Behavioral Therapy among Ghana's Rural Poor Is Effective Regardless of Baseline Mental Distress"")","CBT Human K, Ghana",Anonymous_4,GH&D,NA,NA,internal-NBER,Emailed,merits_journal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
recC6drdgwftE1gHM,Long term cost-effectiveness of resilient foods for global catastrophes compared to artificial general intelligence safety (Denkenberger et al),LT CEA: Resilient foods vs. AGI safety,Alex Bates,long-term-relevant ,quantitative,NA,submitted (by author(s)),Agreed,overall,40,20,60,NA,20,60,DistribArMean,62.7906976744186,22.602739726027398,88.71794871794872,3
recC6drdgwftE1gHM,Long term cost-effectiveness of resilient foods for global catastrophes compared to artificial general intelligence safety (Denkenberger et al),LT CEA: Resilient foods vs. AGI safety,Alex Bates,long-term-relevant ,quantitative,NA,submitted (by author(s)),Agreed,adv_knowledge,30,20,60,NA,20,60,DistribArMean,69.60889762078398,21.448467966573816,88.9075630252101,3
recC6drdgwftE1gHM,Long term cost-effectiveness of resilient foods for global catastrophes compared to artificial general intelligence safety (Denkenberger et al),LT CEA: Resilient foods vs. AGI safety,Alex Bates,long-term-relevant ,quantitative,NA,submitted (by author(s)),Agreed,methods,50,40,60,NA,40,60,DistribArMean,56.666666666666664,40.21739130434783,88.42105263157895,2
recC6drdgwftE1gHM,Long term cost-effectiveness of resilient foods for global catastrophes compared to artificial general intelligence safety (Denkenberger et al),LT CEA: Resilient foods vs. AGI safety,Alex Bates,long-term-relevant ,quantitative,NA,submitted (by author(s)),Agreed,logic_comms,60,40,75,NA,40,75,DistribArMean,75.69799243532788,41.72982612572448,93.6484199628384,3
recC6drdgwftE1gHM,Long term cost-effectiveness of resilient foods for global catastrophes compared to artificial general intelligence safety (Denkenberger et al),LT CEA: Resilient foods vs. AGI safety,Alex Bates,long-term-relevant ,quantitative,NA,submitted (by author(s)),Agreed,real_world,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
recC6drdgwftE1gHM,Long term cost-effectiveness of resilient foods for global catastrophes compared to artificial general intelligence safety (Denkenberger et al),LT CEA: Resilient foods vs. AGI safety,Alex Bates,long-term-relevant ,quantitative,NA,submitted (by author(s)),Agreed,gp_relevance,90,60,95,NA,60,95,DistribArMean,81.9047619047619,61.079219288174514,94.39490445859873,3
recC6drdgwftE1gHM,Long term cost-effectiveness of resilient foods for global catastrophes compared to artificial general intelligence safety (Denkenberger et al),LT CEA: Resilient foods vs. AGI safety,Alex Bates,long-term-relevant ,quantitative,NA,submitted (by author(s)),Agreed,journal_predict,2,1,2,NA,1,2,NA,NA,NA,NA,NA
recC6drdgwftE1gHM,Long term cost-effectiveness of resilient foods for global catastrophes compared to artificial general intelligence safety (Denkenberger et al),LT CEA: Resilient foods vs. AGI safety,Alex Bates,long-term-relevant ,quantitative,NA,submitted (by author(s)),Agreed,open_sci,70,40,75,NA,40,75,DistribArMean,70.53571428571428,40.625,93.21862348178136,2
recC6drdgwftE1gHM,Long term cost-effectiveness of resilient foods for global catastrophes compared to artificial general intelligence safety (Denkenberger et al),LT CEA: Resilient foods vs. AGI safety,Alex Bates,long-term-relevant ,quantitative,NA,submitted (by author(s)),Agreed,merits_journal,2,1,2,NA,1,2,NA,NA,NA,NA,NA
recKLMIJnafnAhDMD,Does the Squeaky Wheel Get More Grease? The Direct and Indirect Effects of Citizen Participation on Environmental Governance in China,Citizen participation in envt. gov. China,Robert Kubinec,Environment,NA,NA,suggested - externally,Acknowledged,overall,90,85,95,NA,85,95,DistribArMean,85.4575712526292,71.16279069767441,94.65648854961832,2
recKLMIJnafnAhDMD,Does the Squeaky Wheel Get More Grease? The Direct and Indirect Effects of Citizen Participation on Environmental Governance in China,Citizen participation in envt. gov. China,Robert Kubinec,Environment,NA,NA,suggested - externally,Acknowledged,adv_knowledge,90,85,95,NA,85,95,DistribArMean,83.33333333333331,68.17593790426909,94.62025316455696,2
recKLMIJnafnAhDMD,Does the Squeaky Wheel Get More Grease? The Direct and Indirect Effects of Citizen Participation on Environmental Governance in China,Citizen participation in envt. gov. China,Robert Kubinec,Environment,NA,NA,suggested - externally,Acknowledged,methods,80,70,90,NA,70,90,DistribArMean,75.78947368421053,63.098591549295776,89.50276243093923,2
recKLMIJnafnAhDMD,Does the Squeaky Wheel Get More Grease? The Direct and Indirect Effects of Citizen Participation on Environmental Governance in China,Citizen participation in envt. gov. China,Robert Kubinec,Environment,NA,NA,suggested - externally,Acknowledged,logic_comms,80,75,85,NA,75,85,DistribArMean,75.9375,62.095588235294116,84.82938910984232,2
recKLMIJnafnAhDMD,Does the Squeaky Wheel Get More Grease? The Direct and Indirect Effects of Citizen Participation on Environmental Governance in China,Citizen participation in envt. gov. China,Robert Kubinec,Environment,NA,NA,suggested - externally,Acknowledged,real_world,90,85,95,NA,85,95,DistribArMean,90.27785958031787,78.11696658097686,94.91525423728812,2
recKLMIJnafnAhDMD,Does the Squeaky Wheel Get More Grease? The Direct and Indirect Effects of Citizen Participation on Environmental Governance in China,Citizen participation in envt. gov. China,Robert Kubinec,Environment,NA,NA,suggested - externally,Acknowledged,gp_relevance,90,85,95,NA,85,95,DistribArMean,90.66429464024462,82.03870967741935,95,2
recKLMIJnafnAhDMD,Does the Squeaky Wheel Get More Grease? The Direct and Indirect Effects of Citizen Participation on Environmental Governance in China,Citizen participation in envt. gov. China,Robert Kubinec,Environment,NA,NA,suggested - externally,Acknowledged,journal_predict,4.8,4,5,NA,4,5,NA,NA,NA,NA,NA
recKLMIJnafnAhDMD,Does the Squeaky Wheel Get More Grease? The Direct and Indirect Effects of Citizen Participation on Environmental Governance in China,Citizen participation in envt. gov. China,Robert Kubinec,Environment,NA,NA,suggested - externally,Acknowledged,open_sci,70,60,80,NA,60,80,DistribArMean,62.66666666666667,42.1978021978022,79.59731543624162,2
recKLMIJnafnAhDMD,Does the Squeaky Wheel Get More Grease? The Direct and Indirect Effects of Citizen Participation on Environmental Governance in China,Citizen participation in envt. gov. China,Robert Kubinec,Environment,NA,NA,suggested - externally,Acknowledged,merits_journal,4.8,4.5,5,NA,4.5,5,NA,NA,NA,NA,NA
recKSqgLncqxMYPcA,"Kremer, M., Levin, J. and Snyder, C.M., 2020, May. Advance Market Commitments: Insights from Theory and Experience. In AEA Papers and Proceedings (Vol. 110, pp. 269-73).",Advance market commit. (vaccines),David Manheim,policy,economics,biorisk,internal-from-syllabus-agenda-policy-database,Agreed,overall,80,70,90,NA,70,90,DistribArMean,79.7702797853666,59.706224066390035,92.85324374013133,3
recKSqgLncqxMYPcA,"Kremer, M., Levin, J. and Snyder, C.M., 2020, May. Advance Market Commitments: Insights from Theory and Experience. In AEA Papers and Proceedings (Vol. 110, pp. 269-73).",Advance market commit. (vaccines),David Manheim,policy,economics,biorisk,internal-from-syllabus-agenda-policy-database,Agreed,adv_knowledge,25,20,40,NA,20,40,DistribArMean,86.38036809815951,20.811499272197963,98.15384615384613,3
recKSqgLncqxMYPcA,"Kremer, M., Levin, J. and Snyder, C.M., 2020, May. Advance Market Commitments: Insights from Theory and Experience. In AEA Papers and Proceedings (Vol. 110, pp. 269-73).",Advance market commit. (vaccines),David Manheim,policy,economics,biorisk,internal-from-syllabus-agenda-policy-database,Agreed,methods,95,85,97.5,NA,85,97.5,DistribArMean,82.87586308222379,51.508072827207144,97.09251101321586,3
recKSqgLncqxMYPcA,"Kremer, M., Levin, J. and Snyder, C.M., 2020, May. Advance Market Commitments: Insights from Theory and Experience. In AEA Papers and Proceedings (Vol. 110, pp. 269-73).",Advance market commit. (vaccines),David Manheim,policy,economics,biorisk,internal-from-syllabus-agenda-policy-database,Agreed,logic_comms,75,60,90,NA,60,90,DistribArMean,76.55172413793103,50.982658959537574,89.8529411764706,3
recKSqgLncqxMYPcA,"Kremer, M., Levin, J. and Snyder, C.M., 2020, May. Advance Market Commitments: Insights from Theory and Experience. In AEA Papers and Proceedings (Vol. 110, pp. 269-73).",Advance market commit. (vaccines),David Manheim,policy,economics,biorisk,internal-from-syllabus-agenda-policy-database,Agreed,real_world,NA,NA,NA,NA,NA,NA,DistribArMean,89.99913025604343,69.99999314009436,99.99999999999997,1
recKSqgLncqxMYPcA,"Kremer, M., Levin, J. and Snyder, C.M., 2020, May. Advance Market Commitments: Insights from Theory and Experience. In AEA Papers and Proceedings (Vol. 110, pp. 269-73).",Advance market commit. (vaccines),David Manheim,policy,economics,biorisk,internal-from-syllabus-agenda-policy-database,Agreed,gp_relevance,60,40,75,NA,40,75,DistribArMean,88.82399009912015,42.08092485549133,98.98119122257053,3
recKSqgLncqxMYPcA,"Kremer, M., Levin, J. and Snyder, C.M., 2020, May. Advance Market Commitments: Insights from Theory and Experience. In AEA Papers and Proceedings (Vol. 110, pp. 269-73).",Advance market commit. (vaccines),David Manheim,policy,economics,biorisk,internal-from-syllabus-agenda-policy-database,Agreed,journal_predict,3,2.5,4.5,NA,2.5,4.5,NA,NA,NA,NA,NA
recKSqgLncqxMYPcA,"Kremer, M., Levin, J. and Snyder, C.M., 2020, May. Advance Market Commitments: Insights from Theory and Experience. In AEA Papers and Proceedings (Vol. 110, pp. 269-73).",Advance market commit. (vaccines),David Manheim,policy,economics,biorisk,internal-from-syllabus-agenda-policy-database,Agreed,open_sci,NA,NA,NA,NA,NA,NA,DistribArMean,71.42857142857144,31.294964028776977,98.92857142857142,2
recKSqgLncqxMYPcA,"Kremer, M., Levin, J. and Snyder, C.M., 2020, May. Advance Market Commitments: Insights from Theory and Experience. In AEA Papers and Proceedings (Vol. 110, pp. 269-73).",Advance market commit. (vaccines),David Manheim,policy,economics,biorisk,internal-from-syllabus-agenda-policy-database,Agreed,merits_journal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
recLrSu5NpaLSYhr8,Banning wildlife trade can boost demand for unregulated threatened species,Banning wildlife trade can boost demand,Anonymous_8,conservation,biodiversity,NA,submitted (by author(s)),Agreed,overall,75,NA,NA,NA,NA,NA,DistribArMean,75,66.99999647272085,83.00043168914472,1
recLrSu5NpaLSYhr8,Banning wildlife trade can boost demand for unregulated threatened species,Banning wildlife trade can boost demand,Anonymous_8,conservation,biodiversity,NA,submitted (by author(s)),Agreed,adv_knowledge,70,NA,NA,4,62,78,DistribArMean,75,62.12471383339072,87.61165048543688,2
recLrSu5NpaLSYhr8,Banning wildlife trade can boost demand for unregulated threatened species,Banning wildlife trade can boost demand,Anonymous_8,conservation,biodiversity,NA,submitted (by author(s)),Agreed,methods,80,NA,NA,3,65,95,DistribArMean,68.75,26.639344262295083,93.74999999999999,2
recLrSu5NpaLSYhr8,Banning wildlife trade can boost demand for unregulated threatened species,Banning wildlife trade can boost demand,Anonymous_8,conservation,biodiversity,NA,submitted (by author(s)),Agreed,logic_comms,70,NA,NA,4,62,78,DistribArMean,70,62.0531561461794,77.86683518898946,2
recLrSu5NpaLSYhr8,Banning wildlife trade can boost demand for unregulated threatened species,Banning wildlife trade can boost demand,Anonymous_8,conservation,biodiversity,NA,submitted (by author(s)),Agreed,real_world,90,NA,NA,5,86,94,DistribArMean,90,82.04092071611254,97.48387096774194,2
recLrSu5NpaLSYhr8,Banning wildlife trade can boost demand for unregulated threatened species,Banning wildlife trade can boost demand,Anonymous_8,conservation,biodiversity,NA,submitted (by author(s)),Agreed,gp_relevance,80,NA,NA,3,65,95,DistribArMean,72.5,50.375,93.84681686234273,2
recLrSu5NpaLSYhr8,Banning wildlife trade can boost demand for unregulated threatened species,Banning wildlife trade can boost demand,Anonymous_8,conservation,biodiversity,NA,submitted (by author(s)),Agreed,journal_predict,3,NA,NA,4,2.6,3.4,NA,NA,NA,NA,NA
recLrSu5NpaLSYhr8,Banning wildlife trade can boost demand for unregulated threatened species,Banning wildlife trade can boost demand,Anonymous_8,conservation,biodiversity,NA,submitted (by author(s)),Agreed,open_sci,70,NA,NA,4,62,78,DistribArMean,57.407407407407405,46.11387900355872,77.54647151501905,2
recLrSu5NpaLSYhr8,Banning wildlife trade can boost demand for unregulated threatened species,Banning wildlife trade can boost demand,Anonymous_8,conservation,biodiversity,NA,submitted (by author(s)),Agreed,merits_journal,3,NA,NA,4,2.6,3.4,NA,NA,NA,NA,NA
recPKWr5j64iMd7uJ,"Kremer, M., Levin, J. and Snyder, C.M., 2020, May. Advance Market Commitments: Insights from Theory and Experience. In AEA Papers and Proceedings (Vol. 110, pp. 269-73).",Advance market commit. (vaccines),Joel Tan,policy,economics,biorisk,internal-from-syllabus-agenda-policy-database,Agreed,overall,79,59,94,NA,59,94,DistribArMean,79.7702797853666,59.706224066390035,92.85324374013133,3
recPKWr5j64iMd7uJ,"Kremer, M., Levin, J. and Snyder, C.M., 2020, May. Advance Market Commitments: Insights from Theory and Experience. In AEA Papers and Proceedings (Vol. 110, pp. 269-73).",Advance market commit. (vaccines),Joel Tan,policy,economics,biorisk,internal-from-syllabus-agenda-policy-database,Agreed,adv_knowledge,90,70,100,NA,70,100,DistribArMean,86.38036809815951,20.811499272197963,98.15384615384613,3
recPKWr5j64iMd7uJ,"Kremer, M., Levin, J. and Snyder, C.M., 2020, May. Advance Market Commitments: Insights from Theory and Experience. In AEA Papers and Proceedings (Vol. 110, pp. 269-73).",Advance market commit. (vaccines),Joel Tan,policy,economics,biorisk,internal-from-syllabus-agenda-policy-database,Agreed,methods,70,50,90,NA,50,90,DistribArMean,82.87586308222379,51.508072827207144,97.09251101321586,3
recPKWr5j64iMd7uJ,"Kremer, M., Levin, J. and Snyder, C.M., 2020, May. Advance Market Commitments: Insights from Theory and Experience. In AEA Papers and Proceedings (Vol. 110, pp. 269-73).",Advance market commit. (vaccines),Joel Tan,policy,economics,biorisk,internal-from-syllabus-agenda-policy-database,Agreed,logic_comms,70,50,90,NA,50,90,DistribArMean,76.55172413793103,50.982658959537574,89.8529411764706,3
recPKWr5j64iMd7uJ,"Kremer, M., Levin, J. and Snyder, C.M., 2020, May. Advance Market Commitments: Insights from Theory and Experience. In AEA Papers and Proceedings (Vol. 110, pp. 269-73).",Advance market commit. (vaccines),Joel Tan,policy,economics,biorisk,internal-from-syllabus-agenda-policy-database,Agreed,real_world,90,70,100,NA,70,100,DistribArMean,89.99913025604343,69.99999314009436,99.99999999999997,1
recPKWr5j64iMd7uJ,"Kremer, M., Levin, J. and Snyder, C.M., 2020, May. Advance Market Commitments: Insights from Theory and Experience. In AEA Papers and Proceedings (Vol. 110, pp. 269-73).",Advance market commit. (vaccines),Joel Tan,policy,economics,biorisk,internal-from-syllabus-agenda-policy-database,Agreed,gp_relevance,90,70,100,NA,70,100,DistribArMean,88.82399009912015,42.08092485549133,98.98119122257053,3
recPKWr5j64iMd7uJ,"Kremer, M., Levin, J. and Snyder, C.M., 2020, May. Advance Market Commitments: Insights from Theory and Experience. In AEA Papers and Proceedings (Vol. 110, pp. 269-73).",Advance market commit. (vaccines),Joel Tan,policy,economics,biorisk,internal-from-syllabus-agenda-policy-database,Agreed,journal_predict,5,NA,NA,5,4.8,5,NA,NA,NA,NA,NA
recPKWr5j64iMd7uJ,"Kremer, M., Levin, J. and Snyder, C.M., 2020, May. Advance Market Commitments: Insights from Theory and Experience. In AEA Papers and Proceedings (Vol. 110, pp. 269-73).",Advance market commit. (vaccines),Joel Tan,policy,economics,biorisk,internal-from-syllabus-agenda-policy-database,Agreed,open_sci,50,30,70,NA,30,70,DistribArMean,71.42857142857144,31.294964028776977,98.92857142857142,2
