id,category,main_cause_category,secondary_cause_category,cause_cat_1_text,cause_cat_2_text,topic_subfield_text,eval_manager_text,publication status,Contacted author?,stage of process/todo,source_main,author permission?,Direct Kotahi Prize Submission?,createdTime
recg7vz8VJy6Dd4n8,,,,"""Communicable diseases, bio-security and pandemic preparedness, biological risks""",NA,"Microeconomics, ""Health, Education, and Welfare"", Poverty and Wellbeing, Covid-19","Daniela Cialfi, Hansika Kapoor",Working paper/mimeo; not published in a peer-reviewed journal,NA,Needs prioritization/assessor rating,internal-NBER,NA,NA,2022-11-05T22:47:09.000Z
recgbuaEZiUnRxUP0,,,,"""Innovation, meta-science, and research""","""Catastrophic and existential risks,  the long-term future, forecasting""",NA,NA,"Published, uncertain peer review",NA,Needs prioritization/assessor rating,internal-NBER,NA,NA,2023-06-08T23:16:45.000Z
rech6y52FqGhRUgTv,,,,"""Innovation, meta-science, and research""",NA,NA,NA,NA,NA,final consideration needed,suggested - externally,NA,NA,2023-05-30T17:02:29.000Z
rech7wDyUslKPLGht,,,,"""Global health; """"Health & well-being in low-income countries""""""",Economic development & governance (LMICs),"""Health, Education, and Welfare"", Education, Development and Growth, Development/Development Economics , Health Policy/Health economics ","Tanya O'Garra, Anicet Fangwa, Caroline Flammer, Marieke Huysentruyt, Bertrand Quelin",NA,Emailed,"published evaluations (on PubPub, by Unjournal)",internal-NBER,NA,NA,2022-11-19T04:33:19.000Z
reche32siuNPMBxS5,,,,"""Global health; """"Health & well-being in low-income countries""""""",Economic development & governance (LMICs),NA,NA,NA,NA,Needs prioritization/assessor rating,internal-NBER,NA,NA,2023-06-08T23:29:55.000Z
rechk43X4254SJdjW,,,,Economic development & governance (LMICs),NA,NA,NA,Working paper/mimeo; not published in a peer-reviewed journal,NA,final consideration needed,suggested - externally,NA,NA,2022-07-01T10:08:48.000Z
reciAwfxdwFbjjdrP,,,,Economic development & governance (LMICs),"""Other: Economics, growth, policy, global markets and population ""","Development/Development Economics , Development and Growth, Regional and Urban Economics, Migration",Emmanuel Orkoh,Working paper/mimeo; not published in a peer-reviewed journal,Follow-up email sent,seeking_(more)_evaluators,internal-NBER,not needed (Unjournal Direct),NA,2022-11-05T15:57:00.000Z
reciNvL10Zgl5Var5,,,,"""Catastrophic and existential risks,  the long-term future, forecasting""",NA,NA,NA,NA,NA,Needs prioritization/assessor rating,suggested - internally,NA,NA,2023-10-26T13:52:04.000Z
reciR9zOQF2Ss1bEB,,,,"""The Environment: Harm to human health, biodiversity, risks and climate change""",NA,NA,NA,NA,NA,Needs prioritization/assessor rating,internal-NBER,NA,NA,2023-06-08T23:33:41.000Z
reciqDGBLWLf0s9dq,,,,"""Innovation, meta-science, and research""",NA,"""Health, Education, and Welfare"", Development and Growth, Innovation and R&D, Health Policy/Health economics ",Alexander Herwix,Working paper/mimeo; not published in a peer-reviewed journal,NA,Needs prioritization/assessor rating,internal-NBER,NA,NA,2022-10-26T13:15:35.000Z
recjXDOv8z7S369Lf,,,,"""Global health; """"Health & well-being in low-income countries""""""",NA,Health Policy/Health economics ,Ryan Briggs ,NA,NA,awaiting authors' consent (where needed) or imminent update,suggested - externally - NGO,not needed (Unjournal Direct),NA,2023-06-21T13:57:12.000Z
recjgm5UOiDLcZeOK,,,,Empirical methods,"""Catastrophic and existential risks,  the long-term future, forecasting""",Econometrics,NA,NA,NA,Needs prioritization/assessor rating,internal-from-syllabus-agenda-policy-database,NA,NA,2022-04-26T20:23:52.000Z
reclGqZQBK75VxK2b,,,,Economic development & governance (LMICs),NA,NA,NA,Working paper/mimeo; not published in a peer-reviewed journal,Authors say 'no' (but maybe revisit?),final consideration needed,suggested - internally,NA,NA,2022-06-06T18:27:46.000Z
reclQwJeRSzXMWUKS,,,,"""Attitudes and behaviors (Altruism, moral circles, animal consumption, effectiveness, political attitudes, etc.)""",Possible category: more 'economics' treatment of preferences for giving and 'ethical/donation-linked' choices; implications of these preferences; donor coordination etc.,NA,NA,NA,NA,Needs prioritization/assessor rating,suggested - internally,NA,NA,2022-10-26T14:57:25.000Z
reclkpiWEb7zCOF6y,,,,"""Innovation, meta-science, and research""",NA,Metascience,NA,Working paper/mimeo; not published in a peer-reviewed journal,NA,Needs prioritization/assessor rating,NA,NA,NA,2023-12-10T22:00:08.000Z
recm4puwupM4bODw9,,,,"""Innovation, meta-science, and research""",NA,"Development and Growth, Innovation and R&D",NA,"published, decent journal ",NA,final consideration needed,internal-NBER,NA,NA,2022-11-05T14:56:50.000Z
recmdz6amJOvATaex,,,,"""Global health; """"Health & well-being in low-income countries""""""",Economic development & governance (LMICs),"Econometrics, Experimental Design/Experimental economics, Microeconomics, Behavioral Economics, Development and Growth, Development/Development Economics ","Anirudh Tagat, Hansika Kapoor, Johannes Haushofer, Robert Mudida, Jeremy P. Shapiro",NA,Acknowledged,"published evaluations (on PubPub, by Unjournal)",internal-NBER,NA,NA,2022-11-23T01:42:35.000Z
recmodQWE4E7w9ixR,,,,Emerging technologies: social and economic impacts (focus: AI),Economic development & governance (LMICs),"International Economics, Globalization and International Relations/Global policy, Development and Growth, Innovation and R&D",NA,NA,NA,Needs prioritization/assessor rating,internal-NBER,NA,NA,2022-10-26T14:48:38.000Z
recnQOKNHr8ll8F66,,,,"""Other: Economics, growth, policy, global markets and population """,NA,NA,NA,NA,Author suggested but need to confirm with co-authors,final consideration needed,suggested - externally,NA,NA,2022-07-17T10:53:38.000Z
recnYvb6JoIU5sdSX,,,,"""Attitudes and behaviors (Altruism, moral circles, animal consumption, effectiveness, political attitudes, etc.)""",NA,NA,NA,NA,NA,Needs prioritization/assessor rating,suggested - externally - NGO,NA,NA,2022-10-26T14:23:01.000Z
recoLoinJiKMPQfn0,,,,"""International cooperation and conflict, behavior of large governments; authoritarianism """,Economic development & governance (LMICs),NA,NA,NA,NA,Needs prioritization/assessor rating,internal-NBER,NA,NA,2023-06-08T23:24:10.000Z
recqVG8FDlqDW3zgO,,,,Emerging technologies: social and economic impacts (focus: AI),NA,NA,NA,NA,NA,Needs prioritization/assessor rating,internal-NBER,NA,NA,2023-06-08T23:31:03.000Z
recrQXjMXKQiuP92z,,,,"""The Environment: Harm to human health, biodiversity, risks and climate change""",NA,"Environment/Environment and Resource economics , Policy",NA,NA,NA,Needs prioritization/assessor rating,submitted (by author(s)),NA,NA,2023-09-21T07:14:14.000Z
recsJOu2ovxn1WAVj,,,,"""Attitudes and behaviors (Altruism, moral circles, animal consumption, effectiveness, political attitudes, etc.)""",NA,"""Attitudes and behaviors (Altruism, moral circles, animal consumption, effectiveness, political attitudes, etc.)""",NA,Working paper/mimeo; not published in a peer-reviewed journal,NA,final consideration needed,NA,NA,NA,2023-12-20T11:44:12.000Z
recsURK2SgWEqnjNB,,,,Economic development & governance (LMICs),NA,NA,NA,Working paper/mimeo; not published in a peer-reviewed journal,Emailed,final consideration needed,suggested - internally,NA,NA,2022-05-19T19:33:50.000Z
recsXjTEWojOG7zkQ,,,,"""Other: Economics, growth, policy, global markets and population """,NA,Market Structure and Firm Performance,NA,Working paper/mimeo; not published in a peer-reviewed journal,NA,final consideration needed,NA,NA,NA,2023-12-10T22:15:06.000Z
recsk3wyCTjXiouQI,,,,Markets for products with large externalities (focus: animal agriculture),NA,NA,NA,NA,NA,Not a paper/project,suggested - externally,NA,NA,2023-07-31T16:18:12.000Z
recsk8MFMoW780Ucj,,,,NA,NA,NA,NA,NA,NA,deprioritized -- low ratings,NA,NA,NA,2023-12-15T13:51:37.000Z
recszBNp53Y1SshWt,,,,"""Health and well-being (global, including wealthy countries)""",NA,"Covid-19, ""Health, Education, and Welfare"", Taxation, Public Economics, Health Policy/Health economics ","David Reinstein, Sam Abbott, Hansika Kapoor",Working paper/mimeo; not published in a peer-reviewed journal,NA,Needs prioritization/assessor rating,internal-NBER,NA,NA,2022-11-05T16:27:39.000Z
rectAqlzmyLiyW3Xw,,,,"""Other: Economics, growth, policy, global markets and population """,Economic development & governance (LMICs),NA,NA,"published, decent journal ",NA,Needs prioritization/assessor rating,internal-NBER,NA,NA,2023-06-08T23:33:59.000Z
rectTMdDLMBPgrrFB,,,,"""Other: Theory and philosophy, artificial intelligence, natural science, etc.""",NA,NA,NA,"Published, ? journal",NA,Needs prioritization/assessor rating,suggested - internally,NA,NA,2022-09-01T19:58:30.000Z
rectgIfVdOVEJx65x,,,,Emerging technologies: social and economic impacts (focus: AI),NA,NA,NA,"Published, ? journal",NA,deprioritized -- low ratings,submitted (by author(s)),NA,NA,2022-05-08T03:49:15.000Z
recuBKSqd8QeV24DP,,,,Economic development & governance (LMICs),NA,"Labor Economics, Migration",NA,NA,NA,seeking_(more)_evaluators,internal-NBER,not needed (Unjournal Direct),NA,2023-06-30T14:56:55.000Z
recuCW8f9FpiBw4AN,,,,"""Global health; """"Health & well-being in low-income countries""""""",NA,"""Health, Education, and Welfare"", Development/Development Economics , Development and Growth, Covid-19, Health Policy/Health economics ",NA,"published, decent journal ",NA,Needs prioritization/assessor rating,internal-NBER,not needed (Unjournal Direct),NA,2023-07-31T16:18:12.000Z
recuJagkMhLUEYBtY,,,,Empirical methods,NA,NA,NA,NA,NA,Needs prioritization/assessor rating,NA,NA,NA,2023-07-31T16:18:12.000Z
recuJe7algrjTf4XA,,,,"""Global health; """"Health & well-being in low-income countries""""""",NA,"""Health, Education, and Welfare"", Development and Growth, Development/Development Economics , Health Policy/Health economics ",NA,NA,NA,Needs prioritization/assessor rating,internal-NBER,NA,NA,2022-11-23T01:17:43.000Z
recuZ0TKFwbYlmpek,,,,"""Health and well-being (global, including wealthy countries)""",NA,pandemic policy research,NA,Working paper/mimeo; not published in a peer-reviewed journal,NA,final consideration needed,suggested - externally - NGO,NA,NA,2023-06-25T01:44:35.000Z
recudFP20HGx9FK3k,,,,"""Other: Economics, growth, policy, global markets and population """,NA,"International Economics, Covid-19",NA,"Published, ~top journal",NA,Needs prioritization/assessor rating,internal-NBER,not needed (Unjournal Direct),NA,2023-07-31T16:18:12.000Z
recukCvitciCgAdXd,,,,"""Communicable diseases, bio-security and pandemic preparedness, biological risks""",NA,"International Economics, Globalization and International Relations/Global policy, ""Health, Education, and Welfare"", Covid-19, Health Policy/Health economics ",David Reinstein,Working paper/mimeo; not published in a peer-reviewed journal,NA,Needs prioritization/assessor rating,internal-NBER,NA,NA,2022-11-05T22:45:25.000Z
recukKKWvq8h6Nj1E,,,,"""Other: Economics, growth, policy, global markets and population """,NA,NA,NA,NA,NA,Needs prioritization/assessor rating,internal-NBER,NA,NA,2023-06-08T23:33:51.000Z
reculW8SxWnzgDtow,,,,Economic development & governance (LMICs),"""The Environment: Harm to human health, biodiversity, risks and climate change""","Development and Growth, Renewable Resources, Environment/Environment and Resource economics , Policy","Tanya O'Garra, Yuanning Liang, Ivan Rudik, Eric Zou",NA,Agreed,"published evaluations (on PubPub, by Unjournal)",internal-NBER,NA,NA,2022-11-19T04:49:53.000Z
recunEoWou9NAP7P0,,,,"""Global health; """"Health & well-being in low-income countries""""""",NA,NA,NA,NA,NA,Needs prioritization/assessor rating,NA,NA,NA,2023-07-31T16:18:12.000Z
recw8PpMqZHAdTAMQ,,,,"""Other: Economics, growth, policy, global markets and population """,Economic development & governance (LMICs),Migration,NA,"published, decent journal ",NA,Needs prioritization/assessor rating,internal-NBER,NA,NA,2023-06-08T12:49:19.000Z
recwL82lFi4he0NNF,,,,Economic development & governance (LMICs),"""Global health; """"Health & well-being in low-income countries""""""",NA,NA,Working paper/mimeo; not published in a peer-reviewed journal,NA,final consideration needed,internal-NBER,NA,NA,2023-06-08T23:29:58.000Z
recwYbeamdgAmIlgU,,,,"""Global health; """"Health & well-being in low-income countries""""""","""The Environment: Harm to human health, biodiversity, risks and climate change""",NA,NA,NA,NA,"published evaluations (on PubPub, by Unjournal)",suggested - externally,NA,NA,2023-06-09T22:12:51.000Z
recwxv00gK6v4hwMX,,,,"""Global health; """"Health & well-being in low-income countries""""""",NA,"Global Health/ interventions, Mental Health Interventions",Ryan Briggs ,NA,NA,final consideration needed,suggested - externally - NGO,NA,NA,2023-06-21T14:00:51.000Z
recy8TrDdKmzBbKi8,,,,"""Innovation, meta-science, and research""",NA,"Development and Growth, Public Economics, ""Health, Education, and Welfare"", Innovation and R&D, Education","Gavin Taylor, Alexander Herwix",NA,NA,Needs prioritization/assessor rating,internal-NBER,NA,NA,2022-11-05T15:30:16.000Z
recyav5J7OT0ImSUP,,,,"""Global health; """"Health & well-being in low-income countries""""""",NA,"Development and Growth, Development/Development Economics , Environment/Environment and Resource economics ",NA,"published, decent journal ",NA,Needs prioritization/assessor rating,internal-NBER,NA,NA,2022-10-26T14:42:33.000Z
recz4WlLgwffZKFY3,,,,Markets for products with large externalities (focus: animal agriculture),Empirical methods,NA,NA,NA,NA,Needs prioritization/assessor rating,suggested - externally - NGO,NA,NA,2022-11-22T16:03:53.000Z
reczpwU6CNoCFSJgh,,,,"""Catastrophic and existential risks,  the long-term future, forecasting""",NA,NA,NA,NA,NA,non-academic stream possibility,suggested - externally - NGO,NA,NA,2023-07-31T16:18:12.000Z
reczror9lB2ArR4pi,,,,"""Innovation, meta-science, and research""",NA,Firm Behavior,NA,Working paper/mimeo; not published in a peer-reviewed journal,NA,Needs prioritization/assessor rating,NA,NA,NA,2023-12-10T22:23:38.000Z
