research,evaluator,criteria,middle_rating,lower_CI,upper_CI,confidence_level,row_created_date
Adjusting for Scale-Use Heterogeneity in Self-Reported Well-Being,Alberto Prati,methods,95.0,90.0,100.0,,2025-12-29T17:15:13
Adjusting for Scale-Use Heterogeneity in Self-Reported Well-Being,Alberto Prati,open_sci,95.0,90.0,100.0,,2025-12-29T17:15:13
Adjusting for Scale-Use Heterogeneity in Self-Reported Well-Being,Alberto Prati,overall,95.0,90.0,100.0,,2025-12-29T17:15:13
Adjusting for Scale-Use Heterogeneity in Self-Reported Well-Being,Alberto Prati,real_world,86.0,74.0,95.0,,2025-12-29T17:15:13
Adjusting for Scale-Use Heterogeneity in Self-Reported Well-Being,Caspar Kaiser,adv_knowledge,90.0,80.0,100.0,,2025-12-29T17:15:13
Adjusting for Scale-Use Heterogeneity in Self-Reported Well-Being,Caspar Kaiser,claims,80.0,70.0,90.0,,2025-12-29T17:15:13
Adjusting for Scale-Use Heterogeneity in Self-Reported Well-Being,Caspar Kaiser,gp_relevance,0.0,0.0,,,2025-12-29T17:15:13
Adjusting for Scale-Use Heterogeneity in Self-Reported Well-Being,Caspar Kaiser,journal_predict,4.0,4.4,5.0,,2025-12-29T17:15:13
Adjusting for Scale-Use Heterogeneity in Self-Reported Well-Being,Caspar Kaiser,logic_comms,75.0,60.0,90.0,,2025-12-29T17:15:13
Adjusting for Scale-Use Heterogeneity in Self-Reported Well-Being,Caspar Kaiser,merits_journal,4.1,4.7,5.0,,2025-12-29T17:15:13
Adjusting for Scale-Use Heterogeneity in Self-Reported Well-Being,Caspar Kaiser,methods,90.0,80.0,100.0,,2025-12-29T17:15:13
Adjusting for Scale-Use Heterogeneity in Self-Reported Well-Being,Caspar Kaiser,open_sci,85.0,70.0,90.0,,2025-12-29T17:15:13
Adjusting for Scale-Use Heterogeneity in Self-Reported Well-Being,Caspar Kaiser,overall,95.0,80.0,100.0,,2025-12-29T17:15:13
Adjusting for Scale-Use Heterogeneity in Self-Reported Well-Being,Caspar Kaiser,real_world,0.0,0.0,,,2025-12-29T17:15:13
Does Online Fundraising Increase Charitable Giving? A Nationwide Field Experiment on Facebook,Tabaré Capitán,adv_knowledge,90.0,80.0,95.0,,2025-12-29T17:15:13
Does Online Fundraising Increase Charitable Giving? A Nationwide Field Experiment on Facebook,Tabaré Capitán,claims,85.0,80.0,90.0,,2025-12-29T17:15:13
Does Online Fundraising Increase Charitable Giving? A Nationwide Field Experiment on Facebook,Tabaré Capitán,logic_comms,92.0,90.0,95.0,,2025-12-29T17:15:13
Does Online Fundraising Increase Charitable Giving? A Nationwide Field Experiment on Facebook,Tabaré Capitán,merits_journal,4.8,4.6,5.0,,2025-12-29T17:15:13
Does Online Fundraising Increase Charitable Giving? A Nationwide Field Experiment on Facebook,Tabaré Capitán,methods,97.0,95.0,99.0,,2025-12-29T17:15:13
Does Online Fundraising Increase Charitable Giving? A Nationwide Field Experiment on Facebook,Tabaré Capitán,open_sci,97.0,93.0,100.0,,2025-12-29T17:15:13
Does Online Fundraising Increase Charitable Giving? A Nationwide Field Experiment on Facebook,Tabaré Capitán,overall,92.0,85.0,95.0,,2025-12-29T17:15:13
Does online fundraising increase charitable giving? A nationwide field experiment on Facebook,David Reiley,adv_knowledge,90.0,80.0,95.0,,2025-12-29T17:15:13
Does online fundraising increase charitable giving? A nationwide field experiment on Facebook,David Reiley,claims,85.0,80.0,90.0,,2025-12-29T17:15:13
Does online fundraising increase charitable giving? A nationwide field experiment on Facebook,David Reiley,gp_relevance,90.0,80.0,94.0,,2025-12-29T17:15:13
Does online fundraising increase charitable giving? A nationwide field experiment on Facebook,David Reiley,logic_comms,93.0,90.0,98.0,,2025-12-29T17:15:13
Does online fundraising increase charitable giving? A nationwide field experiment on Facebook,David Reiley,merits_journal,4.5,3.9,4.7,,2025-12-29T17:15:13
Does online fundraising increase charitable giving? A nationwide field experiment on Facebook,David Reiley,methods,90.0,85.0,94.0,,2025-12-29T17:15:13
Does online fundraising increase charitable giving? A nationwide field experiment on Facebook,David Reiley,open_sci,92.0,88.0,95.0,,2025-12-29T17:15:13
Does online fundraising increase charitable giving? A nationwide field experiment on Facebook,David Reiley,overall,90.0,85.0,95.0,,2025-12-29T17:15:13
Does online fundraising increase charitable giving? A nationwide field experiment on Facebook,David Reiley,real_world,90.0,80.0,94.0,,2025-12-29T17:15:13
"Ends versus Means: Kantians, Utilitarians, and Moral Decisions",David Hugh-Jones,adv_knowledge,65.0,50.0,80.0,,2025-12-29T17:15:13
"Ends versus Means: Kantians, Utilitarians, and Moral Decisions",David Hugh-Jones,claims,75.0,60.0,90.0,,2025-12-29T17:15:13
"Ends versus Means: Kantians, Utilitarians, and Moral Decisions",David Hugh-Jones,gp_relevance,50.0,40.0,60.0,,2025-12-29T17:15:13
"Ends versus Means: Kantians, Utilitarians, and Moral Decisions",David Hugh-Jones,journal_predict,4.3,2.5,5.0,,2025-12-29T17:15:13
"Ends versus Means: Kantians, Utilitarians, and Moral Decisions",David Hugh-Jones,logic_comms,65.0,55.0,75.0,,2025-12-29T17:15:13
"Ends versus Means: Kantians, Utilitarians, and Moral Decisions",David Hugh-Jones,merits_journal,4.0,3.5,4.8,,2025-12-29T17:15:13
"Ends versus Means: Kantians, Utilitarians, and Moral Decisions",David Hugh-Jones,methods,70.0,60.0,80.0,,2025-12-29T17:15:13
"Ends versus Means: Kantians, Utilitarians, and Moral Decisions",David Hugh-Jones,open_sci,70.0,50.0,80.0,,2025-12-29T17:15:13
"Ends versus Means: Kantians, Utilitarians, and Moral Decisions",David Hugh-Jones,overall,70.0,45.0,85.0,,2025-12-29T17:15:13
"Ends versus Means: Kantians, Utilitarians, and Moral Decisions",David Hugh-Jones,real_world,50.0,40.0,60.0,,2025-12-29T17:15:13
"Ends versus Means: Kantians, Utilitarians, and Moral Decisions",Valerio Capraro,adv_knowledge,95.0,93.0,97.0,,2025-12-29T17:15:13
"Ends versus Means: Kantians, Utilitarians, and Moral Decisions",Valerio Capraro,claims,80.0,70.0,90.0,,2025-12-29T17:15:13
"Ends versus Means: Kantians, Utilitarians, and Moral Decisions",Valerio Capraro,gp_relevance,85.0,75.0,95.0,,2025-12-29T17:15:13
"Ends versus Means: Kantians, Utilitarians, and Moral Decisions",Valerio Capraro,journal_predict,4.5,4.2,4.8,,2025-12-29T17:15:13
"Ends versus Means: Kantians, Utilitarians, and Moral Decisions",Valerio Capraro,logic_comms,90.0,83.0,97.0,,2025-12-29T17:15:13
"Ends versus Means: Kantians, Utilitarians, and Moral Decisions",Valerio Capraro,merits_journal,4.2,3.7,4.7,,2025-12-29T17:15:13
"Ends versus Means: Kantians, Utilitarians, and Moral Decisions",Valerio Capraro,methods,80.0,70.0,90.0,,2025-12-29T17:15:13
"Ends versus Means: Kantians, Utilitarians, and Moral Decisions",Valerio Capraro,open_sci,95.0,92.0,98.0,,2025-12-29T17:15:13
"Ends versus Means: Kantians, Utilitarians, and Moral Decisions",Valerio Capraro,overall,85.0,75.0,95.0,,2025-12-29T17:15:13
"Ends versus Means: Kantians, Utilitarians, and Moral Decisions",Valerio Capraro,real_world,85.0,75.0,95.0,,2025-12-29T17:15:13
Forecasts estimate limited cultured meat production through 2050,David Manheim,adv_knowledge,92.0,80.0,94.0,,2025-12-29T17:15:13
Forecasts estimate limited cultured meat production through 2050,David Manheim,claims,50.0,40.0,85.0,,2025-12-29T17:15:13
Forecasts estimate limited cultured meat production through 2050,David Manheim,gp_relevance,95.0,87.0,99.0,,2025-12-29T17:15:13
Forecasts estimate limited cultured meat production through 2050,David Manheim,logic_comms,50.0,43.0,67.0,,2025-12-29T17:15:13
Forecasts estimate limited cultured meat production through 2050,David Manheim,methods,84.0,80.0,94.0,,2025-12-29T17:15:13
Forecasts estimate limited cultured meat production through 2050,David Manheim,open_sci,92.0,84.0,98.0,,2025-12-29T17:15:13
Forecasts estimate limited cultured meat production through 2050,David Manheim,overall,85.0,60.0,91.0,,2025-12-29T17:15:13
Forecasts estimate limited cultured meat production through 2050,David Manheim,real_world,95.0,87.0,99.0,,2025-12-29T17:15:13
Forecasts estimate limited cultured meat production through 2050,Estere Seinkmane,overall,70.0,60.0,80.0,,2025-12-29T17:15:13
Irrigation Strengthens Climate Resilience: Long-term Evidence from Mali using Satellites and Surveys,Evaluator 1,adv_knowledge,80.0,70.0,90.0,,2025-12-29T17:15:13
Irrigation Strengthens Climate Resilience: Long-term Evidence from Mali using Satellites and Surveys,Evaluator 1,claims,70.0,60.0,75.0,,2025-12-29T17:15:13
Irrigation Strengthens Climate Resilience: Long-term Evidence from Mali using Satellites and Surveys,Evaluator 1,gp_relevance,75.0,65.0,85.0,,2025-12-29T17:15:13
Irrigation Strengthens Climate Resilience: Long-term Evidence from Mali using Satellites and Surveys,Evaluator 1,journal_predict,3.5,2.9,4.0,,2025-12-29T17:15:13
Irrigation Strengthens Climate Resilience: Long-term Evidence from Mali using Satellites and Surveys,Evaluator 1,logic_comms,75.0,70.0,80.0,,2025-12-29T17:15:13
Irrigation Strengthens Climate Resilience: Long-term Evidence from Mali using Satellites and Surveys,Evaluator 1,merits_journal,3.6,3.2,4.2,,2025-12-29T17:15:13
Irrigation Strengthens Climate Resilience: Long-term Evidence from Mali using Satellites and Surveys,Evaluator 1,methods,75.0,70.0,85.0,,2025-12-29T17:15:13
Irrigation Strengthens Climate Resilience: Long-term Evidence from Mali using Satellites and Surveys,Evaluator 1,open_sci,80.0,70.0,90.0,,2025-12-29T17:15:13
Irrigation Strengthens Climate Resilience: Long-term Evidence from Mali using Satellites and Surveys,Evaluator 1,overall,75.0,69.0,85.0,,2025-12-29T17:15:13
Irrigation Strengthens Climate Resilience: Long-term Evidence from Mali using Satellites and Surveys,Evaluator 1,real_world,75.0,65.0,85.0,,2025-12-29T17:15:13
Irrigation Strengthens Climate Resilience: Long-term Evidence from Mali using Satellites and Surveys,Evaluator 2,adv_knowledge,32.0,,,,2025-12-29T17:15:13
Irrigation Strengthens Climate Resilience: Long-term Evidence from Mali using Satellites and Surveys,Evaluator 2,claims,35.0,0.0,51.0,,2025-12-29T17:15:13
Irrigation Strengthens Climate Resilience: Long-term Evidence from Mali using Satellites and Surveys,Evaluator 2,gp_relevance,30.0,,,,2025-12-29T17:15:13
Irrigation Strengthens Climate Resilience: Long-term Evidence from Mali using Satellites and Surveys,Evaluator 2,journal_predict,3.2,,,,2025-12-29T17:15:13
Irrigation Strengthens Climate Resilience: Long-term Evidence from Mali using Satellites and Surveys,Evaluator 2,logic_comms,40.0,,,,2025-12-29T17:15:13
Irrigation Strengthens Climate Resilience: Long-term Evidence from Mali using Satellites and Surveys,Evaluator 2,merits_journal,2.5,,,,2025-12-29T17:15:13
Irrigation Strengthens Climate Resilience: Long-term Evidence from Mali using Satellites and Surveys,Evaluator 2,methods,34.0,0.0,,,2025-12-29T17:15:13
Irrigation Strengthens Climate Resilience: Long-term Evidence from Mali using Satellites and Surveys,Evaluator 2,open_sci,70.0,,,,2025-12-29T17:15:13
Irrigation Strengthens Climate Resilience: Long-term Evidence from Mali using Satellites and Surveys,Evaluator 2,overall,46.0,0.0,,,2025-12-29T17:15:13
Irrigation Strengthens Climate Resilience: Long-term Evidence from Mali using Satellites and Surveys,Evaluator 2,real_world,30.0,,,,2025-12-29T17:15:13
Maternal cash transfers for gender equity and child development: Experimental evidence from India,Eleanor Tsai,adv_knowledge,95.0,90.0,100.0,,2025-12-29T17:15:13
Maternal cash transfers for gender equity and child development: Experimental evidence from India,Eleanor Tsai,claims,90.0,80.0,100.0,,2025-12-29T17:15:13
Maternal cash transfers for gender equity and child development: Experimental evidence from India,Eleanor Tsai,gp_relevance,95.0,90.0,100.0,,2025-12-29T17:15:13
Maternal cash transfers for gender equity and child development: Experimental evidence from India,Eleanor Tsai,journal_predict,4.1,3.6,4.6,,2025-12-29T17:15:13
Maternal cash transfers for gender equity and child development: Experimental evidence from India,Eleanor Tsai,logic_comms,80.0,75.0,85.0,,2025-12-29T17:15:13
Maternal cash transfers for gender equity and child development: Experimental evidence from India,Eleanor Tsai,merits_journal,4.2,3.6,5.0,,2025-12-29T17:15:13
Maternal cash transfers for gender equity and child development: Experimental evidence from India,Eleanor Tsai,methods,85.0,80.0,90.0,,2025-12-29T17:15:13
Maternal cash transfers for gender equity and child development: Experimental evidence from India,Eleanor Tsai,open_sci,90.0,80.0,100.0,,2025-12-29T17:15:13
Maternal cash transfers for gender equity and child development: Experimental evidence from India,Eleanor Tsai,overall,85.0,80.0,90.0,,2025-12-29T17:15:13
Maternal cash transfers for gender equity and child development: Experimental evidence from India,Eleanor Tsai,real_world,95.0,90.0,100.0,,2025-12-29T17:15:13
Maternal cash transfers for gender equity and child development: Experimental evidence from India,Evaluator 1,adv_knowledge,90.0,89.0,91.0,,2025-12-29T17:15:13
Maternal cash transfers for gender equity and child development: Experimental evidence from India,Evaluator 1,claims,85.0,80.0,90.0,,2025-12-29T17:15:13
Maternal cash transfers for gender equity and child development: Experimental evidence from India,Evaluator 1,gp_relevance,88.0,84.0,92.0,,2025-12-29T17:15:13
Maternal cash transfers for gender equity and child development: Experimental evidence from India,Evaluator 1,journal_predict,2.9,2.1,3.1,,2025-12-29T17:15:13
Maternal cash transfers for gender equity and child development: Experimental evidence from India,Evaluator 1,logic_comms,85.0,85.0,85.0,,2025-12-29T17:15:13
Maternal cash transfers for gender equity and child development: Experimental evidence from India,Evaluator 1,merits_journal,3.1,2.9,3.3,,2025-12-29T17:15:13
Maternal cash transfers for gender equity and child development: Experimental evidence from India,Evaluator 1,methods,60.0,58.0,62.0,,2025-12-29T17:15:13
Maternal cash transfers for gender equity and child development: Experimental evidence from India,Evaluator 1,open_sci,30.0,20.0,40.0,,2025-12-29T17:15:13
Maternal cash transfers for gender equity and child development: Experimental evidence from India,Evaluator 1,overall,70.0,65.0,75.0,,2025-12-29T17:15:13
Maternal cash transfers for gender equity and child development: Experimental evidence from India,Evaluator 1,real_world,88.0,84.0,92.0,,2025-12-29T17:15:13
