paper_title,evaluator,evaluation_stream,adv_knowledge_lower_CI,adv_knowledge_middle_rating,adv_knowledge_upper_CI,claims_lower_CI,claims_middle_rating,claims_upper_CI,gp_relevance_lower_CI,gp_relevance_middle_rating,gp_relevance_upper_CI,journal_predict_lower_CI,journal_predict_middle_rating,journal_predict_upper_CI,logic_comms_lower_CI,logic_comms_middle_rating,logic_comms_upper_CI,merits_journal_lower_CI,merits_journal_middle_rating,merits_journal_upper_CI,methods_lower_CI,methods_middle_rating,methods_upper_CI,open_sci_lower_CI,open_sci_middle_rating,open_sci_upper_CI,overall_lower_CI,overall_middle_rating,overall_upper_CI,real_world_lower_CI,real_world_middle_rating,real_world_upper_CI
Does Conservation Work in General Equilibrium,,academic,75.0,80.0,85.0,,,,65.0,70.0,75.0,3.6,4.0,4.4,60.0,65.0,70.0,3.8,4.0,4.2,60.0,70.0,80.0,60.0,65.0,70.0,60.0,70.0,80.0,65.0,70.0,75.0
Does Online Fundraising Increase Charitable Giving? A Nationwide Field Experiment on Facebook,tabare,academic,80.0,90.0,95.0,80.0,85.0,90.0,,,,,,,90.0,92.0,95.0,4.6,4.8,5.0,95.0,97.0,99.0,93.0,97.0,100.0,85.0,92.0,95.0,,,
The Effect of Public Science on Corporate R&D,Josh,academic,42.0,46.0,50.0,44.0,57.0,70.0,62.0,67.0,71.0,3.1,3.6,4.1,62.0,68.0,74.0,2.4,2.8,3.2,28.0,36.0,44.0,62.0,65.0,68.0,58.0,64.0,70.0,62.0,67.0,71.0
Population ethical intuitions,Stijn,academic,76.0,86.0,93.0,64.0,79.0,93.0,84.0,90.0,96.0,4.3,4.7,5.0,73.0,82.0,93.0,4.5,4.6,5.0,55.0,71.0,91.0,84.0,90.0,95.0,56.0,77.0,94.0,84.0,90.0,96.0
PUBPUB submission - E2 - The Effect of Public Science on Corporate R&D,,academic,90.0,90.0,95.0,80.0,80.0,90.0,72.0,72.0,88.0,4.0,4.2,5.0,65.0,65.0,83.0,3.5,4.0,4.8,80.0,80.0,90.0,75.0,85.0,85.0,75.0,75.0,87.0,72.0,72.0,88.0
"Yellow Vests, Pessimistic Beliefs, and Carbon Tax Aversion",treich,academic,,,,,90.0,,,,,,,,,,,,5.0,,,93.0,,,,,,85.0,,,,
The Effect of Public Science on Corporate R&D,Josh,academic,42.0,46.0,50.0,26.0,34.0,42.0,62.0,67.0,72.0,3.0,3.4,4.0,56.0,67.0,78.0,2.0,2.3,3.0,18.0,22.0,26.0,62.0,65.0,68.0,32.0,46.0,60.0,62.0,67.0,72.0
The animal welfare cost of meat: evidence from a survey of hypothetical scenarios among Belgian consumers,Reviewer ,academic,85.0,90.0,95.0,65.0,70.0,75.0,70.0,80.0,90.0,,,,85.0,90.0,95.0,2.0,2.5,3.0,60.0,65.0,70.0,75.0,80.0,85.0,70.0,80.0,90.0,70.0,80.0,90.0
"How Effective Is (More) Money? Randomizing Unconditional Cash Transfer Amounts in the US
",NR,academic,70.0,75.0,80.0,80.0,85.0,90.0,70.0,75.0,80.0,3.5,4.0,4.5,90.0,95.0,100.0,4.0,4.5,5.0,90.0,95.0,100.0,80.0,85.0,90.0,80.0,85.0,90.0,70.0,75.0,80.0
How Effective Is (More) Money? Randomizing Unconditional Cash Transfer Amounts in the US,Jazzy Jeff,academic,50.0,70.0,90.0,75.0,85.0,95.0,70.0,80.0,89.0,3.500000000000003,4.200000000000001,4.899999999999999,85.0,90.0,95.0,3.5,4.2,4.9,85.0,90.0,95.0,85.0,90.0,95.0,65.0,80.0,95.0,70.0,80.0,89.0
Forecasts estimate limited cultured meat production through 2050,-,applied,,,,,,,,,,,,,,,,,,,,,,,,,60.0,70.0,80.0,,,
Forecasts estimate limited cultured meat production through 2050,PseudonymNotSaltedHash,applied,80.0,92.0,94.0,40.0,50.0,85.0,87.0,95.0,99.0,,,,43.0,50.0,67.0,,,,80.0,84.0,94.0,84.0,92.0,98.0,60.0,85.0,91.0,87.0,95.0,99.0
The wellbeing cost-effectiveness of StrongMinds and Friendship Bench,storywidencard,applied,75.0,85.0,90.0,90.0,93.0,96.0,89.0,91.0,93.0,,,,70.0,75.0,85.0,3.5,4.2,4.4,80.0,85.0,90.0,66.0,76.0,80.0,84.0,87.0,90.0,89.0,91.0,93.0
The wellbeing cost-effectiveness of StrongMinds and Friendship Bench: Combining a systematic review and meta-analysis with charity-related data,pseudonym,applied,85.0,90.0,95.0,75.0,85.0,95.0,90.0,95.0,97.0,,3.5,,80.0,85.0,90.0,,4.2,,80.0,90.0,95.0,85.0,90.0,95.0,75.0,85.0,95.0,90.0,95.0,97.0
