label_paper_title,status,research_url,doi,main_cause_cat,secondary_cause_cat,publication_status,working_paper_release_date,topic_subfield,source_main
"A Welfare Analysis of Policies
Impacting Climate Change",,https://policyimpacts.org/wp-content/uploads/2024/07/MVPF_Climate_Policy.pdf,,"The Environment: Harm to human health, biodiversity, risks and climate change",,Working paper/mimeo; not published in a peer-reviewed journal,,,
The Impact of PhD Studies on Mental Health—A Longitudinal Population Study,,https://lucris.lub.lu.se/ws/portalfiles/portal/194583123/WP24_5,,"Innovation, meta-science, and research",,"Working paper/mimeo, not published",,,
Unconditional Cash Transfers: A Bayesian Meta-Analysis of Randomized Evaluations in Low and Middle Income Countries,02_final consideration needed,,,Economic development & governance (LMICs),,,,,
Forest Protection and Human Health: The Case of Malaria in the Brazilian Amazon,,https://ideas.repec.org/p/spa/wpaper/2023wpecon8.html,,"GH&D,'Health-Related' Outcomes and Interventions in LMIC",,"Working paper/mimeo, not published",,Also falls into Env Econ,
Unconditional Cash Transfers: A Bayesian Meta-Analysis of Randomized Evaluations in Low and Middle Income Countries,,https://www.nber.org/papers/w32779,https://doi.org/10.3386/w32779,Economic development & governance (LMICs),,"Working paper/mimeo, not published",,Welfare,
Intergenerational Discounting and Inequality,deprioritized -- out of scope or other subjective judgment,https://www.researchgate.net/publication/381520539_Intergenerational_Discounting_and_Inequality,doi.org/10.13140/RG.2.2.18112.14080,"The Environment: Harm to human health, biodiversity, risks and climate change","Other (Economics): Welfare, growth, policy, global markets & popn.",Working paper/mimeo; not published in a peer-reviewed journal,,Environment/Environment and Resource economics,
"Therapy, Mental Health, and Human Capital Accumulation among Adolescents in Uganda",02_final consideration needed,https://documents1.worldbank.org/curated/en/099552207102441963/pdf/IDU1007db5cd16b2f146811a516124d1708f3085.pdf,,Economic development & governance (LMICs),Global health; “Health & well-being in low-income countries”,Working paper/mimeo; not published in a peer-reviewed journal,2024-07-01T00:00:00.000-04:00,,
Interventions that influence animal-product consumption: A meta-review ,01_Needs prioritization/assessor rating,https://www.sciencedirect.com/science/article/pii/S2666833521000976,,"Attitudes and behaviors (Altruism, moral circles, animal consumption, effectiveness, political attitudes, etc.) [Psychology/behavioral economics adjacent group]",Markets for products with large externalities (focus: animal agriculture),"Published, ? journal",,,internal-NBER
Deadweight Losses or Gains from In-kind Transfers? Experimental Evidence from India,02_final consideration needed,https://monash-econ-wps.s3.amazonaws.com/RePEc/mos/moswps/2022-10.pdf,,Development Economics,,Working paper/mimeo; not published in a peer-reviewed journal,,Cash transfers,
"Delegation Risk and Implementation at Scale:
Evidence from a Migration Loan Program in Bangladesh",01_Needs prioritization/assessor rating,https://ashishenoy.github.io/Website/Paper_NLS_Evaluation.pdf,,Economic development & governance (LMICs),,Working paper/mimeo; not published in a peer-reviewed journal,2024-05-15T00:00:00.000-04:00,Development/Development Economics,
"Machine learning predicts which rivers, streams, and wetlands the Clean Water Act regulates","de-prioritized bc. of journal-publication status, authors permission, etc.",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11008676/,https://doi.org/10.1126/science.adi3794,"The Environment: Harm to human health, biodiversity, risks and climate change",,"Published, ~top journal",2024-01-25T00:00:00.000-05:00,"Environmental science,Environment/Environment and Resource economics",
The Macroeconomic Impact of Climate Change: Global vs. Local Temperature ,10_seeking_(more)_evaluators,https://dkaenzig.github.io/diegokaenzig.com/Papers/bk_micc.pdf,,"The Environment: Harm to human health, biodiversity, risks and climate change",,Working paper/mimeo; not published in a peer-reviewed journal,2024-08-01T00:00:00.000-04:00,,
The global potential for natural regeneration in deforested tropical regions,01_Needs prioritization/assessor rating,https://www.researchsquare.com/article/rs-3235955/v1,https://doi.org/10.21203/rs.3.rs-3235955/v1,"The Environment: Harm to human health, biodiversity, risks and climate change",,Working paper/mimeo; not published in a peer-reviewed journal,,,
China and the U.S. produce more impactful AI research when collaborating together,01_Needs prioritization/assessor rating,https://arxiv.org/abs/2304.11123,https://doi.org/10.48550/arXiv.2304.11123,Emerging technologies: social and economic impacts (focus: AI),,Working paper/mimeo; not published in a peer-reviewed journal,2023-04-21T00:00:00.000-04:00,,
Adjusting for Scale-Use Heterogeneity in Self-Reported Well-Being,02_final consideration needed,https://www.nber.org/papers/w31728,doi.org/10.3386/w31728,"Health and well-being (global, including wealthy countries)","Other (Economics): Welfare, growth, policy, global markets & popn.",Working paper/mimeo; not published in a peer-reviewed journal,2023-12-01T00:00:00.000-05:00,well-being,
Asymmetry in Civic Information: An Experiment on Tax Participation among Informal Firms in Togo,02_final consideration needed,https://novafrica.org/wp-content/uploads/2021/11/2021.12.10_Moussa-Blimpo.pdf,https://novafrica.org/wp-content/uploads/2021/11/2021.12.10_Moussa-Blimpo.pdf,Economic development & governance (LMICs),,Unpublished,2021-10-01T00:00:00.000-04:00,"causal inference,Development/Development Economics,Economics of Information,Firm Behavior,Taxation",
The Effect of Public Science on Corporate R&D,04_selected_choose_evaluation_manager,https://www.nber.org/papers/w31899,doig.org/10.3386/w31899,"Innovation, meta-science, and research",,Working paper/mimeo; not published in a peer-reviewed journal,2023-11-01T00:00:00.000-04:00,Innovation and R&D,
"Social Safety Nets, Women’s Economic
Achievements and Agency",02_final consideration needed,https://www.cgdev.org/sites/default/files/social-safety-nets-womens-economic-achievements-and-agency-systematic-review-and-meta.pdf,,Economic development & governance (LMICs),,Working paper/mimeo; not published in a peer-reviewed journal,2024-03-05T00:00:00.000-05:00,"Poverty and Wellbeing,cash grants,Development/Development Economics",
Resilience Reconsidered: The need for modelling resilience in food distribution and trade relations in post-nuclear war recovery,01_Needs prioritization/assessor rating,https://www.researchgate.net/publication/378825936_Resilience_Reconsidered_The_need_for_modelling_resilience_in_food_distribution_and_trade_relations_in_post-nuclear_war_recovery/link/65f413561f0aec67e29005dc/download?_tp=eyJjb250ZXh0Ijp7ImZpcnN0UGFnZSI6InB1YmxpY2F0aW9uRGlyZWN0b3J5IiwicGFnZSI6InB1YmxpY2F0aW9uIn19,10.13140/RG.2.2.10760.23043/1,"Catastrophic and existential risks,  the long-term future, forecasting",,Working paper/mimeo; not published in a peer-reviewed journal,,"Environment/Environment and Resource economics,Globalization and International Relations/Global policy,Food Systems/Food Security,Policymaker decision-making,International trade and welfare,Environmental science",
Partisan Disparities in the Use of Science in Policy,02_final consideration needed,https://www.ipr.northwestern.edu/our-work/working-papers/2024/wp-24-05.html,,"Innovation, meta-science, and research",,Working paper/mimeo; not published in a peer-reviewed journal,2024-01-29T00:00:00.000-05:00,the economics of science and innovation,
Quantifying the Benefit of Artificial Intelligence for Scientific Research,02_final consideration needed,https://arxiv.org/abs/2304.10578,https://doi.org/10.48550/arXiv.2304.10578,Emerging technologies: social and economic impacts (focus: AI),"Catastrophic & existential risks, the long-term future, forecasting",Working paper/mimeo; not published in a peer-reviewed journal,2023-04-17T00:00:00.000-04:00,Innovation and R&D,
When Product Markets Become Collective Traps: The Case of Social Media,02_final consideration needed,https://bfi.uchicago.edu/wp-content/uploads/2023/10/BFI_WP_2023-131.pdf,10.3386/w31771,"Other: Economics/welfare, growth, policy, global markets and population",,Working paper/mimeo; not published in a peer-reviewed journal,2023-10-01T00:00:00.000-04:00,"Welfare and collective choice,consumer preferences",
The role of autonomous experimentation in biomedical sciences and health innovation: Challenges and opportunities in emerging economies,,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=4672439,"GonçalvesLeoneldaSilva,Renan,Theroleofautonomousexperimentationinbiomedicalsciencesandhealthinnovation:Challengesandopportunitiesinemergingeconomies(January3,2024).AvailableatSSRN:https://ssrn.com/abstract=4672439orhttp://dx.doi.org/10.2139/ssrn.4672439",Emerging technologies: social and economic impacts (focus: AI),Economic development & governance (LMICs),Working paper/mimeo; not published in a peer-reviewed journal,2024-01-07T00:00:00.000-05:00,Innovation and R&D,
Willful Ignorance and Moral Behavior,"50_published evaluations (on PubPub, by Unjournal)",https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3938994,,Markets for products with large externalities (focus: animal agriculture),Markets for products with large externalities (focus: animal agriculture),Working paper/mimeo; not published in a peer-reviewed journal,,animal welfare,
Welfare costs of catastrophes: lost consumption and lost lives,01_Needs prioritization/assessor rating,https://mitsloan.mit.edu/shared/ods/documents?PublicationDocumentID=7763,,"Catastrophic and existential risks,  the long-term future, forecasting","Other (Economics): Welfare, growth, policy, global markets & popn.","Published, ~top journal",,,internal-from-syllabus-agenda-policy-database
Meta-Analysis and Public Policy: Reconciling the Evidence on Deworming,"de-prioritized bc. of journal-publication status, authors permission, etc.",https://scholar.harvard.edu/files/kcroke/files/nber_deworming_2022.pdf,,Global health; “Health & well-being in low-income countries”,Economic development & governance (LMICs),Working paper/mimeo; not published in a peer-reviewed journal,,Health Policy/Health economics,suggested - externally - NGO
Legalizing Entrepreneurship,"50_published evaluations (on PubPub, by Unjournal)",https://www.nber.org/papers/w30624,,Economic development & governance (LMICs),"Other (Economics): Welfare, growth, policy, global markets & popn.",Working paper/mimeo; not published in a peer-reviewed journal,2022-11-01T00:00:00.000-04:00,"Development/Development Economics,Labor Economics,Labor Supply and Demand,Other,Law and Economics,Industrial Organization,Firm Behavior,Migration",internal-NBER
Challenges in Constructing a Survey-Based Well-Being Index,deprioritized -- low ratings,https://www.nber.org/papers/w23111,,Empirical methods,Economic development & governance (LMICs),"Published, ~top journal",,"Econometrics,Data Collection,Microeconomics,Health, Education, and Welfare,Poverty and Wellbeing",suggested - internally
"Utilitarianism for animals, Kantianism for people.  Harming Animals and Humans for the Greater Good.",deprioritized -- low ratings,http://files.luciuscaviola.com/Caviola-et-al_2020_JEPG.pdf,,"Attitudes and behaviors (Altruism, moral circles, animal consumption, effectiveness, political attitudes, etc.) [Psychology/behavioral economics adjacent group]",Markets for products with large externalities (focus: animal agriculture),"published, decent journal ",,,suggested - externally
Does Conservation Work in General Equilibrium?,"50_published evaluations (on PubPub, by Unjournal)",https://www.dropbox.com/scl/fi/0uv69awcp37tkaozdlmm7/ConservationGeneralEquilibrium_SalazarRestrepo_LeiteMariante_20240312.pdf?rlkey=9e2nx6h50xbaiji94tattvpsn&dl=0,,"Other: Economics/welfare, growth, policy, global markets and population","The Environment: Harm to human health, biodiversity, risks & climate,Markets for products with large externalities (focus: animal agriculture)",Working paper/mimeo; not published in a peer-reviewed journal,2023-12-08T00:00:00.000-05:00,Environment/Environment and Resource economics,
Averting Catastrophes that Kill,"de-prioritized bc. of journal-publication status, authors permission, etc.",https://www.nber.org/system/files/working_papers/w23346/w23346.pdf,,"Other: Theory and philosophy, artificial intelligence, natural science, etc.",,Working paper/mimeo; not published in a peer-reviewed journal,,"Microeconomics,Economics of Information,Public Economics,National Fiscal Issues,Environment/Environment and Resource economics",internal-NBER
When Celebrities Speak: A Nationwide Twitter Experiment Promoting Vaccination In Indonesia,"50_published evaluations (on PubPub, by Unjournal)",https://web.stanford.edu/~arungc/ACMOP.pdf,,Global health; “Health & well-being in low-income countries”,"Communicable diseases, bio-security & pandemic preparedness, biological risks",Working paper/mimeo; not published in a peer-reviewed journal,2019-02-25T00:00:00.000-05:00,"Microeconomics,Economics of Information,Health, Education, and Welfare,Development and Growth,Innovation and R&D,Health Policy/Health economics",internal-NBER
Rationalizing risk aversion in science,01_Needs prioritization/assessor rating,https://arxiv.org/abs/2306.13816,https://doi.org/10.48550/arXiv.2306.13816,"Innovation, meta-science, and research","Other (Economics): Welfare, growth, policy, global markets & popn.","Published, ~top journal",2023-06-23T00:00:00.000-04:00,"Metascience,the economics of science and innovation",suggested - internally
Is Power-Seeking AI an Existential Risk?,deprioritized -- low ratings,https://arxiv.org/abs/2206.13353,,"Catastrophic and existential risks,  the long-term future, forecasting",,Working paper/mimeo; not published in a peer-reviewed journal,,,suggested - externally - NGO
Mental health improves on sunnier days of the year.,deprioritized -- low ratings,https://osf.io/bj4kr/,,"Health and well-being (global, including wealthy countries)",Possible category: more ‘economics’ treatment of preferences for giving and ‘ethical/donation-linked’ choices; implications of these preferences; donor coordination etc.,Working paper/mimeo; not published in a peer-reviewed journal,,,submitted (by author(s))
Economic vs. Epidemiological Approaches to Measuring the Human Capital Impacts of Infectious Disease Elimination,"50_published evaluations (on PubPub, by Unjournal)",https://www.nber.org/papers/w30202,,Global health; “Health & well-being in low-income countries”,Economic development & governance (LMICs),Working paper/mimeo; not published in a peer-reviewed journal,2022-07-01T00:00:00.000-04:00,Health Policy/Health economics,
The AI dilemma: Growth versus existential risk,deprioritized -- low ratings,https://www.nber.org/papers/w31837,,"Catastrophic and existential risks,  the long-term future, forecasting","Other (Economics): Welfare, growth, policy, global markets & popn.",Working paper/mimeo; not published in a peer-reviewed journal,,,suggested - internally
No Great Equalizer: Experimental Evidence on AI in the UK Labor Market,deprioritized -- low ratings,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=4594466,http://dx.doi.org/10.2139/ssrn.4594466,Emerging technologies: social and economic impacts (focus: AI),,Working paper/mimeo; not published in a peer-reviewed journal,2023-11-02T00:00:00.000-04:00,Labor Economics,
Money (Not) to Burn: Payments for Ecosystem Services to Reduce Crop Residue Burning,"50_published evaluations (on PubPub, by Unjournal)",https://seemajayachandran.com/money_not_to_burn.pdf,,Economic development & governance (LMICs),"The Environment: Harm to human health, biodiversity, risks & climate",Working paper/mimeo; not published in a peer-reviewed journal,2022-08-11T00:00:00.000-04:00,"Health, Education, and Welfare",suggested - externally - NGO
Selecting the Most Effective Nudge: Evidence from a Large-Scale Experiment on Immunization,"50_published evaluations (on PubPub, by Unjournal)",https://arxiv.org/abs/2104.09645v2,,Global health; “Health & well-being in low-income countries”,,Published - CHECK,,"Global Health/ interventions,Policy",suggested - externally - NGO
A systematic review and meta-analysis of the impact of cash transfers on subjective well-being and mental health in low- and middle-income countries`,01_Needs prioritization/assessor rating,https://www.nature.com/articles/s41562-021-01252-z,,Global health; “Health & well-being in low-income countries”,Economic development & governance (LMICs),"published, decent journal ",,,
The Past and Future of Economic Growth: A Semi-Endogenous Perspective,01_Needs prioritization/assessor rating,https://www.nber.org/papers/w29126,,"Other: Economics/welfare, growth, policy, global markets and population",,"published, decent journal ",,"Development and Growth,Policy",internal-NBER
How Will Hen Welfare Be Impacted by the Transition to Cage-Free Housing?,deprioritized -- low ratings,https://www.openphilanthropy.org/research/how-will-hen-welfare-be-impacted-by-the-transition-to-cage-free-housing/,,Markets for products with large externalities (focus: animal agriculture),,Published - CHECK,,animal welfare,suggested - externally - NGO
"The Long-Run Effects of Psychotherapy on Depression, Beliefs, and Economic Outcomes","50_published evaluations (on PubPub, by Unjournal)",https://jondequidt.com/pdfs/psychotherapy-depression.pdf,,Global health; “Health & well-being in low-income countries”,"Health & well-being (global, incl. wealthy countries) ,Attitudes & behaviors (Altruism, moral circles,  effectiveness, political, etc.) [Psych/BE-adjacent ],Economic development & governance (LMICs)",Working paper/mimeo; not published in a peer-reviewed journal,2023-01-31T00:00:00.000-05:00,"Mental Health Interventions,Global Health/ interventions",suggested - externally - NGO
Monetary incentives increase COVID-19 vaccinations,01_Needs prioritization/assessor rating,https://www.science.org/doi/10.1126/science.abm0475?cookieSet=1,,"Communicable diseases, bio-security and pandemic preparedness, biological risks","Other (Economics): Welfare, growth, policy, global markets & popn.","Published, ~top journal",,Health Policy/Health economics,submitted (by author(s))
How Much Would Reducing Lead Exposure Improve Children’s Learning in the Developing World?,"50_published evaluations (on PubPub, by Unjournal)",https://www.cgdev.org/sites/default/files/how-much-would-reducing-lead-exposure-improve-childrens-learning-developing-world.pdf,,Global health; “Health & well-being in low-income countries”,,Working paper/mimeo; not published in a peer-reviewed journal,2023-07-01T00:00:00.000-04:00,"Health, Education, and Welfare",suggested - externally
The Psychology of Existential Risk: Moral Judgments about Human Extinction,01_Needs prioritization/assessor rating,https://www.nature.com/articles/s41598-019-50145-9,,"Attitudes and behaviors (Altruism, moral circles, animal consumption, effectiveness, political attitudes, etc.) [Psychology/behavioral economics adjacent group]",,"published, decent journal ",,,internal-from-syllabus-agenda-policy-database
Seeking Evidence: Which Studies Do Policymakers Prefer?,authors rejected/blocked us,,,"Other: Economics/welfare, growth, policy, global markets and population",,,,"Global Health/ interventions,Policymaker decision-making,expert beliefs, prediction markets, etc.",suggested - internally
Bardhan’s Targeting the Hard Core Poor Program: A qualitative study on participants’ ascent out of extreme poverty,deprioritized -- low ratings,https://www.findevgateway.org/sites/default/files/publications/files/bandhan-thp-_a_qualitative_study_on_participants_ascent_out_of_extreme_poverty_.pdf,,Economic development & governance (LMICs),,,,,suggested - internally
The end of economic growth? Unintended consequences of a declining population,01_Needs prioritization/assessor rating,https://www.nber.org/papers/w26651,,"Other: Economics/welfare, growth, policy, global markets and population",,"Published, ~top journal",,"Development and Growth,Policy",internal-NBER
Should Aid Reward Performance? Evidence from a Field Experiment on Health and Education in Indonesia,01_Needs prioritization/assessor rating,https://citeseerx.ist.psu.edu/document?repid=rep1&type=pdf&doi=d8c3c3552bb19ba8c2c667e3d795fdfd940f0e8f,,Economic development & governance (LMICs),Global health; “Health & well-being in low-income countries”,"Published, ~top journal",,,suggested - externally
Frontier AI Regulation,deprioritized -- low ratings,https://arxiv.org/abs/2307.03718,https://doi.org/10.48550/arXiv.2307.03718,Emerging technologies: social and economic impacts (focus: AI),,Working paper/mimeo; not published in a peer-reviewed journal,2023-11-07T00:00:00.000-05:00,AI Alignment,
Artificial Intelligence and Economic Growth,"50_published evaluations (on PubPub, by Unjournal)",https://www.nber.org/papers/w23928,,Emerging technologies: social and economic impacts (focus: AI),"Other (Economics): Welfare, growth, policy, global markets & popn.","Published, uncertain peer review",2017-10-01T00:00:00.000-04:00,"Development and Growth,Innovation and R&D,Policy",internal-from-syllabus-agenda-policy-database
Quadratic Funding with Incomplete Information,deprioritized -- low ratings,https://globalprioritiesinstitute.org/wp-content/uploads/Luis-V.-M.-Freitas-Wilfredo-L.-Maldonado-Quadratic-Funding-with-Incomplete-Information.pdf,,"Other: Economics/welfare, growth, policy, global markets and population",,Working paper/mimeo; not published in a peer-reviewed journal,,,suggested - internally
The Impact of Artificial Intelligence on Innovation,deprioritized -- low ratings,nber.org/papers/w24449,,Emerging technologies: social and economic impacts (focus: AI),"Innovation, meta-science, & research",book chapter,,"Industrial Organization,Market Structure and Firm Performance",internal-NBER
Saving for a lean Season,authors rejected/blocked us,https://www.dropbox.com/s/u3zah3pxm9vtnm0/Saving%20for%20a%20lean%20Season.pdf?dl=0,,Economic development & governance (LMICs),Global health; “Health & well-being in low-income countries”,Working paper/mimeo; not published in a peer-reviewed journal,,,submitted (by author(s))
AI-tocracy,02_final consideration needed,https://core.ac.uk/download/511315653.pdf,,Emerging technologies: social and economic impacts (focus: AI),"International cooperation & conflict, government behavior,  authoritarianism","Published, ~top journal",,"Industrial Organization,Development and Growth,Innovation and R&D,Economic Systems,Policy",internal-NBER
Artificial Intelligence and the Modern Productivity Paradox: A Clash of Expectations and Statistics,deprioritized -- low ratings,https://www.nber.org/papers/w24001,,Emerging technologies: social and economic impacts (focus: AI),"Other (Economics): Welfare, growth, policy, global markets & popn.",Working paper/mimeo; not published in a peer-reviewed journal,,"Development and Growth,Microeconomics,Innovation and R&D,Policy",internal-NBER
A synthesis of evidence for policy from behavioural science during COVID-19,deprioritized -- low ratings,https://www.nature.com/articles/s41586-023-06840-9,,"Innovation, meta-science, and research","Communicable diseases, bio-security & pandemic preparedness, biological risks","Published, ~top journal",,"Attitudes and behaviors (Altruism, moral circles, animal consumption, effectiveness, political attitudes, etc.),attitudes/behavioral",
Laboratory Safety and Research Productivity,02_final consideration needed,https://www.hbs.edu/ris/Publication%20Files/22-072_fcb4ee52-5af5-4c82-976a-dd47cf054218.pdf,,"Innovation, meta-science, and research","Catastrophic & existential risks, the long-term future, forecasting","Published, uncertain peer review",,,internal-NBER
The Governance Of Non-Profits And Their Social Impact: Evidence From A Randomized Program In Healthcare In DRC,"50_published evaluations (on PubPub, by Unjournal)",https://www.nber.org/system/files/working_papers/w30391/w30391.pdf,,Global health; “Health & well-being in low-income countries”,Economic development & governance (LMICs),Working paper/mimeo; not published in a peer-reviewed journal,2022-08-29T00:00:00.000-04:00,"Health, Education, and Welfare,Education,Development and Growth,Development/Development Economics,Health Policy/Health economics",internal-NBER
Happiness for the whole family,03_awaiting authors' consent (where needed) or imminent update,https://www.happierlivesinstitute.org/report/happiness-for-the-whole-family/,,Economic development & governance (LMICs),"Other (Economics): Welfare, growth, policy, global markets & popn.,Attitudes & behaviors (Altruism, moral circles,  effectiveness, political, etc.) [Psych/BE-adjacent ]",Working paper/mimeo; not published in a peer-reviewed journal,,,suggested - externally
Effects of Emigration on Rural Labor Markets,"50_published evaluations (on PubPub, by Unjournal)","https://www.nber.org/papers/w23929#:~:text=Emigration%20could%20benefit%20landless%20village,productivity%20if%20skilled%20workers%20leave",,Economic development & governance (LMICs),"Other (Economics): Welfare, growth, policy, global markets & popn.",Working paper/mimeo; not published in a peer-reviewed journal,,"Development/Development Economics,Development and Growth,Regional and Urban Economics,Migration",internal-NBER
"International AI Institutions: A Literature Review of Models, Examples, and Proposals",deprioritized -- low ratings,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=4579773,,"Catastrophic and existential risks,  the long-term future, forecasting",,Published - CHECK,,,suggested - internally
"Policies, Projections, and the Social Cost of Carbon: Results from the DICE-2023 Model",deprioritized -- low ratings,https://www.nber.org/papers/w31112,,"The Environment: Harm to human health, biodiversity, risks and climate change",,"Published, ~top journal",,,internal-NBER
Water Treatment and Child Mortality: A Meta-analysis and Cost-effectiveness Analysis,"50_published evaluations (on PubPub, by Unjournal)",https://bfi.uchicago.edu/wp-content/uploads/2023/01/BFI_WP_2022-26-2.pdf,,Global health; “Health & well-being in low-income countries”,,Working paper/mimeo; not published in a peer-reviewed journal,,Health Policy/Health economics,suggested - externally - NGO
Cognitive behavior therapy reduces crime and violence over 10 years: Experimental evidence,02_final consideration needed,https://osf.io/preprints/socarxiv/q85ux/,,Economic development & governance (LMICs),Economic development & governance (LMICs),Published - CHECK,,,suggested - internally
Serendipity in Science,deprioritized -- low ratings,https://arxiv.org/abs/2308.07519,https://doi.org/10.48550/arXiv.2308.07519,"Innovation, meta-science, and research",,Working paper/mimeo; not published in a peer-reviewed journal,2023-08-15T00:00:00.000-04:00,Metascience,
Incentives and Creativity: Evidence from the Academic Life Sciences,02_final consideration needed,https://www.nber.org/papers/w15466,,"Innovation, meta-science, and research",,"published, decent journal ",,"Development and Growth,Innovation and R&D",internal-NBER
The Comparative Impact of Cash Transfers and a Psychotherapy Program on Psychological and Economic Well-being,"50_published evaluations (on PubPub, by Unjournal)",https://www.nber.org/papers/w28106,,Global health; “Health & well-being in low-income countries”,Economic development & governance (LMICs),Working paper/mimeo; not published in a peer-reviewed journal,2020-11-21T00:00:00.000-05:00,"Econometrics,Experimental Design/Experimental economics,Microeconomics,Behavioral Economics,Development and Growth,Development/Development Economics",internal-NBER
"Artificial intelligence, globalization, and strategies for economic development",deprioritized -- low ratings,https://www.nber.org/papers/w28453,,Emerging technologies: social and economic impacts (focus: AI),Economic development & governance (LMICs),Working paper/mimeo; not published in a peer-reviewed journal,,"International Economics,Globalization and International Relations/Global policy,Development and Growth,Innovation and R&D",internal-NBER
Cash Can Make Its Absence Felt: Randomizing Unconditional Cash Transfer Amounts in the US,20_awaiting_evaluations,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=4154000,,"Other: Economics/welfare, growth, policy, global markets and population",,Working paper/mimeo; not published in a peer-reviewed journal,2022-12-19T00:00:00.000-05:00,,suggested - externally
Losing target: Randomized environmental inspections and law enforcement efficiency,"de-prioritized bc. of journal-publication status, authors permission, etc.",,,"The Environment: Harm to human health, biodiversity, risks and climate change",,,2024-06-24T00:00:00.000-04:00,"Environment/Environment and Resource economics,Policy",submitted (by author(s))
When do “Nudges” Increase Welfare?,"50_published evaluations (on PubPub, by Unjournal)",https://www.nber.org/papers/w30740,,"Other: Economics/welfare, growth, policy, global markets and population","Attitudes & behaviors (Altruism, moral circles,  effectiveness, political, etc.) [Psych/BE-adjacent ],Other (Economics): Welfare, growth, policy, global markets & popn.",Working paper/mimeo; not published in a peer-reviewed journal,2022-12-12T00:00:00.000-05:00,"Attitudes and behaviors (Altruism, moral circles, animal consumption, effectiveness, political attitudes, etc.)",
"Merit, Inequality, and Opportunity: The Impact of Malawi’s Secondary Schools",deprioritized -- low ratings,https://www.cgdev.org/sites/default/files/merit-inequality-and-opportunity-impact-malawis-selective-secondary-schools.pdf,,Economic development & governance (LMICs),,Working paper/mimeo; not published in a peer-reviewed journal,,,
"Global Risk, Non-Bank Financial Intermediation, and Emerging Market Vulnerabilities",01_Needs prioritization/assessor rating,https://www.annualreviews.org/content/journals/10.1146/annurev-economics-082222-074901,,"Other: Economics/welfare, growth, policy, global markets and population",Economic development & governance (LMICs),"published, decent journal ",,,internal-NBER
Long-term cost-effectiveness of interventions for loss of electricity/industry compared to artificial general intelligence safety,deprioritized -- low ratings,https://eujournalfuturesresearch.springeropen.com/articles/10.1186/s40309-021-00178-z,,Emerging technologies: social and economic impacts (focus: AI),,"Published, ? journal",,,submitted (by author(s))
